Genotype,Rep,dpi,Relative Abundance
W2691,1,2,1.60
W2691,2,2,2.06
W2691,3,2,1.69
W2691,1,4,6.76
W2691,2,4,9.87
W2691,3,4,4.51
W2691,1,6,7.85
W2691,2,6,10.62
W2691,3,6,10.20
W2691 + Sr9b,1,2,1.72
W2691 + Sr9b,2,2,1.56
W2691 + Sr9b,3,2,1.88
W2691 + Sr9b,1,4,2.88
W2691 + Sr9b,2,4,7.40
W2691 + Sr9b,3,4,4.40
W2691 + Sr9b,1,6,7.18
W2691 + Sr9b,2,6,7.93
W2691 + Sr9b,3,6,3.67
Bd21-3,1,2,1.29
Bd21-3,2,2,1.49
Bd21-3,3,2,1.50
Bd21-3,1,4,1.61
Bd21-3,2,4,1.73
Bd21-3,3,4,1.86
Bd21-3,1,6,1.87
Bd21-3,2,6,2.37
Bd21-3,3,6,3.45
