GID	GO
BdiBd21-3.1G0036101	GO:0003824
BdiBd21-3.1G0136600	GO:0005622
BdiBd21-3.1G0155500	GO:0005215
BdiBd21-3.1G0164100	GO:0005515
BdiBd21-3.1G0166900	GO:0003677
BdiBd21-3.1G0170800	GO:0000166
BdiBd21-3.1G0170800	GO:0003676
BdiBd21-3.1G0206400	GO:0004518
BdiBd21-3.1G0206400	GO:0005515
BdiBd21-3.1G0218200	GO:0005515
BdiBd21-3.1G0247200	GO:0003676
BdiBd21-3.1G0290800	GO:0003824
BdiBd21-3.1G0310800	GO:0003677
BdiBd21-3.1G0310800	GO:0003700
BdiBd21-3.1G0345500	GO:0005198
BdiBd21-3.1G0370850	GO:0005576
BdiBd21-3.1G0530200	GO:0003677
BdiBd21-3.1G0561000	GO:0005515
BdiBd21-3.1G0561000	GO:0005622
BdiBd21-3.1G0573000	GO:0005515
BdiBd21-3.1G0573000	GO:0005622
BdiBd21-3.1G0573600	GO:0003824
BdiBd21-3.1G0593500	GO:0003677
BdiBd21-3.1G0593500	GO:0005739
BdiBd21-3.1G0628400	GO:0005515
BdiBd21-3.1G0637901	GO:0005515
BdiBd21-3.1G0669900	GO:0005515
BdiBd21-3.1G0702800	GO:0003824
BdiBd21-3.1G0705700	GO:0005515
BdiBd21-3.1G0817833	GO:0005515
BdiBd21-3.1G0837600	GO:0005515
BdiBd21-3.1G0841100	GO:0005515
BdiBd21-3.1G0847500	GO:0003824
BdiBd21-3.1G0857600	GO:0000166
BdiBd21-3.1G0857600	GO:0003676
BdiBd21-3.1G0897600	GO:0005515
BdiBd21-3.1G0974900	GO:0003824
BdiBd21-3.1G0981600	GO:0005515
BdiBd21-3.1G0982800	GO:0003824
BdiBd21-3.1G1005701	GO:0003676
BdiBd21-3.2G0025000	GO:0003824
BdiBd21-3.2G0068800	GO:0003677
BdiBd21-3.2G0106500	GO:0003677
BdiBd21-3.2G0106500	GO:0005634
BdiBd21-3.2G0212100	GO:0003700
BdiBd21-3.2G0214900	GO:0003824
BdiBd21-3.2G0225600	GO:0005515
BdiBd21-3.2G0293900	GO:0003824
BdiBd21-3.2G0313800	GO:0005515
BdiBd21-3.2G0314400	GO:0003824
BdiBd21-3.2G0321300	GO:0003824
BdiBd21-3.2G0329200	GO:0003677
BdiBd21-3.2G0329200	GO:0005515
BdiBd21-3.2G0329200	GO:0005634
BdiBd21-3.2G0352600	GO:0005515
BdiBd21-3.2G0390900	GO:0005215
BdiBd21-3.2G0400800	GO:0005215
BdiBd21-3.2G0436800	GO:0005576
BdiBd21-3.2G0502400	GO:0003723
BdiBd21-3.2G0502400	GO:0005488
BdiBd21-3.2G0506700	GO:0005515
BdiBd21-3.2G0538800	GO:0005515
BdiBd21-3.2G0555600	GO:0003824
BdiBd21-3.2G0562100	GO:0003700
BdiBd21-3.2G0647200	GO:0005515
BdiBd21-3.2G0669900	GO:0003677
BdiBd21-3.2G0669900	GO:0003700
BdiBd21-3.2G0685800	GO:0005515
BdiBd21-3.2G0720000	GO:0005215
BdiBd21-3.2G0734600	GO:0005515
BdiBd21-3.2G0771900	GO:0000166
BdiBd21-3.2G0771900	GO:0003676
BdiBd21-3.2G0771900	GO:0003723
BdiBd21-3.2G0797800	GO:0003677
BdiBd21-3.2G0802600	GO:0003677
BdiBd21-3.2G0802600	GO:0005634
BdiBd21-3.3G0026400	GO:0000166
BdiBd21-3.3G0026400	GO:0003676
BdiBd21-3.3G0031500	GO:0005515
BdiBd21-3.3G0113300	GO:0003824
BdiBd21-3.3G0229800	GO:0003824
BdiBd21-3.3G0234400	GO:0003677
BdiBd21-3.3G0251200	GO:0005515
BdiBd21-3.3G0306400	GO:0003700
BdiBd21-3.3G0345400	GO:0003700
BdiBd21-3.3G0345400	GO:0005634
BdiBd21-3.3G0358100	GO:0005515
BdiBd21-3.3G0376700	GO:0005515
BdiBd21-3.3G0382000	GO:0003824
BdiBd21-3.3G0421500	GO:0005576
BdiBd21-3.3G0433200	GO:0005576
BdiBd21-3.3G0447500	GO:0003677
BdiBd21-3.3G0508400	GO:0005515
BdiBd21-3.3G0511100	GO:0005515
BdiBd21-3.3G0512700	GO:0003700
BdiBd21-3.3G0517300	GO:0005515
BdiBd21-3.3G0545000	GO:0003677
BdiBd21-3.3G0545000	GO:0005634
BdiBd21-3.3G0548600	GO:0005515
BdiBd21-3.3G0548600	GO:0005622
BdiBd21-3.3G0649000	GO:0005515
BdiBd21-3.3G0670900	GO:0003677
BdiBd21-3.3G0670900	GO:0003700
BdiBd21-3.3G0677200	GO:0003676
BdiBd21-3.3G0693100	GO:0005618
BdiBd21-3.3G0699100	GO:0003677
BdiBd21-3.3G0776800	GO:0003824
BdiBd21-3.4G0035701	GO:0005737
BdiBd21-3.4G0052400	GO:0003677
BdiBd21-3.4G0052400	GO:0005634
BdiBd21-3.4G0096800	GO:0003723
BdiBd21-3.4G0096800	GO:0005488
BdiBd21-3.4G0159000	GO:0003677
BdiBd21-3.4G0211400	GO:0003676
BdiBd21-3.4G0240200	GO:0005515
BdiBd21-3.4G0292200	GO:0005215
BdiBd21-3.4G0333900	GO:0005515
BdiBd21-3.4G0350600	GO:0005515
BdiBd21-3.4G0353400	GO:0005515
BdiBd21-3.4G0357800	GO:0005515
BdiBd21-3.4G0392300	GO:0005198
BdiBd21-3.4G0496200	GO:0003677
BdiBd21-3.4G0496200	GO:0003700
BdiBd21-3.4G0509400	GO:0003700
BdiBd21-3.4G0523400	GO:0005515
BdiBd21-3.4G0559900	GO:0005622
BdiBd21-3.4G0568400	GO:0003677
BdiBd21-3.5G0024400	GO:0005515
BdiBd21-3.5G0055200	GO:0003677
BdiBd21-3.5G0088100	GO:0003824
BdiBd21-3.5G0099100	GO:0003677
BdiBd21-3.5G0099100	GO:0003700
BdiBd21-3.5G0138500	GO:0005198
BdiBd21-3.5G0138500	GO:0005622
BdiBd21-3.5G0143100	GO:0005737
BdiBd21-3.5G0153900	GO:0003824
BdiBd21-3.5G0167100	GO:0005515
BdiBd21-3.5G0200400	GO:0005515
BdiBd21-3.5G0246800	GO:0005515
BdiBd21-3.5G0253400	GO:0003677
BdiBd21-3.5G0257900	GO:0005215
BdiBd21-3.5G0263900	GO:0005515
BdiBd21-3.5G0266700	GO:0005215
BdiBd21-3.5G0267600	GO:0005515
BdiBd21-3.5G0271800	GO:0005618
BdiBd21-3.5G0331600	GO:0005515
BdiBd21-3.5G0333500	GO:0003677
