GID	GO
BdiBd21-3.1G0026000	GO:0005515
BdiBd21-3.1G0040700	GO:0003824
BdiBd21-3.1G0045800	GO:0005215
BdiBd21-3.1G0049300	GO:0005622
BdiBd21-3.1G0049400	GO:0003676
BdiBd21-3.1G0049500	GO:0003676
BdiBd21-3.1G0051000	GO:0003824
BdiBd21-3.1G0071500	GO:0003824
BdiBd21-3.1G0085000	GO:0005515
BdiBd21-3.1G0086000	GO:0003676
BdiBd21-3.1G0086000	GO:0003677
BdiBd21-3.1G0086800	GO:0005515
BdiBd21-3.1G0101100	GO:0005515
BdiBd21-3.1G0128800	GO:0003824
BdiBd21-3.1G0132800	GO:0005515
BdiBd21-3.1G0155700	GO:0005515
BdiBd21-3.1G0169000	GO:0003677
BdiBd21-3.1G0169000	GO:0005634
BdiBd21-3.1G0169100	GO:0003677
BdiBd21-3.1G0169100	GO:0005634
BdiBd21-3.1G0178800	GO:0003677
BdiBd21-3.1G0187600	GO:0005515
BdiBd21-3.1G0193000	GO:0003677
BdiBd21-3.1G0214700	GO:0003676
BdiBd21-3.1G0224100	GO:0005515
BdiBd21-3.1G0224233	GO:0005515
BdiBd21-3.1G0227000	GO:0003677
BdiBd21-3.1G0240500	GO:0005515
BdiBd21-3.1G0240500	GO:0005622
BdiBd21-3.1G0243900	GO:0003824
BdiBd21-3.1G0258600	GO:0003677
BdiBd21-3.1G0258600	GO:0005634
BdiBd21-3.1G0264800	GO:0003677
BdiBd21-3.1G0272400	GO:0003824
BdiBd21-3.1G0273700	GO:0005515
BdiBd21-3.1G0277300	GO:0005634
BdiBd21-3.1G0278900	GO:0003824
BdiBd21-3.1G0295300	GO:0005515
BdiBd21-3.1G0299900	GO:0005488
BdiBd21-3.1G0299900	GO:0005515
BdiBd21-3.1G0302600	GO:0005515
BdiBd21-3.1G0302700	GO:0005488
BdiBd21-3.1G0302700	GO:0005515
BdiBd21-3.1G0324000	GO:0003774
BdiBd21-3.1G0324000	GO:0005515
BdiBd21-3.1G0339900	GO:0005215
BdiBd21-3.1G0346000	GO:0005515
BdiBd21-3.1G0347400	GO:0003824
BdiBd21-3.1G0380300	GO:0005215
BdiBd21-3.1G0388900	GO:0005215
BdiBd21-3.1G0396000	GO:0003677
BdiBd21-3.1G0398500	GO:0003824
BdiBd21-3.1G0406800	GO:0003676
BdiBd21-3.1G0406800	GO:0003677
BdiBd21-3.1G0419000	GO:0005515
BdiBd21-3.1G0434600	GO:0005198
BdiBd21-3.1G0444266	GO:0003677
BdiBd21-3.1G0456700	GO:0005618
BdiBd21-3.1G0473300	GO:0003677
BdiBd21-3.1G0473300	GO:0003700
BdiBd21-3.1G0473300	GO:0003723
BdiBd21-3.1G0473300	GO:0005634
BdiBd21-3.1G0475800	GO:0003824
BdiBd21-3.1G0483100	GO:0003824
BdiBd21-3.1G0490900	GO:0003824
BdiBd21-3.1G0493600	GO:0005515
BdiBd21-3.1G0497100	GO:0003700
BdiBd21-3.1G0507400	GO:0003700
BdiBd21-3.1G0509466	GO:0005576
BdiBd21-3.1G0518100	GO:0003700
BdiBd21-3.1G0518100	GO:0005634
BdiBd21-3.1G0524000	GO:0003824
BdiBd21-3.1G0540600	GO:0003824
