GID	GO
TraesCS1A02G011100	GO:0000166
TraesCS1A02G011100	GO:0003723
TraesCS1A02G011100	GO:0005198
TraesCS1A02G011100	GO:0005739
TraesCS1A02G013700	GO:0005622
TraesCS1A02G024600	GO:0003676
TraesCS1A02G024600	GO:0005634
TraesCS1A02G024700	GO:0003723
TraesCS1A02G024700	GO:0005215
TraesCS1A02G024700	GO:0005634
TraesCS1A02G024700	GO:0005739
TraesCS1A02G029300	GO:0003824
TraesCS1A02G033500	GO:0005773
TraesCS1A02G036100	GO:0005634
TraesCS1A02G037900	GO:0003723
TraesCS1A02G037900	GO:0005634
TraesCS1A02G037900	GO:0005737
TraesCS1A02G039100	GO:0003677
TraesCS1A02G039100	GO:0003824
TraesCS1A02G039100	GO:0005634
TraesCS1A02G046400	GO:0005794
TraesCS1A02G050100	GO:0005634
TraesCS1A02G050100	GO:0005739
TraesCS1A02G055400	GO:0003723
TraesCS1A02G055400	GO:0005622
TraesCS1A02G055400	GO:0005739
TraesCS1A02G056200	GO:0005198
TraesCS1A02G056200	GO:0005576
TraesCS1A02G056900	GO:0005488
TraesCS1A02G058900	GO:0003700
TraesCS1A02G058900	GO:0005576
TraesCS1A02G058900	GO:0005634
TraesCS1A02G058900	GO:0005739
TraesCS1A02G060500	GO:0003723
TraesCS1A02G060500	GO:0004518
TraesCS1A02G060500	GO:0005739
TraesCS1A02G066400	GO:0005739
TraesCS1A02G066400	GO:0005794
TraesCS1A02G067700	GO:0003723
TraesCS1A02G067700	GO:0004518
TraesCS1A02G067700	GO:0005739
TraesCS1A02G070100	GO:0003677
TraesCS1A02G070100	GO:0005634
TraesCS1A02G070100	GO:0005739
TraesCS1A02G074400	GO:0003676
TraesCS1A02G076900	GO:0005634
TraesCS1A02G079800	GO:0005488
TraesCS1A02G079800	GO:0005635
TraesCS1A02G079800	GO:0005654
TraesCS1A02G080500	GO:0005634
TraesCS1A02G080600	GO:0005634
TraesCS1A02G080700	GO:0005634
TraesCS1A02G084300	GO:0003677
TraesCS1A02G084300	GO:0003723
TraesCS1A02G084300	GO:0003824
TraesCS1A02G089800	GO:0005783
TraesCS1A02G095600	GO:0005773
TraesCS1A02G099000	GO:0005488
TraesCS1A02G099000	GO:0005737
TraesCS1A02G100600	GO:0005730
TraesCS1A02G101500	GO:0003723
TraesCS1A02G101500	GO:0005576
TraesCS1A02G109000	GO:0005576
TraesCS1A02G109000	GO:0005618
TraesCS1A02G109000	GO:0005773
TraesCS1A02G110900	GO:0005654
TraesCS1A02G115200	GO:0005739
TraesCS1A02G120800	GO:0005488
TraesCS1A02G122000	GO:0005576
TraesCS1A02G122000	GO:0005634
TraesCS1A02G122000	GO:0005783
TraesCS1A02G122000	GO:0005794
TraesCS1A02G122300	GO:0005634
TraesCS1A02G131300	GO:0004518
TraesCS1A02G131300	GO:0005634
TraesCS1A02G134100	GO:0005794
TraesCS1A02G144800	GO:0003677
TraesCS1A02G149800	GO:0005739
TraesCS1A02G153400	GO:0005634
TraesCS1A02G162800	GO:0003774
TraesCS1A02G168400	GO:0005739
TraesCS1A02G169500	GO:0000003
TraesCS1A02G169500	GO:0005488
