GID	GO
TraesCS1A02G005700	GO:0003677
TraesCS1A02G005700	GO:0003682
TraesCS1A02G021100	GO:0005737
TraesCS1A02G021400	GO:0005576
TraesCS1A02G027600	GO:0003723
TraesCS1A02G027600	GO:0005730
TraesCS1A02G027600	GO:0005773
TraesCS1A02G027600	GO:0005794
TraesCS1A02G029800	GO:0005634
TraesCS1A02G035100	GO:0005634
TraesCS1A02G035100	GO:0005794
TraesCS1A02G035600	GO:0005576
TraesCS1A02G035600	GO:0005618
TraesCS1A02G035600	GO:0005773
TraesCS1A02G045800	GO:0005794
TraesCS1A02G049600	GO:0005773
TraesCS1A02G050400	GO:0005773
TraesCS1A02G050400	GO:0005783
TraesCS1A02G050400	GO:0005794
TraesCS1A02G052400	GO:0000166
TraesCS1A02G052400	GO:0005622
TraesCS1A02G052400	GO:0005634
TraesCS1A02G052400	GO:0005739
TraesCS1A02G059100	GO:0005737
TraesCS1A02G064000	GO:0005794
TraesCS1A02G066000	GO:0005488
TraesCS1A02G066000	GO:0005634
TraesCS1A02G066000	GO:0005739
TraesCS1A02G069300	GO:0005622
TraesCS1A02G069500	GO:0005488
TraesCS1A02G070400	GO:0003700
TraesCS1A02G070400	GO:0005634
TraesCS1A02G072200	GO:0005739
TraesCS1A02G072600	GO:0003700
TraesCS1A02G072600	GO:0005634
TraesCS1A02G075000	GO:0005783
TraesCS1A02G075000	GO:0005794
TraesCS1A02G075600	GO:0005737
TraesCS1A02G078200	GO:0005576
TraesCS1A02G081200	GO:0005488
TraesCS1A02G082200	GO:0005777
TraesCS1A02G085400	GO:0005654
TraesCS1A02G087300	GO:0003676
TraesCS1A02G087300	GO:0005634
TraesCS1A02G088600	GO:0005634
TraesCS1A02G088600	GO:0005773
TraesCS1A02G089500	GO:0005618
TraesCS1A02G089600	GO:0005618
TraesCS1A02G093300	GO:0005737
TraesCS1A02G103900	GO:0005737
TraesCS1A02G104200	GO:0005576
TraesCS1A02G104200	GO:0005634
TraesCS1A02G104200	GO:0005737
TraesCS1A02G104300	GO:0005773
TraesCS1A02G105800	GO:0005576
TraesCS1A02G108400	GO:0005576
TraesCS1A02G112100	GO:0005768
TraesCS1A02G112100	GO:0005794
TraesCS1A02G114000	GO:0005739
TraesCS1A02G114000	GO:0005794
TraesCS1A02G114400	GO:0003723
TraesCS1A02G114400	GO:0003824
TraesCS1A02G114400	GO:0005634
TraesCS1A02G114400	GO:0005654
TraesCS1A02G115700	GO:0005737
TraesCS1A02G116700	GO:0003676
TraesCS1A02G116700	GO:0005634
TraesCS1A02G116700	GO:0005737
TraesCS1A02G117400	GO:0005488
TraesCS1A02G120100	GO:0005618
TraesCS1A02G120100	GO:0005654
TraesCS1A02G120400	GO:0003723
TraesCS1A02G120400	GO:0005198
TraesCS1A02G120400	GO:0005739
