GID	GO
TraesCS1A02G024600	GO:0003676
TraesCS1A02G024600	GO:0005634
TraesCS1A02G029300	GO:0003824
TraesCS1A02G055400	GO:0003723
TraesCS1A02G055400	GO:0005622
TraesCS1A02G055400	GO:0005739
TraesCS1A02G056200	GO:0005198
TraesCS1A02G056200	GO:0005576
TraesCS1A02G056900	GO:0005488
TraesCS1A02G060500	GO:0003723
TraesCS1A02G060500	GO:0004518
TraesCS1A02G060500	GO:0005739
TraesCS1A02G070900	GO:0000166
TraesCS1A02G076900	GO:0005634
TraesCS1A02G080500	GO:0005634
TraesCS1A02G099000	GO:0005488
TraesCS1A02G099000	GO:0005737
TraesCS1A02G100600	GO:0005730
TraesCS1A02G101500	GO:0003723
TraesCS1A02G101500	GO:0005576
TraesCS1A02G110900	GO:0005654
TraesCS1A02G115200	GO:0005739
TraesCS1A02G120800	GO:0005488
TraesCS1A02G126100	GO:0005618
TraesCS1A02G126100	GO:0005773
TraesCS1A02G134100	GO:0005794
TraesCS1A02G144800	GO:0003677
TraesCS1A02G153400	GO:0005634
TraesCS1A02G159600	GO:0005576
TraesCS1A02G159600	GO:0005773
TraesCS1A02G169500	GO:0000003
TraesCS1A02G169500	GO:0005488
TraesCS1A02G178700	GO:0005488
TraesCS1A02G182600	GO:0005634
TraesCS1A02G185700	GO:0005737
TraesCS1A02G186100	GO:0005488
TraesCS1A02G202100	GO:0005488
TraesCS1A02G202100	GO:0005576
TraesCS1A02G202100	GO:0005773
TraesCS1A02G212700	GO:0005634
TraesCS1A02G220300	GO:0003677
TraesCS1A02G220300	GO:0005634
TraesCS1A02G227700	GO:0003677
TraesCS1A02G227700	GO:0005737
TraesCS1A02G228200	GO:0005488
TraesCS1A02G228200	GO:0005634
TraesCS1A02G228200	GO:0005737
TraesCS1A02G232400	GO:0005739
TraesCS1A02G233900	GO:0005198
TraesCS1A02G233900	GO:0005634
TraesCS1A02G234800	GO:0005576
TraesCS1A02G234800	GO:0005773
TraesCS1A02G240400	GO:0003676
TraesCS1A02G240400	GO:0005634
TraesCS1A02G243900	GO:0003677
TraesCS1A02G243900	GO:0003723
TraesCS1A02G243900	GO:0004518
TraesCS1A02G243900	GO:0005634
TraesCS1A02G250100	GO:0005634
TraesCS1A02G250100	GO:0005737
TraesCS1A02G257500	GO:0000003
TraesCS1A02G268500	GO:0005215
TraesCS1A02G268500	GO:0005488
TraesCS1A02G268500	GO:0005634
TraesCS1A02G279600	GO:0005634
TraesCS1A02G280600	GO:0000166
TraesCS1A02G280600	GO:0005215
TraesCS1A02G300200	GO:0005576
TraesCS1A02G305800	GO:0005634
TraesCS1A02G306600	GO:0005739
TraesCS1A02G311100	GO:0005576
TraesCS1A02G311100	GO:0005618
TraesCS1A02G313300	GO:0005618
TraesCS1A02G313300	GO:0005634
TraesCS1A02G313300	GO:0005739
TraesCS1A02G319600	GO:0003824
TraesCS1A02G320200	GO:0005634
TraesCS1A02G320200	GO:0005773
TraesCS1A02G323400	GO:0003677
TraesCS1A02G326100	GO:0000166
TraesCS1A02G326100	GO:0003723
TraesCS1A02G329500	GO:0005576
TraesCS1A02G329500	GO:0005764
TraesCS1A02G329500	GO:0005783
TraesCS1A02G332200	GO:0005634
TraesCS1A02G335800	GO:0005737
TraesCS1A02G350900	GO:0005634
TraesCS1A02G357400	GO:0003723
TraesCS1A02G357400	GO:0005198
TraesCS1A02G363600	GO:0005576
TraesCS1A02G364200	GO:0005739
TraesCS1A02G405200	GO:0003677
TraesCS1A02G405300	GO:0003677
TraesCS1A02G405300	GO:0003682
TraesCS1A02G405400	GO:0003677
TraesCS1A02G405400	GO:0003682
TraesCS1A02G406500	GO:0005198
TraesCS1A02G413600	GO:0003723
TraesCS1A02G413600	GO:0004518
TraesCS1A02G413700	GO:0005739
TraesCS1A02G413700	GO:0005773
TraesCS1A02G413700	GO:0005794
TraesCS1A02G415200	GO:0005576
TraesCS1A02G420900	GO:0005783
TraesCS1A02G426700	GO:0003677
TraesCS1A02G426700	GO:0003700
TraesCS1A02G426700	GO:0005739
TraesCS1A02G427600	GO:0003677
TraesCS1A02G427600	GO:0005634
TraesCS1A02G439800	GO:0005739
TraesCS1B02G017800	GO:0005739
TraesCS1B02G038100	GO:0000166
TraesCS1B02G038100	GO:0004518
TraesCS1B02G038100	GO:0005737
TraesCS1B02G078800	GO:0003723
TraesCS1B02G078800	GO:0004518
TraesCS1B02G078800	GO:0005739
TraesCS1B02G089600	GO:0000166
TraesCS1B02G095000	GO:0005634
TraesCS1B02G104600	GO:0005739
TraesCS1B02G110400	GO:0005730
TraesCS1B02G110400	GO:0005739
TraesCS1B02G135100	GO:0005739
TraesCS1B02G157000	GO:0005737
TraesCS1B02G162100	GO:0003677
TraesCS1B02G162100	GO:0005634
TraesCS1B02G171500	GO:0005634
TraesCS1B02G179500	GO:0003774
TraesCS1B02G191600	GO:0000166
TraesCS1B02G191600	GO:0005576
TraesCS1B02G198900	GO:0005618
TraesCS1B02G201100	GO:0005737
TraesCS1B02G201100	GO:0005773
TraesCS1B02G201100	GO:0005794
TraesCS1B02G216400	GO:0005488
TraesCS1B02G216400	GO:0005773
TraesCS1B02G217700	GO:0005618
TraesCS1B02G217700	GO:0005773
TraesCS1B02G226200	GO:0003677
TraesCS1B02G226200	GO:0003700
TraesCS1B02G226200	GO:0005634
TraesCS1B02G233600	GO:0003677
TraesCS1B02G233600	GO:0005634
TraesCS1B02G234000	GO:0005634
TraesCS1B02G242400	GO:0005488
TraesCS1B02G242400	GO:0005634
TraesCS1B02G242400	GO:0005737
TraesCS1B02G244300	GO:0000166
TraesCS1B02G244300	GO:0003676
TraesCS1B02G244300	GO:0005634
TraesCS1B02G248700	GO:0005576
TraesCS1B02G248700	GO:0005773
TraesCS1B02G254000	GO:0003723
