GID	GO
TraesCS1A02G025700	GO:0005634
TraesCS1A02G033200	GO:0005488
TraesCS1A02G033200	GO:0005794
TraesCS1A02G035900	GO:0005622
TraesCS1A02G035900	GO:0005634
TraesCS1A02G035900	GO:0005737
TraesCS1A02G049600	GO:0005773
TraesCS1A02G051300	GO:0003774
TraesCS1A02G051300	GO:0005783
TraesCS1A02G054000	GO:0005634
TraesCS1A02G054000	GO:0005783
TraesCS1A02G058700	GO:0000166
TraesCS1A02G058700	GO:0005783
TraesCS1A02G058700	GO:0005794
TraesCS1A02G059100	GO:0005737
TraesCS1A02G060100	GO:0005488
TraesCS1A02G064000	GO:0005794
TraesCS1A02G066800	GO:0005739
TraesCS1A02G069300	GO:0005622
TraesCS1A02G070200	GO:0005634
TraesCS1A02G072200	GO:0005739
TraesCS1A02G072600	GO:0003700
TraesCS1A02G072600	GO:0005634
TraesCS1A02G075000	GO:0005783
TraesCS1A02G075000	GO:0005794
TraesCS1A02G075600	GO:0005737
TraesCS1A02G076000	GO:0005768
TraesCS1A02G077700	GO:0005576
TraesCS1A02G083000	GO:0005634
TraesCS1A02G084500	GO:0005634
TraesCS1A02G084900	GO:0005488
TraesCS1A02G085400	GO:0005654
TraesCS1A02G087300	GO:0003676
TraesCS1A02G087300	GO:0005634
TraesCS1A02G087400	GO:0000166
TraesCS1A02G089500	GO:0005618
TraesCS1A02G094200	GO:0005737
TraesCS1A02G100100	GO:0005634
TraesCS1A02G100100	GO:0005737
TraesCS1A02G103900	GO:0005737
TraesCS1A02G105800	GO:0005576
TraesCS1A02G108400	GO:0005576
TraesCS1A02G110700	GO:0005737
TraesCS1A02G112100	GO:0005768
TraesCS1A02G112100	GO:0005794
TraesCS1A02G115400	GO:0003676
TraesCS1A02G115400	GO:0005576
TraesCS1A02G115700	GO:0005737
TraesCS1A02G116200	GO:0005768
TraesCS1A02G116200	GO:0003676
TraesCS1A02G117400	GO:0005488
TraesCS1A02G118400	GO:0005634
TraesCS1A02G120000	GO:0005634
TraesCS1A02G120100	GO:0005618
TraesCS1A02G120100	GO:0005654
TraesCS1A02G121200	GO:0005488
TraesCS1A02G121200	GO:0005739
TraesCS1A02G124300	GO:0005576
TraesCS1A02G124300	GO:0005737
TraesCS1A02G125900	GO:0005576
TraesCS1A02G125900	GO:0005618
TraesCS1A02G125900	GO:0005634
TraesCS1A02G125900	GO:0005773
TraesCS1A02G134000	GO:0005773
TraesCS1A02G134000	GO:0005794
TraesCS1A02G136000	GO:0005488
TraesCS1A02G136000	GO:0005634
TraesCS1A02G141700	GO:0005634
TraesCS1A02G141700	GO:0005739
TraesCS1A02G141700	GO:0005764
TraesCS1A02G145000	GO:0005198
TraesCS1A02G145000	GO:0005739
TraesCS1A02G145000	GO:0005773
TraesCS1A02G145000	GO:0005794
TraesCS1A02G147400	GO:0005634
TraesCS1A02G152600	GO:0003723
TraesCS1A02G152600	GO:0005576
TraesCS1A02G152600	GO:0005618
TraesCS1A02G152600	GO:0005737
TraesCS1A02G152800	GO:0003723
TraesCS1A02G152800	GO:0005576
TraesCS1A02G152800	GO:0005618
TraesCS1A02G152800	GO:0005737
TraesCS1A02G153100	GO:0005783
TraesCS1A02G156100	GO:0005634
TraesCS1A02G156400	GO:0005794
TraesCS1A02G156500	GO:0005768
TraesCS1A02G156500	GO:0005783
TraesCS1A02G159200	GO:0005622
TraesCS1A02G160000	GO:0003723
TraesCS1A02G160000	GO:0004518
TraesCS1A02G160000	GO:0005739
TraesCS1A02G160800	GO:0005618
TraesCS1A02G160800	GO:0005737
TraesCS1A02G164800	GO:0005773
TraesCS1A02G170800	GO:0003824
TraesCS1A02G170800	GO:0005634
TraesCS1A02G171300	GO:0003677
TraesCS1A02G171300	GO:0005634
TraesCS1A02G175000	GO:0005773
TraesCS1A02G176700	GO:0003677
TraesCS1A02G176700	GO:0005634
TraesCS1A02G177100	GO:0005783
TraesCS1A02G177800	GO:0005783
TraesCS1A02G178400	GO:0005515
TraesCS1A02G178400	GO:0005634
TraesCS1A02G178400	GO:0005737
TraesCS1A02G182400	GO:0005768
TraesCS1A02G182400	GO:0005773
TraesCS1A02G187300	GO:0000003
TraesCS1A02G187300	GO:0005618
TraesCS1A02G190000	GO:0005739
TraesCS1A02G190900	GO:0003677
TraesCS1A02G190900	GO:0005634
TraesCS1A02G197700	GO:0003824
TraesCS1A02G197700	GO:0005773
TraesCS1A02G197700	GO:0005794
TraesCS1A02G198300	GO:0005634
TraesCS1A02G203300	GO:0000166
TraesCS1A02G203300	GO:0003676
TraesCS1A02G206800	GO:0005634
TraesCS1A02G208900	GO:0005488
TraesCS1A02G209100	GO:0005739
TraesCS1A02G210500	GO:0005618
TraesCS1A02G212000	GO:0005576
TraesCS1A02G212400	GO:0005576
TraesCS1A02G215800	GO:0003824
TraesCS1A02G217400	GO:0005634
TraesCS1A02G217400	GO:0005737
TraesCS1A02G217500	GO:0005198
TraesCS1A02G217500	GO:0005488
TraesCS1A02G217800	GO:0003824
TraesCS1A02G218200	GO:0003723
TraesCS1A02G218200	GO:0005634
TraesCS1A02G222500	GO:0003677
TraesCS1A02G222500	GO:0005634
TraesCS1A02G225100	GO:0005622
TraesCS1A02G225100	GO:0005634
TraesCS1A02G225100	GO:0005654
TraesCS1A02G230400	GO:0005768
TraesCS1A02G230400	GO:0005773
TraesCS1A02G230400	GO:0005794
TraesCS1A02G231100	GO:0003723
TraesCS1A02G231100	GO:0005618
TraesCS1A02G231100	GO:0005730
TraesCS1A02G235200	GO:0005618
TraesCS1A02G235200	GO:0005739
TraesCS1A02G235200	GO:0005794
TraesCS1A02G235900	GO:0005488
TraesCS1A02G235900	GO:0005634
TraesCS1A02G236000	GO:0000166
TraesCS1A02G236000	GO:0003723
TraesCS1A02G236000	GO:0003824
TraesCS1A02G236000	GO:0005654
TraesCS1A02G236500	GO:0005488
TraesCS1A02G236500	GO:0005576
TraesCS1A02G236500	GO:0005773
