Gene Long name,Gene Long Name,Gene Short Name,R1M-A2_V2,R2M-A2_V2,R3M-A2_V2,R1M-A4_V2,R2M-A4_V2,R3M-A4_V2,R1M-A6_V2,R2M-A6_V2,R3M-A6_V2,R1M-B2_V2,R2M-B2_V2,R3M-B2_V2,R1M-B4_V2,R2M-B4_V2,R3M-B4_V2,R1M-B6_V2,R2M-B6_V2,R3M-B6_V2,R1T-A2_V2,R2T-A2_V2,R3T-A2_V2,R1T-A4_V2,R2T-A4_V2,R3T-A4_V2,R1T-A6_V2,R2T-A6_V2,R3T-A6_V2,R1T-B2_V2,R2T-B2_V2,R3T-B2_V2,R1T-B4_V2,R2T-B4_V2,R3T-B4_V2,R1T-B6_V2,R2T-B6_V2,R3T-B6_V2
TraesCS4B01G106300,TraesCS4B01G106300,ADH,0.382244,1.22398,0.532613,0.24579,0.976733,0.829045,0.548287,1.00668,0.840718,0.668749,1.16142,0.824341,1.92131,1.48647,0.908198,2.16614,1.90014,1.60047,0.528582,0.410399,0.758537,0.873408,0.743591,2.05887,1.63534,3.48513,3.66679,1.30733,0.796298,1.28887,1.82666,1.5762,4.94666,8.4885,5.69502,10.7846
TraesCS6A01G083200,TraesCS6A01G083200,BI-1,4.86063,5.65335,1.46055,4.72777,6.78447,5.74356,5.66225,7.83217,6.51927,2.89625,4.4647,5.21786,5.9413,3.7509,4.1061,5.86097,8.75455,8.8504,4.05095,3.85586,3.37745,6.16763,6.5282,10.6337,18.9797,26.0332,46.1636,3.49431,2.87005,6.58649,9.59094,7.20368,22.185,48.3058,30.3802,120.592
TraesCS6B01G113900,TraesCS6B01G113900,BI-1,10.9778,13.0126,11.7443,10.6751,13.2023,9.94841,8.45783,18.2253,14.5233,11.3283,6.40934,5.19482,11.7973,9.02343,8.17851,8.29558,10.7212,13.1379,14.6638,14.9785,16.2624,18.6153,18.7126,23.0474,20.2761,25.9052,30.2299,13.5115,14.3225,9.61709,25.2592,23.6793,70.369,118.423,70.1108,252.44
TraesCS6D01G077000,TraesCS6D01G077000,BI-1,9.11196,9.12375,4.67515,6.22911,7.51225,5.12655,4.98006,9.93755,9.30798,7.13107,4.50238,6.97124,6.49507,6.54018,5.70293,4.89672,8.27369,9.37767,8.01892,8.13948,8.41114,9.90961,11.4152,12.5247,19.2184,27.3603,35.5466,8.4444,7.4175,6.77694,14.7183,13.7759,28.2324,60.7357,43.256,129.045
TraesCS1B01G136200,TraesCS1B01G136200,CESA3,3.69936,5.56092,3.7647,3.70646,2.98906,2.78229,3.78227,4.95069,5.59769,4.62875,2.50215,3.67692,2.03972,1.9356,3.81689,3.34308,2.55687,5.39587,3.09905,3.68011,3.04615,3.71248,7.16763,8.61885,16.8002,15.7493,18.659,4.46695,5.5403,3.48874,3.57904,5.79687,3.33287,5.55058,4.3687,6.09166
TraesCS2A01G102600,TraesCS2A01G102600,CESA3,7.38428,7.59927,7.34773,6.2681,5.73247,8.20037,11.2389,14.9807,16.6596,8.74701,7.54723,10.0398,5.08934,6.41336,9.08817,9.05595,8.16582,19.7158,4.85041,6.44898,5.98106,11.7282,19.9658,27.0749,59.5622,66.8653,62.0388,11.0584,13.1455,8.75891,13.0208,18.7429,16.3211,25.5499,25.2635,29.8254
TraesCS3A01G289900,TraesCS3A01G289900,CESA3,1.77262,6.10201,0.580143,1.32588,1.10314,0.732116,1.70312,1.46083,2.54781,1.28022,2.60983,3.4363,0.957121,1.33014,1.02631,1.08136,1.01313,1.81199,1.07529,0.699458,1.12421,0.972642,1.65877,2.39565,5.65127,7.8415,4.81258,3.46097,3.33446,3.15556,1.10562,1.67496,0.740581,1.09029,1.95181,1.13863
TraesCS4A01G355000,TraesCS4A01G355000,CESA3,23.5732,25.5121,16.2744,15.2662,15.1049,18.4687,19.0641,25.3404,25.645,30.1496,13.2962,18.1539,11.6188,15.9576,16.3682,15.2251,13.577,21.3127,15.639,17.0922,14.8429,16.7307,28.1512,28.7168,48.6554,54.4125,46.3406,20.5758,25.7318,20.6743,17.3504,29.8574,15.6325,20.1293,20.0476,14.8115
TraesCS5B01G517500,TraesCS5B01G517500,CESA3,24.1714,21.7621,16.2214,13.0528,14.1243,16.2393,15.7347,23.9908,24.7753,25.293,16.0272,18.0576,14.1077,14.0501,17.9032,16.6202,14.6652,25.1569,12.7601,15.5896,14.1449,19.8722,30.5348,34.5692,64.9879,73.2045,67.2484,20.7373,25.397,18.5226,20.3787,32.208,19.6431,26.4189,25.8898,24.882
TraesCS5D01G470400,TraesCS5D01G470400,CESA3,44.7693,18.4412,12.4004,5.27667,8.65788,7.81997,7.38572,4.71045,7.04403,67.1034,11.3742,8.50528,8.68453,10.9392,9.31505,7.47277,6.68049,13.0504,10.313,14.4487,9.46348,10.0821,15.0976,13.1786,26.5207,28.7829,33.9505,12.6642,17.4589,6.90288,11.0605,29.5512,12.2074,15.2906,12.0512,12.8783
TraesCS4B01G346900,TraesCS4B01G346900,DMR6,0.219134,0.469207,0.60777,0,0.213656,0,0.625468,0,0.919819,0.595278,0.533408,0.504076,1.3758,0.526007,0.59542,0.99055,0.625401,6.98541,0.629482,0.54526,0.145213,3.55471,7.75149,18.6259,62.1549,72.7059,104.33,0.910105,1.21921,0.157789,15.6008,10.4975,37.0449,70.4633,47.3518,152.486
TraesCS4D01G341800,TraesCS4D01G341800,DMR6,0.365224,0.469207,0.151943,0.188658,0.640969,0.317736,0.312734,1.15988,0.735855,0.17008,0.711211,0.252038,0.196543,0.876678,0.59542,0,0.416934,2.16215,1.07911,0.934732,0.653458,6.66508,9.98137,29.1731,65.5575,69.4548,107.128,1.27415,0.914406,0.0788943,13.6507,8.96661,31.6402,49.9618,31.8773,105.055
