geneid	Sr9b_D2_mock_R1	Sr9b_D2_mock_R2	Sr9b_D2_mock_R3	Sr9b_D2_treated_R1	Sr9b_D2_treated_R2	Sr9b_D2_treated_R3	Sr9b_D4_mock_R1	Sr9b_D4_mock_R2	Sr9b_D4_mock_R3	Sr9b_D4_treated_R1	Sr9b_D4_treated_R2	Sr9b_D4_treated_R3	Sr9b_D6_mock_R1	Sr9b_D6_mock_R2	Sr9b_D6_mock_R3	Sr9b_D6_treated_R1	Sr9b_D6_treated_R2	Sr9b_D6_treated_R3	W2691_D2_mock_R1	W2691_D2_mock_R2	W2691_D2_mock_R3	W2691_D2_treated_R1	W2691_D2_treated_R2	W2691_D2_treated_R3	W2691_D4_mock_R1	W2691_D4_mock_R2	W2691_D4_mock_R3	W2691_D4_treated_R1	W2691_D4_treated_R2	W2691_D4_treated_R3	W2691_D6_mock_R1	W2691_D6_mock_R2	W2691_D6_mock_R3	W2691_D6_treated_R1	W2691_D6_treated_R2	W2691_D6_treated_R3
TraesCS6A02G124300	0.497870489919309	0.246768311361284	0.212938562001905	0.150028832511026	0.231788348974043	0.366647385655506	0.0537342127591949	0.338877387729227	0.497555711295579	0.317821476392184	0.213787407544709	0.227092138781947	0.418896601987339	0.223209912693295	0.139460212636576	0.347938039500111	0.267304644157784	0.402948375844927	0.445763230910701	0.384622310775612	0.219364015102134	0.245953358114005	0.280003748237006	0.12069949277833	0.307578171489792	0	0.436080272366786	0.251514276884543	0.0902927483079228	0.321042364334584	0.437948462460904	0.207020598638169	0.199859797013335	0.252413122871579	0.571779888301642	0.329344417166757
TraesCS6A02G124500	1.03145903448709	0.912563740286456	0.849220852467211	0.924692422295573	0.733404883552865	0.985244147965368	0.818227041877334	1.10575458200188	0.901956032686726	0.864207740283695	1.22908157218811	1.2350001410903	1.36685672696057	0.546249305750514	1.46629707600548	1.35157074562057	1.16295095028697	2.19136295817983	1.01375800296655	0.836679967210066	1.00209657844465	0.775792642972872	1.0307849559394	0.853323496063701	1.00362545499894	0.898554417283336	0.711463462524522	0.957470911909567	1.11302632635552	1.53641990114988	1.23848644093045	0.900675716554791	1.08690190172875	1.37270380221645	1.42149625688159	1.91048633727792
TraesCS6A02G124600	0.370666084175492	0.694460668138785	1.33168058396871	0.938254120870036	1.31778532744591	0.438357844839677	0.756099863244369	0.529820002237324	1.12364291596814	1.98760001617723	0.477496112775054	1.7752432271118	1.41900752617403	0.785202647419956	1.453599696068	1.39882097762768	1.46271699744127	0.899988850254132	0.380144373827946	0.334077884697089	1.50905067022735	0.653713475404901	0.43777363698261	0.534673765714266	0.881622580656384	0.645810713051975	0.886330209749271	0.983078980532068	0.94112513537871	0.401548577389142	0.890127293504022	0.566418420081346	0.859298186663768	0.394636898675008	0.127707556381632	0
TraesCS6A02G124700	0.4444413729543	0.730422988073644	0.350160259582798	0.641446760755748	0.519759833425308	0.46815120020848	0.159050827996685	0.620942937664922	0.490914098563148	0.62715808519537	0.572534248484443	0.928251901396762	0.344420807371016	0.330345599274286	0.82559178420812	0.980838843853927	0.967033955490444	1.02232189874366	0.419821470499848	0.632480312238226	0.865743355256815	0.38827240719707	0.510029766740406	0.436657239139552	0.252893725209585	0.582217472471898	0.430259263334909	0.27917656138427	0.326654083483761	0.348432630238051	0.475312767522891	0.306385782307157	0.443681937902508	0.124521895605775	0.0805924993694934	0.216632113081002
TraesCS6A02G124800	0	0.0513337193813832	0	0	0.0657511750954674	0.0672983278144009	0.0558900165046237	0.251766476683348	0	0	0.0317663581612626	0.0674865774275862	0.145234211108185	0	0	0.103399208658972	0.139014421228165	0.239494038953854	0.021074870225691	0.0889007257241833	0	0	0.134417276099773	0	0.0533196890097573	0.0613768778614837	0	0	0.0313050905810104	0.100176752128594	0	0	0.311817186298349	0.0656349692257385	0.0849599372095768	0.114185878766199
TraesCS6A02G124900	0.0215325500402077	0	0	0.0908409872145194	0.019138032663953	0.0195883585969585	0.0488033085295276	0.0879372582611641	0	0.0360820852609951	0.110953867982867	0.0294647279226324	0	0.101363560352485	0.12666268724169	0.135432688988615	0	0	0.0552078953363199	0	0	0.0223383520545896	0.0391245056360124	0.036541179774459	0	0	0	0.0285542679051275	0.0273356869387123	0.0583164012391291	0	0	0	0	0	0.0997074078638181
TraesCS6A02G125000	0.0234249157860621	0.0487641134055233	0	0	0.062459876228345	0.04261972220328	0	0	0	0.235518730585847	0.271586099638098	0.705192507022046	0	0	0.229657176099481	1.6697972319842	0.704297560716073	1.7062928543214	0	0.0422253162569358	0.0433487251686469	0	0	0	0	0	0.0430871122355579	0	0	0.0317207387286218	0	0.0511369140834045	0	0	0.161414215176329	0.325410268838826
TraesCS6A02G125200	1.09974527045846	1.85623914904894	4.18238692728824	0.658318503970252	1.13595377928678	3.40693230812131	1.21259754321832	1.03177918051826	5.05959034026952	0.298839356456094	0.842364488520236	0.447393874898866	4.20136209398489	3.70785416320055	1.22388792886909	0.373893926655685	0.390972833912486	0.288671992098835	0.711267363228662	1.71449108000735	1.15506909835879	0.616702970832229	1.13413060816048	0.933145158350832	1.79951545153104	1.47960138619528	4.04567925293988	0.630646407720608	1.32066585670159	0.402490499349817	4.2826333731489	3.50381055775226	3.82110149984516	0.0791125215496091	0	0
TraesCS6A02G125300	0.0778714187555571	0	0.0777128442477802	0.164261003511915	0.184564702022365	0.0708403450677904	0	0	0.181585097283417	0	0.0668765434973949	0	0	0	0.101793209097482	0	0.0975539798092385	0.126049494186239	0.17747259137424	0.046789855644307	0	0.0538570416695905	0.141491869578709	0.0440497991293116	0	0.129214479708387	0.0954896228302689	0.06884341300795	0.131810907709517	0	0.239746763093158	0.0566647935446738	0	0	0.0894315128521861	0
TraesCS6A02G125400	1.46389342602898	1.94834798561159	1.86805193028944	1.06305394784474	1.96231751003644	1.55003161013083	1.63175397836926	1.86213293826635	1.90265767920839	1.16620201269693	1.36025174690535	1.47774367531559	1.908103315521	1.18619288830322	1.4116689356045	1.66035267750465	1.98422293547894	0.815759124525219	1.45620475679498	2.76856339318203	2.08725627376726	1.74274293782528	1.78779154905817	1.30321690104714	1.81616306679506	1.0751683849162	1.19182568145279	1.65484961722898	1.34050003257147	1.94982722674536	1.90622427795265	1.15254737126442	1.46671584425302	1.27751047327486	1.90169649663161	1.11124951946126
TraesCS6A02G125500	0.256434204059365	0.776471543657266	0.767736032488047	0.393395727252235	0.49727466701129	0.0848292914048868	0.317021208817622	0.380820846701333	0.543607428701086	0.273449712103918	0.420434448802898	0.669899312308363	0.343250965964717	0.384094159133566	0.365683388017334	0.879756640896889	0.700908639535158	1.98109631713172	0.278930351472774	0.0420221375486516	0.603961972177037	0.411138223138888	0.275327772820651	0.237367697657468	0.453662567685623	0.290119971776614	0.214398933795955	0.309142583461966	0.32554458758741	0.220976739764744	0.344507887594493	0.254454273871002	0.147391650472189	0.310247377885603	0.160637526340213	0.215896311960999
TraesCS6A02G125600	0	0	0	0	0.02182557392356	0.0223391388292684	0	0	0	0	0.0316337615559383	0.0336024401622149	0	0	0.144449844573484	0.102967607907265	0.0922894388594854	0.17887077149058	0	0	0	0	0.0223093670330572	0	0	0	0	0	0.0311744193621272	0	0.0453617459328915	0.053606854477415	0	0.130722001916498	0	0
TraesCS6A02G126400	0	0	0	0	0	0	0	0	0	0	0.0487366266690937	0.0517696758401786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501699929890274	0.144086820221279	0	0	0.165179044480707	0.0797327669756918	0	0	0
TraesCS6A02G127500	0.0764026010239279	0.159048815151967	0.457482105377006	0.201453372040548	0.373484566018471	0.2085124442487	0.0865828641583688	0.390027844212607	0.534480068349055	0.448097325075669	0.196845336286859	0.313643555577186	0.787471209580095	0.179830991812734	1.27338299905549	0.480547342654408	0.717854308753975	0.185507905868709	0.32648453874679	0.206582855231057	0.77762304945389	0.237785333790738	0.10411727786949	0.324141958806368	0.165202004909638	0.190165836787899	0.351331833534837	0.253293308759538	0.145490263275382	0.103460220194651	0.352836957001202	0.166787931277597	0.161018769671689	0.203358810031509	0.263233942745813	0.176892780648935
