gene_a	gene_b	score
10084000	10295300	3.2741995
10084000	20288400	3.0585823
10107500	10295300	3.044705
10107500	20620900	3.6465821
10107500	40131000	3.357683
10295300	20143700	3.4653857
10295300	20450800	3.1819327
10295300	20620900	3.5305533
10295300	30030500	3.014438
10295300	30308600	3.610631
10295300	40131000	3.9177754
10295300	40449500	3.6765707
10295300	50241600	3.0096667
10843200	40131000	3.2570999
11001700	20143700	4.0580106
11001700	20146400	3.566516
11001700	20620900	3.0924916
11001700	30030500	3.2155516
11001700	30308600	3.1376126
11001700	30714300	3.117558
11001700	40131000	3.3926346
11001700	50241600	3.449599
11009900	40131000	3.2012148
11009900	50241600	3.071853
20143700	20146400	3.5712693
20143700	20450800	3.0398529
20143700	20620900	3.7849169
20143700	30030500	3.2643201
20143700	30308600	3.7222364
20143700	30413700	3.02501
20143700	40131000	3.9911594
20143700	40449500	3.0770402
20146400	30030500	3.2026672
20146400	30714300	3.0929418
20146400	40131000	3.584122
20288400	30308600	3.008239
20288400	40131000	3.5632734
20450800	20620900	3.3169599
20450800	30308600	3.1885583
20450800	40449500	3.6637516
20506100	40131000	3.3591363
20620900	30030500	3.1333747
20620900	30308600	3.879647
20620900	40131000	3.376704
20620900	40449500	3.044632
20784000	40131000	3.3835216
30030500	30308600	3.5464602
30030500	30714300	3.2683845
30030500	40131000	3.1952944
30030500	40449500	3.0835152
30094200	30308600	3.1901534
30282700	30714300	3.0424147
30308600	30714300	3.1790736
30308600	40131000	4.0400577
30308600	40449500	3.5280137
30413700	30714300	3.238035
30413700	40131000	4.806223
30714300	40131000	3.1568298
40131000	40449500	3.0380542
40131000	50241600	3.509993
40449500	50241600	3.1460223
