geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
BDIBD213.3G0068600	12.0255	20.1771	24.8898	12.9347	8.1422	18.9753
BDIBD213.1G0225500	2.6071	6.4002	7.5014	2.2698	1.7821	3.7511
BDIBD213.3G0013800	24.6393	50.7743	56.5347	20.7412	20.4767	49.18
BDIBD213.4G0458800	3.5904	5.2262	12.0468	2.3406	1.5741	4.0426
BDIBD213.4G0306000	19.9698	36.4274	48.0259	19.9757	17.2923	32.1094
BDIBD213.3G0031400	19.9408	25.8573	30.7707	17.3786	18.9148	23.8228
BDIBD213.2G0599800	15.0074	24.1837	28.0871	18.3926	16.7881	29.3629
BDIBD213.5G0286600	2.8485	7.6006	5.0948	2.2593	1.2652	3.2601
BDIBD213.1G0638900	1.7424	5.158	5.0231	1.771	1.4561	2.709
BDIBD213.1G0853700	1.0559	3.8297	6.8735	0.744	0.46	1.8206
BDIBD213.4G0225900	2.8518	3.6607	6.2229	1.846	1.5389	3.0448
BDIBD213.2G0333200	22.97	35.0722	43.3521	23.2613	22.5788	29.6419
BDIBD213.1G0364100	0.9124	1.483	1.9489	0.7201	0.5493	1.2368
BDIBD213.2G0565000	39.6779	84.4082	78.468	30.8089	19.041	68.2833
BDIBD213.5G0041200	2.4594	5.9029	7.7462	2.2871	2.3054	4.7514
BDIBD213.2G0173800	11.395	24.2309	38.3593	11.1725	9.6702	15.17
BDIBD213.1G1026800	55.7566	113.2821	97.1731	48.8921	33.0961	86.6074
BDIBD213.3G0418100	7.2851	15.2392	21.6534	5.857	5.0419	12.5659
BDIBD213.3G0595500	2.5436	5.7477	6.4386	2.2269	1.5953	3.1237
BDIBD213.2G0649200	21.4349	33.4888	39.7151	20.0204	20.9347	31.7693
BDIBD213.5G0300700	32.8439	48.3541	52.4133	31.4112	36.1186	53.1789
BDIBD213.1G0773700	2.6723	3.6032	4.3446	2.7402	1.7457	3.5799
BDIBD213.3G0013900	6.4612	13.1261	19.4018	6.0973	5.0236	9.9567
BDIBD213.4G0035900	1.9134	3.6514	4.2469	1.4627	1.6891	2.9853
