gene_a	gene_b	score	geneA_goterm	geneB_goterm	geneA_interesting_gene	geneB_interesting_gene
BDIBD213.1G0225500	BDIBD213.1G0638900	3.177084445953369	GO:0006464,GO:0016301,GO:0006464	GO:0006139,GO:0009058,GO:0003700	N	N
BDIBD213.1G0225500	BDIBD213.1G0773700	2.7116236686706543	GO:0006464,GO:0016301,GO:0006464	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	N	N
BDIBD213.1G0225500	BDIBD213.1G0853700	3.0248448848724365	GO:0006464,GO:0016301,GO:0006464	GO:0003677,GO:0006139,GO:0009058,GO:0003700	N	N
BDIBD213.1G0225500	BDIBD213.1G1026800	2.95381760597229	GO:0006464,GO:0016301,GO:0006464	GO:0008152,GO:0008152,GO:0003824	N	Y
BDIBD213.1G0225500	BDIBD213.2G0173800	4.10603141784668	GO:0006464,GO:0016301,GO:0006464	GO:0005515	N	N
BDIBD213.1G0225500	BDIBD213.2G0333200	2.827308416366577	GO:0006464,GO:0016301,GO:0006464	GO:0006464,GO:0016301,GO:0006464	N	N
BDIBD213.1G0225500	BDIBD213.3G0013900	2.8970751762390137	GO:0006464,GO:0016301,GO:0006464	GO:0030246,GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0225500	BDIBD213.3G0031400	2.5080602169036865	GO:0006464,GO:0016301,GO:0006464		N	N
BDIBD213.1G0225500	BDIBD213.3G0418100	2.7195794582366943	GO:0006464,GO:0016301,GO:0006464		N	N
BDIBD213.1G0225500	BDIBD213.4G0035900	3.320038080215454	GO:0006464,GO:0016301,GO:0006464	GO:0030246,GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0225500	BDIBD213.4G0306000	2.8968052864074707	GO:0006464,GO:0016301,GO:0006464	GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0225500	BDIBD213.4G0458800	2.5478262901306152	GO:0006464,GO:0016301,GO:0006464	GO:0030246,GO:0006464,GO:0016301,GO:0006464	N	N
BDIBD213.1G0225500	BDIBD213.5G0041200	3.1945464611053467	GO:0006464,GO:0016301,GO:0006464	GO:0000166	N	N
BDIBD213.1G0364100	BDIBD213.1G0773700	2.5010271072387695	GO:0000166	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	N	N
BDIBD213.1G0364100	BDIBD213.1G1026800	2.7936625480651855	GO:0000166	GO:0008152,GO:0008152,GO:0003824	N	Y
BDIBD213.1G0364100	BDIBD213.2G0565000	2.8831117153167725	GO:0000166	GO:0003677,GO:0006139,GO:0009058,GO:0003700	N	N
BDIBD213.1G0364100	BDIBD213.3G0068600	2.6576690673828125	GO:0000166	GO:0005515	N	N
BDIBD213.1G0364100	BDIBD213.4G0225900	3.2900936603546143	GO:0000166		N	N
BDIBD213.1G0364100	BDIBD213.4G0458800	2.997751235961914	GO:0000166	GO:0030246,GO:0006464,GO:0016301,GO:0006464	N	N
BDIBD213.1G0638900	BDIBD213.1G0853700	2.8733856678009033	GO:0006139,GO:0009058,GO:0003700	GO:0003677,GO:0006139,GO:0009058,GO:0003700	N	N
BDIBD213.1G0638900	BDIBD213.1G1026800	2.6385955810546875	GO:0006139,GO:0009058,GO:0003700	GO:0008152,GO:0008152,GO:0003824	N	Y
BDIBD213.1G0638900	BDIBD213.2G0173800	2.6973652839660645	GO:0006139,GO:0009058,GO:0003700	GO:0005515	N	N
BDIBD213.1G0638900	BDIBD213.4G0035900	2.7255923748016357	GO:0006139,GO:0009058,GO:0003700	GO:0030246,GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0638900	BDIBD213.4G0306000	2.5220835208892822	GO:0006139,GO:0009058,GO:0003700	GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0638900	BDIBD213.5G0041200	2.6441967487335205	GO:0006139,GO:0009058,GO:0003700	GO:0000166	N	N
BDIBD213.1G0773700	BDIBD213.1G0853700	2.5036871433258057	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	GO:0003677,GO:0006139,GO:0009058,GO:0003700	N	N
BDIBD213.1G0773700	BDIBD213.1G1026800	3.063521385192871	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	GO:0008152,GO:0008152,GO:0003824	N	Y
BDIBD213.1G0773700	BDIBD213.3G0013900	3.2078864574432373	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	GO:0030246,GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0773700	BDIBD213.3G0068600	2.8920912742614746	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	GO:0005515	N	N
BDIBD213.1G0773700	BDIBD213.4G0225900	2.612542152404785	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246		N	N
BDIBD213.1G0773700	BDIBD213.4G0306000	3.0125339031219482	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0773700	BDIBD213.4G0458800	3.0339913368225098	GO:0006464,GO:0000166,GO:0016301,GO:0006464,GO:0030246	GO:0030246,GO:0006464,GO:0016301,GO:0006464	N	N
BDIBD213.1G0853700	BDIBD213.1G1026800	2.6064443588256836	GO:0003677,GO:0006139,GO:0009058,GO:0003700	GO:0008152,GO:0008152,GO:0003824	N	Y
BDIBD213.1G0853700	BDIBD213.2G0173800	2.611309766769409	GO:0003677,GO:0006139,GO:0009058,GO:0003700	GO:0005515	N	N
BDIBD213.1G0853700	BDIBD213.2G0333200	2.599792957305908	GO:0003677,GO:0006139,GO:0009058,GO:0003700	GO:0006464,GO:0016301,GO:0006464	N	N
BDIBD213.1G0853700	BDIBD213.4G0035900	3.164875030517578	GO:0003677,GO:0006139,GO:0009058,GO:0003700	GO:0030246,GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0853700	BDIBD213.4G0306000	2.526090383529663	GO:0003677,GO:0006139,GO:0009058,GO:0003700	GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G0853700	BDIBD213.5G0041200	2.5870935916900635	GO:0003677,GO:0006139,GO:0009058,GO:0003700	GO:0000166	N	N
BDIBD213.1G0853700	BDIBD213.5G0286600	2.501814603805542	GO:0003677,GO:0006139,GO:0009058,GO:0003700	GO:0006464,GO:0000166,GO:0016301,GO:0006464	N	N
BDIBD213.1G1026800	BDIBD213.2G0173800	2.5428688526153564	GO:0008152,GO:0008152,GO:0003824	GO:0005515	Y	N
BDIBD213.1G1026800	BDIBD213.2G0333200	2.995030641555786	GO:0008152,GO:0008152,GO:0003824	GO:0006464,GO:0016301,GO:0006464	Y	N
BDIBD213.1G1026800	BDIBD213.2G0565000	3.1867830753326416	GO:0008152,GO:0008152,GO:0003824	GO:0003677,GO:0006139,GO:0009058,GO:0003700	Y	N
BDIBD213.1G1026800	BDIBD213.2G0599800	2.529358386993408	GO:0008152,GO:0008152,GO:0003824	GO:0006464,GO:0000166,GO:0016301,GO:0006464	Y	N
BDIBD213.1G1026800	BDIBD213.2G0649200	2.512394905090332	GO:0008152,GO:0008152,GO:0003824	GO:0006810,GO:0016043,GO:0005737	Y	N
BDIBD213.1G1026800	BDIBD213.3G0013800	2.9942855834960938	GO:0008152,GO:0008152,GO:0003824	GO:0005488,GO:0030246,GO:0006464,GO:0000166,GO:0016301,GO:0006464	Y	N
BDIBD213.1G1026800	BDIBD213.3G0013900	2.7889766693115234	GO:0008152,GO:0008152,GO:0003824	GO:0030246,GO:0006464,GO:0000166,GO:0016301,GO:0006464	Y	N
BDIBD213.1G1026800	BDIBD213.3G0031400	2.598196268081665	GO:0008152,GO:0008152,GO:0003824		Y	N
BDIBD213.1G1026800	BDIBD213.3G0068600	2.950885057449341	GO:0008152,GO:0008152,GO:0003824	GO:0005515	Y	N
BDIBD213.1G1026800	BDIBD213.3G0418100	2.800586700439453	GO:0008152,GO:0008152,GO:0003824		Y	N
