geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
TRAESCS1A01G020500	29.5314	35.7664	43.3815	30.9529	63.1459	84.0005
TRAESCS1A01G171100	4.0726	4.6336	5.2683	3.2441	4.8614	5.5298
TRAESCS1A01G199200	0.4402	0.5622	0.1436	0.5103	1.0844	2.5173
TRAESCS1A01G261000	19.8271	18.6901	16.2182	14.764	28.03	38.7656
TRAESCS1B01G126500	20.044	23.0937	23.2969	19.5132	27.7665	34.0328
TRAESCS1B01G169900	2.5419	2.539	3.778	2.1856	4.3716	5.7131
TRAESCS1B01G399000	7.0152	9.0302	10.9536	5.9882	14.2157	17.495
TRAESCS1D01G139500	1.4367	1.2809	2.1994	1.2702	3.312	4.9533
TRAESCS2A01G166000	0.0513	0.2305	0.3009	0.2722	1.9171	2.0834
TRAESCS2A01G170600	1.4518	1.7624	1.27	1.3531	2.6666	3.7773
TRAESCS2A01G231900	2.9769	2.794	2.5168	2.4545	5.7245	7.6378
TRAESCS2A01G456100	17.5547	19.6558	13.5727	14.4719	26.5913	34.8374
TRAESCS2D01G068300	7.6792	7.5952	11.6148	7.6105	11.8416	13.6751
TRAESCS2D01G209000	3.0775	3.0878	3.5046	2.9035	4.7591	5.374
TRAESCS2D01G211600	4.8648	5.9677	7.6395	4.3339	8.2068	10.8026
TRAESCS2D01G219700	7.5517	7.5565	7.1503	6.6388	10.0487	11.1609
TRAESCS2D01G307500	9.8968	9.0234	10.1022	8.7253	14.7859	23.7027
TRAESCS2D01G504700	0.7942	1.7009	0.2448	1.1586	5.5825	14.5039
TRAESCS3A01G200100	8.706	8.3598	13.9239	7.531	16.7308	20.8897
TRAESCS3A01G342200	1.2792	1.1135	0.8124	1.247	1.8802	1.996
TRAESCS3A01G484600	0.0171	0.154	0.4251	0.2509	1.6162	2.8504
TRAESCS3B01G019900	6.4018	8.9454	7.5404	5.3809	12.8868	15.8885
TRAESCS3B01G236700	3.4504	3.9619	4.2779	2.967	5.1475	6.5035
TRAESCS3B01G247200	1.1505	1.5154	0.5977	1.1447	7.6877	7.4333
TRAESCS3B01G318000	4.4969	4.315	4.8838	3.9649	6.7069	7.858
TRAESCS3B01G390700	0.0134	0.113	0.0586	0.1126	1.6543	2.6238
TRAESCS3B01G577200	8.9576	7.9688	11.9103	7.4139	12.1041	16.3733
TRAESCS3D01G179200	3.8668	6.6624	5.1315	3.0889	7.0032	8.2965
TRAESCS4A01G295700	0.5596	0.827	0.6679	0.5335	1.7077	2.1371
TRAESCS4B01G042900	11.3843	13.6425	11.5836	9.1408	16.4752	17.513
TRAESCS4B01G046300	3.5477	3.0938	3.4452	3.1172	5.8924	7.5152
TRAESCS4B01G306300	9.1783	9.8383	11.3285	7.4969	14.6725	17.4055
TRAESCS4B01G355700	3.5064	2.794	4.5636	2.2016	5.9032	8.1934
