geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
TRAESCS1A01G002500	1.9259	2.1796	2.8544	2.577	5.1254	9.2064
TRAESCS1A01G015300	10.4834	10.9176	16.7832	11.751	20.8454	37.1671
TRAESCS1A01G020500	29.5314	35.7664	43.3815	30.9529	63.1459	84.0005
TRAESCS1A01G025600	0.7199	0.8657	2.1313	0.996	2.9445	6.8277
TRAESCS1A01G035100	0.0428	0.343	0.2842	0.1658	1.343	2.9786
TRAESCS1A01G035600	2.0741	2.4264	3.096	2.2491	6.1909	12.4476
TRAESCS1A01G056600	0.9262	1.5128	2.811	1.2377	7.7272	14.2071
TRAESCS1A01G070400	0.2432	0.7962	2.0591	0.8854	6.0626	14.8932
TRAESCS1A01G072200	5.2222	4.4614	6.144	6.4719	19.3808	37.537
TRAESCS1A01G076100	3.8037	2.5922	3.4782	3.1877	9.7142	13.9088
TRAESCS1A01G079700	12.8058	9.4262	16.322	11.3599	20.0083	34.461
TRAESCS1A01G083400	5.8774	5.9998	7.8256	6.0161	11.7291	13.1282
TRAESCS1A01G086900	1.915	1.8305	2.0924	1.772	3.3714	5.2231
TRAESCS1A01G089500	16.9084	38.3177	17.3025	13.9873	78.0524	248.7243
TRAESCS1A01G091100	5.0626	5.568	6.9427	4.9916	7.9618	12.375
TRAESCS1A01G097400	22.6179	26.3878	26.4027	21.6889	33.1583	38.4577
TRAESCS1A01G097700	19.5295	19.1365	26.1077	22.4612	47.2145	73.5588
TRAESCS1A01G099300	7.7558	7.1439	13.5706	6.8826	19.2075	33.3762
TRAESCS1A01G103900	0.6717	1.5567	1.9561	1.6508	4.1859	8.4541
TRAESCS1A01G109200	2.5817	2.7074	3.8306	2.4507	4.0375	5.7661
TRAESCS1A01G110300	13.1205	17.6448	20.7057	13.8031	33.021	54.062
TRAESCS1A01G112100	2.5021	2.282	3.128	2.4892	5.7393	12.618
TRAESCS1A01G112500	73.4026	90.6701	105.4979	100.7266	162.6437	257.4787
TRAESCS1A01G116700	1.1587	1.2483	1.9762	1.5369	6.8608	16.8241
TRAESCS1A01G118400	2.5806	2.4701	3.5878	3.0646	8.7044	11.8498
TRAESCS1A01G120100	2.8088	2.5222	3.5137	2.4606	7.6366	17.9212
TRAESCS1A01G120200	20.0312	17.9777	25.7322	20.3652	29.5967	42.431
TRAESCS1A01G122500	2.4703	2.5667	5.3377	3.2127	19.5261	57.4509
TRAESCS1A01G122700	24.6206	26.1917	34.5445	23.643	36.9316	56.0898
TRAESCS1A01G123000	10.9187	11.7442	16.6676	9.9711	17.5665	22.6523
TRAESCS1A01G133400	4.0226	4.3081	5.4589	4.0942	6.8305	8.834
TRAESCS1A01G145800	2.9198	2.3761	17.9245	1.2993	33.4644	88.1483
TRAESCS1A01G149200	10.7976	12.8343	14.0849	13.3784	19.6113	25.616
TRAESCS1A01G150100	1.7167	1.5616	4.4449	1.7455	10.8224	26.1847
TRAESCS1A01G152500	5.0524	4.4726	7.3326	5.0513	9.6139	13.67
TRAESCS1A01G153300	4.7703	4.7505	7.559	4.3018	9.9498	12.9118
TRAESCS1A01G166100	5.6599	9.3362	21.0169	12.2972	61.6916	108.1974
TRAESCS1A01G166200	0.5081	0.7242	2.3549	1.0431	11.0131	23.0811
TRAESCS1A01G173800	0.7106	0.7643	1.2957	0.6033	3.6407	17.2169
TRAESCS1A01G181000	0.1791	0.1722	0.1343	0.2257	3.6867	16.2358
TRAESCS1A01G181500	23.9941	25.6171	31.9783	21.9458	39.383	49.0647
TRAESCS1A01G183000	0.3088	0.423	0.3444	0.2399	1.4777	5.0113
TRAESCS1A01G183800	6.1691	7.3851	11.9764	6.7285	13.3537	20.969
TRAESCS1A01G197200	7.7643	7.7601	18.1993	7.0851	22.3722	29.8525
TRAESCS1A01G197600	10.9949	12.9477	17.5467	11.9146	22.4628	37.5306
TRAESCS1A01G198300	0.0609	0.2151	0.3148	0.2625	1.191	2.5572
TRAESCS1A01G202300	6.0784	4.4412	5.5719	5.576	10.7785	14.5575
TRAESCS1A01G203600	1.7168	0.6156	2.8989	3.6272	29.5025	64.8788
TRAESCS1A01G209100	1.3634	2.3142	5.5052	1.6519	10.9142	34.3056
TRAESCS1A01G211500	0.095	0.058	0.2195	0.1656	4.7654	19.043
TRAESCS1A01G223800	17.5497	20.1023	26.913	21.8748	36.8115	43.4026
TRAESCS1A01G230400	6.0016	7.4343	13.3709	7.8746	32.7964	90.0441
TRAESCS1A01G245000	3.7035	3.8594	3.9534	3.377	5.2791	8.078
TRAESCS1A01G246400	5.9675	6.8142	6.9629	5.0093	12.3319	23.8703
TRAESCS1A01G251100	2.7992	3.3603	3.7425	2.5634	4.5151	6.9621
TRAESCS1A01G257200	0.0725	0.0757	0.4494	0.2529	3.215	6.5232
TRAESCS1A01G258100	2.7043	3.5375	2.4729	3.009	4.9336	5.6603
TRAESCS1A01G261400	1.6711	1.7678	2.5416	1.5967	3.891	8.542
TRAESCS1A01G266000	0.2994	0.1454	0	0.184	9.4	30.1598
TRAESCS1A01G266300	28.1674	28.3451	32.3995	23.7859	45.3804	67.5719
TRAESCS1A01G270400	7.7723	7.1711	8.1068	7.5687	12.1237	17.6096
TRAESCS1A01G273500	0.3055	0.2175	0.2189	0.58	2.2683	7.56
TRAESCS1A01G279800	0.2601	0.3404	0.2112	0.3443	1.8966	5.4895
TRAESCS1A01G280400	3.9907	4.6715	5.0714	4.4687	8.649	11.8304
TRAESCS1A01G285000	1.838	2.0424	4.3047	2.0469	8.9571	23.2591
TRAESCS1A01G286000	5.095	4.1838	6.9442	3.9597	11.1391	19.3786
TRAESCS1A01G300800	4.5019	4.6531	6.1284	4.0152	9.4374	12.0316
TRAESCS1A01G305700	10.2593	10.9347	19.0364	10.7623	22.0162	31.2496
TRAESCS1A01G310500	1.1589	1.199	2.7571	1.6363	4.1483	13.0405
TRAESCS1A01G325400	1.7852	1.4461	2.6003	2.1839	7.5631	17.2814
TRAESCS1A01G327200	9.0237	9.6826	14.9261	8.2614	14.6345	22.0858
TRAESCS1A01G330600	4.4393	4.6529	4.8036	3.7003	6.5873	9.0065
TRAESCS1A01G342900	1.6948	2.689	6.6527	1.9184	7.4187	13.2616
TRAESCS1A01G343000	0.2317	0.4269	2.2374	0.5278	4.3842	13.1432
TRAESCS1A01G346800	10.9095	12.9028	21.0808	11.2591	22.9827	27.8442
TRAESCS1A01G361100	2.6258	3.1839	4.5279	2.9504	6.4233	14.2169
TRAESCS1A01G365800	1.7991	1.4919	2.3473	1.4501	4.1827	6.7375
TRAESCS1A01G372300	0.2627	0.7239	0.555	0.2728	1.9709	3.7988
TRAESCS1A01G379800	11.7667	12.0566	14.2202	12.5169	18.9231	24.4054
TRAESCS1A01G383800	0.0719	0.5663	1.1114	0.6707	3.3659	6.7113
TRAESCS1A01G385400	10.9422	11.5689	15.3447	11.1568	18.5254	24.2687
TRAESCS1A01G402400	3.6029	2.0352	2.2773	3.4574	6.1586	10.1907
TRAESCS1A01G413900	10.8694	12.6831	18.5878	10.3178	19.5273	24.8275
TRAESCS1A01G420800	4.9472	4.2334	7.6271	4.7023	8.5908	11.0597
TRAESCS1A01G422900	0.3158	1.6688	1.4061	1.0707	12.4923	29.6599
TRAESCS1A01G429400	12.3444	17.6597	18.844	13.6212	24.0591	29.3753
TRAESCS1B01G001800	3.1269	3.0158	3.9403	4.4398	8.4066	21.0069
TRAESCS1B01G018900	0.4232	0.6379	1.2739	0.7869	2.4802	3.8666
TRAESCS1B01G019100	10.3603	10.8172	16.4287	9.8152	19.8361	38.6525
TRAESCS1B01G020600	6.6081	9.538	12.7398	7.1406	17.2679	23.3183
TRAESCS1B01G024500	22.2254	20.194	36.071	21.4863	40.0044	49.632
TRAESCS1B01G030800	5.4858	6.4363	8.5535	5.2064	9.081	11.9777
TRAESCS1B01G042000	0.7634	1.0877	1.4247	0.7497	2.0596	2.9537
TRAESCS1B01G043200	0.6338	0.9392	0.304	0.6445	2.0498	3.1002
TRAESCS1B01G060700	3.5123	4.5238	10.6191	3.4175	11.4248	17.5314
TRAESCS1B01G073700	0.4245	0.6991	0.9799	0.6571	3.4642	7.1566
TRAESCS1B01G080500	11.9703	17.1867	12.7299	12.7953	28.6681	32.9791
TRAESCS1B01G088900	0.1384	0.5359	1.7786	0.3806	7.6933	26.9213
TRAESCS1B01G107600	0.3007	0.3624	0.8553	0.8392	4.8617	25.4557
TRAESCS1B01G117400	18.3332	23.1796	21.1749	22.9016	84.6375	162.147
TRAESCS1B01G117500	8.3835	11.3164	17.9032	7.9656	25.292	56.1269
TRAESCS1B01G123600	0.4638	0.3951	0.3923	0.4633	0.9661	1.8818
TRAESCS1B01G125100	8.7876	10.4124	13.6457	8.645	21.9472	34.7869
TRAESCS1B01G126100	20.5051	19.8426	28.4698	23.3492	47.8908	69.6269
TRAESCS1B01G126500	20.044	23.0937	23.2969	19.5132	27.7665	34.0328
TRAESCS1B01G127900	0.6623	0.9284	1.6671	1.0705	6.2792	9.0531
TRAESCS1B01G128800	1.2878	1.7316	3.3171	1.7111	4.1846	5.5058
TRAESCS1B01G129300	8.7081	10.917	15.7107	9.4102	21.2642	33.507
TRAESCS1B01G136700	0.7627	1.3688	1.6362	1.1978	6.5585	10.9911
TRAESCS1B01G138100	3.5478	3.7514	4.4131	4.858	13.5077	17.8584
TRAESCS1B01G138600	0.3245	0.2974	0.4244	0.6449	3.075	7.8721
TRAESCS1B01G139500	2.5362	2.2948	4.0653	2.1393	7.1945	14.6818
TRAESCS1B01G139600	18.0219	17.9631	26.2567	18.6722	24.4069	36.4276
TRAESCS1B01G141700	4.351	6.7401	10.9961	5.935	24.3866	68.6482
TRAESCS1B01G141900	21.0622	22.8345	32.9037	22.5948	38.3099	52.7462
TRAESCS1B01G144500	1.0703	2.3895	3.3402	2.0021	4.9744	9.62
TRAESCS1B01G148400	9.8701	9.8336	11.5385	10.2252	15.9069	28.0451
TRAESCS1B01G150500	8.3758	7.7819	10.5561	8.9424	12.5431	16.7901
TRAESCS1B01G154700	3.8747	3.7451	5.0956	3.5866	6.037	8.5927
TRAESCS1B01G159400	0.8274	0.8662	2.2451	1.3273	3.4506	6.666
TRAESCS1B01G164000	4.4336	3.255	21.2371	2.7304	36.533	84.6956
TRAESCS1B01G173400	0.2111	0.2356	0.6652	0.2114	2.4102	5.4755
TRAESCS1B01G174700	6.1072	5.6913	8.606	6.0097	13.1116	17.7859
TRAESCS1B01G180900	7.0748	8.6473	9.2002	6.9024	9.3598	14.1996
TRAESCS1B01G188300	0.2421	0.4681	1.7578	0.567	3.5856	9.4254
TRAESCS1B01G190600	0.2149	0.6177	1.2408	0.5601	3.393	16.685
TRAESCS1B01G194100	0.8641	1.6139	4.7994	1.5772	5.941	10.4223
TRAESCS1B01G194900	0.2267	0.0905	2.1433	0.1737	3.119	8.1324
TRAESCS1B01G198000	1.7944	2.3083	2.9617	1.982	3.5559	4.2383
TRAESCS1B01G205300	4.4351	5.3369	9.0652	4.5367	10.7212	18.4019
TRAESCS1B01G209300	3.9936	4.8644	5.4288	4.186	8.054	9.9943
