gene_a	gene_b	score	geneA_goterm	geneB_goterm	geneA_interesting_gene	geneB_interesting_gene
TRAESCS1A01G020500	TRAESCS1B01G126500	3.123497724533081		GO:0005488,GO:0005515,GO:0005634,GO:0005737,GO:0005622,GO:0006810,GO:0005215,GO:0006810	N	N
TRAESCS1A01G020500	TRAESCS1B01G169900	3.178603172302246		GO:0006139,GO:0016740,GO:0009058,GO:0006464,GO:0016740	N	N
TRAESCS1A01G020500	TRAESCS1B01G399000	2.7823023796081543		GO:0008152,GO:0003824,GO:0019725,GO:0008152	N	N
TRAESCS1A01G020500	TRAESCS1D01G139500	3.2184338569641113		GO:0016787,GO:0000166	N	N
TRAESCS1A01G020500	TRAESCS2A01G166000	2.7520623207092285			N	N
TRAESCS1A01G020500	TRAESCS2A01G231900	2.5287082195281982			N	Y
TRAESCS1A01G020500	TRAESCS2D01G068300	3.356623411178589			N	N
TRAESCS1A01G020500	TRAESCS2D01G209000	2.597194194793701		GO:0005515,GO:0005488	N	N
TRAESCS1A01G020500	TRAESCS2D01G211600	3.3861186504364014		GO:0003677,GO:0005488	N	N
TRAESCS1A01G020500	TRAESCS2D01G307500	2.6482796669006348		GO:0016020	N	N
TRAESCS1A01G020500	TRAESCS2D01G504700	2.670198440551758			N	N
TRAESCS1A01G020500	TRAESCS3A01G200100	3.074045419692993		GO:0003676,GO:0000166	N	N
TRAESCS1A01G020500	TRAESCS3A01G484600	3.1219377517700195		GO:0006810,GO:0006810,GO:0005215,GO:0016020	N	N
TRAESCS1A01G020500	TRAESCS3B01G019900	3.027796506881714			N	N
TRAESCS1A01G020500	TRAESCS3B01G236700	2.9254558086395264		GO:0005515	N	N
TRAESCS1A01G020500	TRAESCS3B01G318000	2.5725815296173096			N	N
TRAESCS1A01G020500	TRAESCS3B01G390700	2.6487479209899902			N	N
TRAESCS1A01G020500	TRAESCS4B01G046300	2.709826707839966		GO:0005198,GO:0005515,GO:0005622,GO:0006810,GO:0006810,GO:0005737,GO:0016020,GO:0005794	N	N
TRAESCS1A01G020500	TRAESCS4B01G306300	2.546935558319092		GO:0003677,GO:0005515,GO:0005634	N	N
TRAESCS1A01G020500	TRAESCS4D01G317600	2.7041819095611572			N	N
TRAESCS1A01G020500	TRAESCS5A01G002600	2.5301594734191895		GO:0007165,GO:0005622,GO:0016301,GO:0006464,GO:0005515,GO:0007165,GO:0009987,GO:0008152,GO:0016740	N	N
TRAESCS1A01G020500	TRAESCS5A01G194900	2.7211570739746094			N	N
TRAESCS1A01G020500	TRAESCS5B01G224400	2.5752346515655518		GO:0003676	N	N
TRAESCS1A01G020500	TRAESCS5B01G533000	2.5577425956726074		GO:0005622,GO:0005488,GO:0007165,GO:0005515,GO:0016787,GO:0006464,GO:0030234	N	N
TRAESCS1A01G020500	TRAESCS5D01G106600	2.8062291145324707		GO:0005794,GO:0005488,GO:0005737,GO:0005622,GO:0006810,GO:0005215,GO:0006810,GO:0016020,GO:0006810,GO:0016043	N	N
TRAESCS1A01G020500	TRAESCS5D01G150700	2.9206182956695557		GO:0003700,GO:0006139,GO:0009058,GO:0003677	N	N
TRAESCS1A01G020500	TRAESCS5D01G179100	2.7654948234558105		GO:0016787,GO:0000166	N	N
TRAESCS1A01G020500	TRAESCS5D01G188100	2.845583200454712		GO:0016787	N	N
TRAESCS1A01G020500	TRAESCS5D01G198100	2.541081428527832			N	N
TRAESCS1A01G020500	TRAESCS5D01G292700	2.895699977874756		GO:0000166,GO:0008152,GO:0016301	N	N
TRAESCS1A01G020500	TRAESCS5D01G370200	2.618971824645996		GO:0008150,GO:0005515,GO:0005488,GO:0007165,GO:0005622	N	N
TRAESCS1A01G020500	TRAESCS5D01G516000	2.563255548477173		GO:0005515	N	N
TRAESCS1A01G020500	TRAESCS6B01G272900	3.118913412094116		GO:0006139,GO:0003723,GO:0006139,GO:0003824	N	N
TRAESCS1A01G020500	TRAESCS6B01G285500	2.687727689743042		GO:0003774,GO:0000166,GO:0009987,GO:0005515	N	N
TRAESCS1A01G020500	TRAESCS6D01G302100	2.784318685531616			N	N
TRAESCS1A01G020500	TRAESCS6D01G362500	2.5107181072235107		GO:0016301,GO:0006464,GO:0000166,GO:0006464	N	N
TRAESCS1A01G020500	TRAESCS7A01G015000	2.8604989051818848			N	N
TRAESCS1A01G020500	TRAESCS7A01G332000	2.8259856700897217		GO:0005515,GO:0016301	N	N
TRAESCS1A01G020500	TRAESCS7A01G357100	2.668017625808716		GO:0003723,GO:0016740,GO:0016740,GO:0006139,GO:0006139	N	N
TRAESCS1A01G020500	TRAESCS7B01G193200	2.80185866355896			N	N
TRAESCS1A01G020500	TRAESCS7D01G350400	2.8931777477264404		GO:0005515	N	N
TRAESCS1A01G171100	TRAESCS2A01G166000	2.6314189434051514			N	N
TRAESCS1A01G171100	TRAESCS2A01G231900	2.565812110900879			N	Y
TRAESCS1A01G171100	TRAESCS3A01G484600	2.9703474044799805		GO:0006810,GO:0006810,GO:0005215,GO:0016020	N	N
TRAESCS1A01G171100	TRAESCS3B01G390700	2.558760166168213			N	N
TRAESCS1A01G171100	TRAESCS4B01G042900	2.538205146789551		GO:0005515,GO:0005488	N	N
TRAESCS1A01G199200	TRAESCS1A01G261000	2.6365604400634766		GO:0000166,GO:0016787,GO:0030234,GO:0000166,GO:0016787,GO:0030234,GO:0007165,GO:0005622,GO:0006810,GO:0008152,GO:0003824,GO:0008152	N	N
TRAESCS1A01G199200	TRAESCS1B01G126500	2.768834114074707		GO:0005488,GO:0005515,GO:0005634,GO:0005737,GO:0005622,GO:0006810,GO:0005215,GO:0006810	N	N
TRAESCS1A01G199200	TRAESCS1B01G399000	2.7913148403167725		GO:0008152,GO:0003824,GO:0019725,GO:0008152	N	N
TRAESCS1A01G199200	TRAESCS2A01G170600	2.73089337348938		GO:0016301,GO:0006464,GO:0000166,GO:0006464	N	N
TRAESCS1A01G199200	TRAESCS2A01G231900	2.8940110206604004			N	Y
TRAESCS1A01G199200	TRAESCS2A01G456100	3.462195873260498		GO:0016301,GO:0006464,GO:0005488,GO:0000166,GO:0006464	N	N
TRAESCS1A01G199200	TRAESCS2D01G068300	2.5377979278564453			N	N
TRAESCS1A01G199200	TRAESCS2D01G209000	2.6003243923187256		GO:0005515,GO:0005488	N	N
TRAESCS1A01G199200	TRAESCS2D01G307500	2.8782660961151123		GO:0016020	N	N
TRAESCS1A01G199200	TRAESCS3A01G342200	2.7264819145202637			N	N
TRAESCS1A01G199200	TRAESCS3B01G019900	2.68583607673645			N	N
TRAESCS1A01G199200	TRAESCS3B01G247200	2.854158878326416			N	N
TRAESCS1A01G199200	TRAESCS3D01G179200	2.6672115325927734		GO:0006629	N	N
TRAESCS1A01G199200	TRAESCS4B01G042900	2.776318073272705		GO:0005515,GO:0005488	N	N
TRAESCS1A01G199200	TRAESCS4B01G306300	2.833967924118042		GO:0003677,GO:0005515,GO:0005634	N	N
TRAESCS1A01G199200	TRAESCS4B01G355700	2.6112401485443115		GO:0005515	N	N
