geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
TRAESCS1A01G047000	2.347	3.3037	5.3751	1.7657	5.194	11.8865
TRAESCS1A01G089500	12.7487	22.0369	15.7446	12.7466	57.9346	429.65
TRAESCS1A01G091200	2.1588	2.4274	2.6812	2.5421	4.5895	8.3096
TRAESCS1A01G112100	1.9581	1.4701	2.984	1.8239	5.8179	20.1814
TRAESCS1A01G120100	2.7343	1.952	3.5554	2.2853	8.1727	31.8393
TRAESCS1A01G122500	3.2632	3.281	8.623	3.3785	10.308	24.3872
TRAESCS1A01G122700	25.4379	25.1451	26.7646	22.1466	42.1152	78.6855
TRAESCS1A01G138400	2.5214	2.394	3.3855	2.018	3.8827	8.7568
TRAESCS1A01G139400	2.3173	2.0405	2.0243	2.2944	3.6587	6.8721
TRAESCS1A01G145000	2.1361	1.8651	2.8892	2.6442	5.3339	19.3637
TRAESCS1A01G150100	2.5378	1.0486	1.9974	2.117	5.6752	16.0763
TRAESCS1A01G155200	198.433	218.5267	231.8357	200.0263	255.4173	348.2027
TRAESCS1A01G158700	11.1797	9.1864	11.2866	10.4427	19.5618	40.2361
TRAESCS1A01G170400	3.9345	4.0054	4.5669	3.4613	5.605	9.3255
TRAESCS1A01G178100	0.4574	0.294	0.5754	0.4575	1.0483	1.7218
TRAESCS1A01G181000	0.318	0.1364	0.3399	0.3994	6.0354	48.5598
TRAESCS1A01G183000	0.2359	0.2866	0.2659	0.189	1.6727	8.8074
TRAESCS1A01G183800	7.8607	5.9985	8.5398	6.9847	12.3837	22.4435
TRAESCS1A01G197600	11.1161	10.9138	14.0462	10.0185	18.1891	30.4684
TRAESCS1A01G198300	0.1918	0.0527	0.4839	0.146	0.6544	1.6107
TRAESCS1A01G206700	4.2113	4.7266	5.6505	3.8158	5.6441	8.0898
TRAESCS1A01G230400	5.5446	5.8321	13.0902	6.8446	21.2077	106.844
TRAESCS1A01G231100	3.9041	2.9911	3.6386	3.0198	8.2941	16.8111
TRAESCS1A01G246400	6.0273	5.1819	5.0635	4.4087	11.3746	29.0226
TRAESCS1A01G253200	0.1458	0.1027	0.4181	0.0888	2.2957	13.5183
TRAESCS1A01G279100	20.3929	23.001	26.2486	18.3951	35.0394	53.5093
TRAESCS1A01G287500	0.4916	0.4227	0.6805	0.7017	1.4681	5.7744
TRAESCS1A01G309700	1.2594	1.2541	2.0704	1.3133	7.4353	21.7979
TRAESCS1A01G316900	128.0507	138.6717	156.378	127.0293	193.025	311.2547
TRAESCS1A01G325400	2.52	2.095	2.9342	1.8928	6.6586	12.8637
TRAESCS1A01G330600	4.2375	3.3517	4.7497	3.6757	6.2495	12.6214
TRAESCS1A01G339900	3.8637	3.907	4.9974	3.4236	6.0402	11.7778
TRAESCS1A01G350200	69.3197	69.8867	87.0151	80.9391	135.5267	281.2173
TRAESCS1A01G355500	2.45	1.9318	2.4313	1.8899	4.9201	13.1043
TRAESCS1A01G369700	9.0309	9.115	12.5955	8.3763	15.1482	23.4541
TRAESCS1A01G403900	7.6408	6.2839	7.2068	7.6294	10.1303	14.9288
TRAESCS1A01G427100	2.5	1.8422	0.8173	3.0292	6.9047	36.2138
TRAESCS1B01G024500	19.1006	18.2173	29.7736	19.3183	38.7928	63.2138
TRAESCS1B01G030800	5.8337	5.8244	6.1472	5.4613	8.2639	14.3629
TRAESCS1B01G060700	3.0257	4.337	8.1409	3.1156	6.2169	11.7934
TRAESCS1B01G088900	0.5462	0.2987	1.6177	0.5943	2.8016	10.1868
TRAESCS1B01G119000	1.822	1.9836	2.9289	2.0584	3.9794	7.0965
TRAESCS1B01G123000	0.6177	0.4436	0.926	0.593	1.1266	2.2464
TRAESCS1B01G139500	2.3634	1.8549	3.7572	2.0321	7.3681	29.459
TRAESCS1B01G145000	0.169	0	0.5366	0.2992	2.0449	6.1867
TRAESCS1B01G154200	6.7852	5.8737	6.4061	6.6244	9.6489	16.915
TRAESCS1B01G164000	4.6599	2.9175	6.6917	3.1387	29.4499	86.0426
TRAESCS1B01G173400	0.0937	0.182	0	0.1892	2.9174	13.3694
TRAESCS1B01G174700	6.3226	5.745	6.0229	6.0513	11.1519	23.1204
TRAESCS1B01G202500	0.898	1.241	2.2413	0.7451	2.041	6.9157
TRAESCS1B01G205300	5.005	4.3676	5.8829	4.8713	9.3204	19.7364
TRAESCS1B01G226300	6.9453	6.6408	8.3832	5.6473	9.1127	14.5504
TRAESCS1B01G238200	5.0581	5.1718	2.9694	4.8596	9.1401	20.4163
TRAESCS1B01G242700	0.0804	0.0501	0.5232	0.2421	1.5073	7.6414
TRAESCS1B01G250300	1.0251	1.166	1.317	1.0235	2.1006	4.0697
