geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
TRAESCS1A01G002500	2.15	2.1546	2.392	2.6397	3.7994	6.0959
TRAESCS1A01G047000	2.347	3.3037	5.3751	1.7657	5.194	11.8865
TRAESCS1A01G051300	0.5667	0.5275	0.6953	0.4629	1.4353	2.4426
TRAESCS1A01G069300	1.4696	1.1486	1.3026	0.5462	5.4193	22.1728
TRAESCS1A01G089500	12.7487	22.0369	15.7446	12.7466	57.9346	429.65
TRAESCS1A01G091200	2.1588	2.4274	2.6812	2.5421	4.5895	8.3096
TRAESCS1A01G103900	0.7248	1.076	2.0386	0.9187	2.7117	10.0014
TRAESCS1A01G112100	1.9581	1.4701	2.984	1.8239	5.8179	20.1814
TRAESCS1A01G120100	2.7343	1.952	3.5554	2.2853	8.1727	31.8393
TRAESCS1A01G122500	3.2632	3.281	8.623	3.3785	10.308	24.3872
TRAESCS1A01G122700	25.4379	25.1451	26.7646	22.1466	42.1152	78.6855
TRAESCS1A01G138100	0.2508	0.2354	0	0.2487	0.867	3.6095
TRAESCS1A01G139400	2.3173	2.0405	2.0243	2.2944	3.6587	6.8721
TRAESCS1A01G150400	1.4993	4.242	10.3426	1.7372	5.6321	13.9856
TRAESCS1A01G153100	0.5673	0.706	0.8291	1.3669	3.8168	10.327
TRAESCS1A01G155200	198.433	218.5267	231.8357	200.0263	255.4173	348.2027
TRAESCS1A01G158300	10.6704	9.4393	13.5159	10.1872	15.5832	28.2353
TRAESCS1A01G158700	11.1797	9.1864	11.2866	10.4427	19.5618	40.2361
TRAESCS1A01G177700	1.4792	1.6497	2.1041	1.5283	3.2029	7.6928
TRAESCS1A01G177800	0.736	0.9736	2.4253	1.0449	4.0509	13.8158
TRAESCS1A01G179000	9.0168	16.8827	30.0156	7.159	23.3051	81.5647
TRAESCS1A01G181000	0.318	0.1364	0.3399	0.3994	6.0354	48.5598
TRAESCS1A01G183000	0.2359	0.2866	0.2659	0.189	1.6727	8.8074
TRAESCS1A01G183800	7.8607	5.9985	8.5398	6.9847	12.3837	22.4435
TRAESCS1A01G191900	3.0566	5.4358	6.4109	3.9403	7.2913	18.4996
TRAESCS1A01G197200	8.0519	6.9304	15.6024	6.7775	21.6018	44.0089
TRAESCS1A01G197600	11.1161	10.9138	14.0462	10.0185	18.1891	30.4684
TRAESCS1A01G198300	0.1918	0.0527	0.4839	0.146	0.6544	1.6107
TRAESCS1A01G202300	5.8906	6.1191	6.5027	5.7135	8.7347	16.0693
TRAESCS1A01G209100	1.8377	1.8856	3.1987	1.5935	9.3853	29.2791
TRAESCS1A01G210800	0.5519	0.6155	0.645	0.4087	1.1793	3.9739
TRAESCS1A01G211500	0.1415	0.0955	0.1738	0.1622	1.0328	4.1594
TRAESCS1A01G218200	0.1604	0.126	0.3526	0.2382	0.6951	1.3626
TRAESCS1A01G225600	2.4855	1.806	2.3269	2.5257	4.6197	6.9617
TRAESCS1A01G227000	3.4303	3.3705	3.8379	2.7035	5.8922	10.8414
TRAESCS1A01G230400	5.5446	5.8321	13.0902	6.8446	21.2077	106.844
TRAESCS1A01G251600	33.3567	33.1195	28.1004	33.507	43.3813	58.0807
TRAESCS1A01G253200	0.1458	0.1027	0.4181	0.0888	2.2957	13.5183
TRAESCS1A01G255100	2.2291	4.7631	7.464	2.3157	11.2697	43.885
TRAESCS1A01G263700	0.4221	1.2188	1.283	0.4078	4.8247	21.5628
TRAESCS1A01G266000	0.1318	0	0.0454	0.0551	4.5136	29.2161
TRAESCS1A01G274400	10.5296	13.5692	21.5864	8.8978	23.692	96.649
TRAESCS1A01G275200	8.2348	10.5598	17.057	9.5092	16.2902	33.4591
TRAESCS1A01G279100	20.3929	23.001	26.2486	18.3951	35.0394	53.5093
TRAESCS1A01G285000	1.3389	2.2443	3.8644	1.101	16.3016	80.2731
TRAESCS1A01G286500	0.4997	1.479	3.4392	0.6596	1.9865	2.9652
