geneid	2dpi_mock	4dpi_mock	6dpi_mock	2dpi_inoc	4dpi_inoc	6dpi_inoc
TRAESCS1A01G002200	9.8858	9.6009	12.3018	12.2503	23.6198	34.6085
TRAESCS1A01G104700	1.2719	0.7661	1.328	1.2065	2.366	2.9363
TRAESCS1A01G110300	12.9568	15.141	15.9754	13.2305	32.4778	58.6609
TRAESCS1A01G122500	3.2632	3.281	8.623	3.3785	10.308	24.3872
TRAESCS1A01G145800	2.7228	1.7296	5.7546	1.0767	24.455	94.3306
TRAESCS1A01G150400	1.4993	4.242	10.3426	1.7372	5.6321	13.9856
TRAESCS1A01G153100	0.5673	0.706	0.8291	1.3669	3.8168	10.327
TRAESCS1A01G181000	0.318	0.1364	0.3399	0.3994	6.0354	48.5598
TRAESCS1A01G215400	5.0102	3.7086	4.0508	4.4667	7.951	9.6515
TRAESCS1A01G225600	2.4855	1.806	2.3269	2.5257	4.6197	6.9617
TRAESCS1A01G263600	0.1651	0.1094	0.1502	0.7801	3.7389	5.0682
TRAESCS1A01G263700	0.4221	1.2188	1.283	0.4078	4.8247	21.5628
TRAESCS1A01G279100	20.3929	23.001	26.2486	18.3951	35.0394	53.5093
TRAESCS1A01G287000	0.4788	2.1195	4.3355	1.7379	10.8053	50.9108
TRAESCS1A01G299100	0.3008	0.7409	2.3029	0.8732	9.8947	40.0638
TRAESCS1A01G306200	39.6558	50.0828	63.9006	38.6231	68.8151	86.1304
TRAESCS1A01G309700	1.2594	1.2541	2.0704	1.3133	7.4353	21.7979
TRAESCS1A01G312700	0.5004	1.2741	2.1737	1.1614	3.5823	9.2129
TRAESCS1A01G316900	128.0507	138.6717	156.378	127.0293	193.025	311.2547
TRAESCS1A01G325400	2.52	2.095	2.9342	1.8928	6.6586	12.8637
TRAESCS1A01G340100	0.0334	0.113	0.0369	0.1373	3.069	8.034
TRAESCS1A01G366500	0.4048	0.3475	0.3656	0.4326	2.3229	3.6189
TRAESCS1A01G369700	9.0309	9.115	12.5955	8.3763	15.1482	23.4541
TRAESCS1A01G375600	0.4801	1.1704	1.0325	0.6174	4.6615	7.8626
TRAESCS1A01G420300	9.9645	9.7591	11.2167	10.0658	14.4819	18.9661
TRAESCS1A01G442500	6.4178	8.103	9.0426	6.3024	10.2912	13.1844
