gene_a	gene_b	score	geneA_goterm	geneB_goterm	geneA_interesting_gene	geneB_interesting_gene
TRAESCS1A01G112100	TRAESCS1A01G139400	3.5114223957061768		GO:0016740	N	N
TRAESCS1A01G112100	TRAESCS1A01G158700	3.602468967437744		GO:0005198,GO:0005488,GO:0005622,GO:0006810,GO:0006810,GO:0005737,GO:0016020,GO:0005794	N	N
TRAESCS1A01G112100	TRAESCS1A01G316900	3.093074083328247		GO:0008135	N	N
TRAESCS1A01G112100	TRAESCS1B01G030800	3.1726315021514893		GO:0000166,GO:0006810,GO:0016020,GO:0016787,GO:0016787,GO:0005215,GO:0006810,GO:0006810	N	N
TRAESCS1A01G112100	TRAESCS1B01G316400	3.481329917907715		GO:0008152,GO:0003824,GO:0008152	N	N
TRAESCS1A01G112100	TRAESCS1D01G017500	3.1434273719787598			N	N
TRAESCS1A01G112100	TRAESCS1D01G192900	3.602043628692627		GO:0003824,GO:0005488,GO:0006091,GO:0003824,GO:0008152,GO:0003824,GO:0008152,GO:0003824,GO:0005488,GO:0000166,GO:0005488,GO:0005488,GO:0008152	N	N
TRAESCS1A01G112100	TRAESCS1D01G292100	3.2348380088806152		GO:0003824,GO:0016740,GO:0005488	N	N
TRAESCS1A01G112100	TRAESCS1D01G327000	3.425018548965454		GO:0019538,GO:0016787,GO:0019538	N	N
TRAESCS1A01G112100	TRAESCS2A01G040100	3.742422580718994		GO:0016787,GO:0019538,GO:0006810,GO:0016020	N	N
TRAESCS1A01G112100	TRAESCS2A01G134100	3.7128469944000244			N	N
TRAESCS1A01G112100	TRAESCS2A01G231900	3.332777500152588			N	Y
TRAESCS1A01G112100	TRAESCS2A01G327100	3.663050413131714		GO:0005515	N	N
TRAESCS1A01G112100	TRAESCS2A01G508900	3.536161422729492		GO:0008152,GO:0003824,GO:0009987,GO:0009058,GO:0008152,GO:0005488,GO:0008152,GO:0003824,GO:0000166,GO:0008152	N	N
TRAESCS1A01G112100	TRAESCS2B01G105700	3.8023571968078613		GO:0000166,GO:0005737,GO:0016787,GO:0019538,GO:0009056	N	N
TRAESCS1A01G112100	TRAESCS2B01G253700	3.091031789779663		GO:0005215,GO:0006810,GO:0016020,GO:0006810	N	N
TRAESCS1A01G112100	TRAESCS2B01G271700	3.7487733364105225		GO:0016301,GO:0006464,GO:0000166,GO:0006464,GO:0007165	N	N
TRAESCS1A01G112100	TRAESCS2D01G273400	3.1177875995635986			N	N
TRAESCS1A01G112100	TRAESCS2D01G387900	3.2235758304595947		GO:0016787	N	N
TRAESCS1A01G112100	TRAESCS3A01G128600	3.3575844764709473		GO:0008152,GO:0003824,GO:0008152	N	N
TRAESCS1A01G112100	TRAESCS3A01G196900	3.054091215133667			N	N
TRAESCS1A01G112100	TRAESCS3A01G323000	3.341181755065918		GO:0005488	N	N
TRAESCS1A01G112100	TRAESCS3A01G347600	3.057586193084717			N	N
TRAESCS1A01G112100	TRAESCS3A01G400000	3.1681933403015137		GO:0016301,GO:0005975,GO:0005975,GO:0016740	N	N
TRAESCS1A01G112100	TRAESCS3B01G368600	3.957374095916748		GO:0000166,GO:0005622,GO:0007165,GO:0005622	N	N
TRAESCS1A01G112100	TRAESCS3B01G439800	3.771049737930298		GO:0016740,GO:0008152	N	N
TRAESCS1A01G112100	TRAESCS3B01G457100	3.334602117538452		GO:0000166,GO:0005737,GO:0016787,GO:0019538,GO:0009056	N	N
TRAESCS1A01G112100	TRAESCS3D01G187900	3.7368004322052		GO:0005515	N	N
TRAESCS1A01G112100	TRAESCS3D01G264200	3.102402448654175		GO:0016740,GO:0008152	N	N
TRAESCS1A01G112100	TRAESCS3D01G369200	3.1563241481781006			N	N
TRAESCS1A01G112100	TRAESCS4A01G050800	3.2570178508758545		GO:0008152,GO:0003824,GO:0008152	N	N
TRAESCS1A01G112100	TRAESCS4A01G085700	3.322448968887329			N	N
TRAESCS1A01G112100	TRAESCS4A01G243500	3.249382257461548		GO:0016740,GO:0006091,GO:0008152,GO:0016740,GO:0005737	N	N
TRAESCS1A01G112100	TRAESCS4A01G252800	3.6692721843719482		GO:0016787,GO:0019538,GO:0019538,GO:0016787,GO:0019538,GO:0008150,GO:0003824	N	N
TRAESCS1A01G112100	TRAESCS4A01G356400	3.206103563308716		GO:0000166,GO:0005515	N	N
TRAESCS1A01G112100	TRAESCS4B01G047700	3.5267791748046875		GO:0016787,GO:0000166	N	N
TRAESCS1A01G112100	TRAESCS4B01G304300	3.194545269012451		GO:0006810,GO:0005215,GO:0006810,GO:0005215,GO:0006810,GO:0016020,GO:0006810	N	N
TRAESCS1A01G112100	TRAESCS4D01G175600	3.10314679145813		GO:0005488	N	N
TRAESCS1A01G112100	TRAESCS4D01G315200	3.581995964050293			N	N
TRAESCS1A01G112100	TRAESCS5A01G014400	3.3162436485290527		GO:0005829,GO:0005488,GO:0003824,GO:0006091,GO:0006139,GO:0005975,GO:0016301,GO:0009058,GO:0009056	N	N
TRAESCS1A01G112100	TRAESCS5A01G212800	3.12479567527771			N	N
TRAESCS1A01G112100	TRAESCS5A01G383700	3.245962619781494		GO:0006810,GO:0016020	N	N
