geneid,cluster
TRAESCS1A02G015300,0
TRAESCS1A02G015400,0
TRAESCS1A02G034300,0
TRAESCS1A02G045700,0
TRAESCS1A02G047000,0
TRAESCS1A02G049600,0
TRAESCS1A02G051300,0
TRAESCS1A02G052300,0
TRAESCS1A02G056600,0
TRAESCS1A02G059200,0
TRAESCS1A02G064000,0
TRAESCS1A02G066800,0
TRAESCS1A02G069300,0
TRAESCS1A02G070200,0
TRAESCS1A02G075600,0
TRAESCS1A02G076100,0
TRAESCS1A02G078800,0
TRAESCS1A02G079700,0
TRAESCS1A02G083400,0
TRAESCS1A02G084500,0
TRAESCS1A02G085600,0
TRAESCS1A02G087300,0
TRAESCS1A02G088200,0
TRAESCS1A02G089500,0
TRAESCS1A02G089600,0
TRAESCS1A02G090000,0
TRAESCS1A02G091100,0
TRAESCS1A02G091300,0
TRAESCS1A02G094000,0
TRAESCS1A02G097400,0
TRAESCS1A02G103900,0
TRAESCS1A02G105800,0
TRAESCS1A02G109200,0
TRAESCS1A02G112100,0
TRAESCS1A02G112500,0
TRAESCS1A02G116200,0
TRAESCS1A02G118800,0
TRAESCS1A02G119100,0
TRAESCS1A02G120100,0
TRAESCS1A02G120200,0
TRAESCS1A02G122700,0
TRAESCS1A02G123100,0
TRAESCS1A02G124300,0
TRAESCS1A02G125500,0
TRAESCS1A02G125700,0
TRAESCS1A02G129100,0
TRAESCS1A02G129200,0
TRAESCS1A02G133800,0
TRAESCS1A02G138100,0
TRAESCS1A02G138400,0
TRAESCS1A02G139400,0
TRAESCS1A02G141100,0
TRAESCS1A02G142400,0
TRAESCS1A02G142900,0
TRAESCS1A02G144000,0
TRAESCS1A02G145000,0
TRAESCS1A02G150400,0
TRAESCS1A02G153100,0
TRAESCS1A02G155200,0
TRAESCS1A02G156400,0
TRAESCS1A02G156500,0
TRAESCS1A02G158700,0
TRAESCS1A02G160800,0
TRAESCS1A02G168600,0
TRAESCS1A02G175000,0
TRAESCS1A02G175500,0
TRAESCS1A02G176700,0
TRAESCS1A02G177700,0
TRAESCS1A02G177800,0
TRAESCS1A02G179000,0
TRAESCS1A02G181000,0
TRAESCS1A02G182400,0
TRAESCS1A02G183000,0
TRAESCS1A02G183800,0
TRAESCS1A02G187600,0
TRAESCS1A02G190100,0
TRAESCS1A02G190900,0
TRAESCS1A02G191900,0
TRAESCS1A02G194500,0
TRAESCS1A02G196600,0
TRAESCS1A02G197600,0
TRAESCS1A02G198300,0
TRAESCS1A02G198500,0
TRAESCS1A02G202300,0
TRAESCS1A02G208000,0
TRAESCS1A02G208600,0
TRAESCS1A02G209100,0
TRAESCS1A02G210200,0
TRAESCS1A02G210800,0
TRAESCS1A02G215100,0
TRAESCS1A02G215800,0
TRAESCS1A02G217800,0
TRAESCS1A02G223800,0
TRAESCS1A02G225200,0
TRAESCS1A02G227000,0
TRAESCS1A02G228100,0
TRAESCS1A02G228500,0
TRAESCS1A02G230400,0
TRAESCS1A02G235100,0
TRAESCS1A02G235200,0
TRAESCS1A02G236300,0
TRAESCS1A02G236500,0
TRAESCS1A02G238800,0
TRAESCS1A02G242500,0
TRAESCS1A02G244900,0
TRAESCS1A02G246400,0
TRAESCS1A02G251100,0
TRAESCS1A02G253200,0
TRAESCS1A02G255100,0
TRAESCS1A02G257400,0
TRAESCS1A02G259000,0
TRAESCS1A02G259200,0
TRAESCS1A02G259800,0
TRAESCS1A02G260900,0
TRAESCS1A02G263300,0
TRAESCS1A02G263400,0
TRAESCS1A02G263700,0
TRAESCS1A02G265000,0
TRAESCS1A02G266000,0
TRAESCS1A02G266600,0
TRAESCS1A02G268700,0
TRAESCS1A02G270300,0
TRAESCS1A02G270700,0
TRAESCS1A02G270800,0
TRAESCS1A02G272000,0
TRAESCS1A02G274400,0
TRAESCS1A02G275200,0
TRAESCS1A02G276800,0
TRAESCS1A02G277000,0
TRAESCS1A02G278900,0
TRAESCS1A02G285000,0
TRAESCS1A02G286500,0
TRAESCS1A02G287000,0
TRAESCS1A02G287500,0
TRAESCS1A02G288500,0
TRAESCS1A02G290500,0
TRAESCS1A02G291200,0
TRAESCS1A02G295800,0
TRAESCS1A02G297000,0
TRAESCS1A02G299100,0
TRAESCS1A02G300000,0
TRAESCS1A02G304900,0
TRAESCS1A02G305400,0
TRAESCS1A02G305700,0
TRAESCS1A02G307200,0
TRAESCS1A02G307700,0
TRAESCS1A02G307900,0
TRAESCS1A02G308000,0
TRAESCS1A02G308400,0
TRAESCS1A02G308800,0
TRAESCS1A02G309700,0
TRAESCS1A02G310500,0
TRAESCS1A02G311900,0
TRAESCS1A02G312700,0
TRAESCS1A02G316900,0
TRAESCS1A02G320900,0
TRAESCS1A02G321900,0
TRAESCS1A02G323000,0
TRAESCS1A02G323200,0
TRAESCS1A02G325600,0
TRAESCS1A02G326000,0
TRAESCS1A02G330600,0
TRAESCS1A02G330900,0
TRAESCS1A02G331800,0
TRAESCS1A02G334900,0
TRAESCS1A02G339300,0
TRAESCS1A02G339900,0
TRAESCS1A02G349100,0
TRAESCS1A02G349200,0
TRAESCS1A02G349900,0
TRAESCS1A02G350200,0
TRAESCS1A02G351900,0
TRAESCS1A02G355500,0
TRAESCS1A02G356800,0
TRAESCS1A02G359100,0
TRAESCS1A02G360300,0
TRAESCS1A02G365800,0
TRAESCS1A02G371900,0
TRAESCS1A02G382200,0
TRAESCS1A02G384000,0
TRAESCS1A02G385400,0
TRAESCS1A02G395300,0
TRAESCS1A02G396800,0
TRAESCS1A02G402400,0
TRAESCS1A02G402900,0
TRAESCS1A02G407100,0
TRAESCS1A02G412900,0
TRAESCS1A02G413000,0
TRAESCS1A02G414000,0
TRAESCS1A02G414700,0
