geneid,cluster
BDIBD1G0006000,0
BDIBD1G0011200,0
BDIBD1G0014000,0
BDIBD1G0018100,0
BDIBD1G0020800,0
BDIBD1G0027400,0
BDIBD1G0029900,0
BDIBD1G0030000,0
BDIBD1G0030100,0
BDIBD1G0030300,0
BDIBD1G0031400,0
BDIBD1G0033400,0
BDIBD1G0034200,0
BDIBD1G0036101,0
BDIBD1G0037000,0
BDIBD1G0037200,0
BDIBD1G0042700,0
BDIBD1G0044900,0
BDIBD1G0046500,0
BDIBD1G0047200,0
BDIBD1G0048000,0
BDIBD1G0048900,0
BDIBD1G0050900,0
BDIBD1G0062700,0
BDIBD1G0062800,0
BDIBD1G0063600,0
BDIBD1G0063700,0
BDIBD1G0067500,0
BDIBD1G0073600,0
BDIBD1G0082000,0
BDIBD1G0083900,0
BDIBD1G0090100,0
BDIBD1G0097400,0
BDIBD1G0099600,0
BDIBD1G0101700,0
BDIBD1G0102400,0
BDIBD1G0111600,0
BDIBD1G0111700,0
BDIBD1G0112400,0
BDIBD1G0114700,0
BDIBD1G0117800,0
BDIBD1G0118200,0
BDIBD1G0121500,0
BDIBD1G0122000,0
BDIBD1G0122100,0
BDIBD1G0122900,0
BDIBD1G0126900,0
BDIBD1G0128100,0
BDIBD1G0128300,0
BDIBD1G0128900,0
BDIBD1G0129650,0
BDIBD1G0131000,0
BDIBD1G0132100,0
BDIBD1G0136600,0
BDIBD1G0141600,0
BDIBD1G0146600,0
BDIBD1G0147500,0
BDIBD1G0150900,0
BDIBD1G0154200,0
BDIBD1G0155300,0
BDIBD1G0156000,0
BDIBD1G0160200,0
BDIBD1G0161600,0
BDIBD1G0167300,0
BDIBD1G0170800,0
BDIBD1G0172500,0
BDIBD1G0181800,0
BDIBD1G0184100,0
BDIBD1G0184200,0
BDIBD1G0185000,0
BDIBD1G0187200,0
BDIBD1G0188600,0
BDIBD1G0189000,0
BDIBD1G0194600,0
BDIBD1G0199700,0
BDIBD1G0201200,0
BDIBD1G0202301,0
BDIBD1G0206100,0
BDIBD1G0206200,0
BDIBD1G0206400,0
BDIBD1G0211900,0
BDIBD1G0213800,0
BDIBD1G0214600,0
BDIBD1G0218200,0
BDIBD1G0227300,0
BDIBD1G0228333,0
BDIBD1G0238001,0
BDIBD1G0240100,0
BDIBD1G0241300,0
BDIBD1G0241800,0
BDIBD1G0245100,0
BDIBD1G0245300,0
BDIBD1G0247150,0
BDIBD1G0247200,0
BDIBD1G0252700,0
BDIBD1G0260500,0
BDIBD1G0268000,0
BDIBD1G0274200,0
BDIBD1G0275300,0
BDIBD1G0275900,0
BDIBD1G0283900,0
BDIBD1G0284100,0
BDIBD1G0285700,0
BDIBD1G0286000,0
BDIBD1G0286800,0
BDIBD1G0287900,0
BDIBD1G0299500,0
BDIBD1G0303400,0
BDIBD1G0305700,0
BDIBD1G0311800,0
BDIBD1G0314400,0
BDIBD1G0317600,0
BDIBD1G0325200,0
BDIBD1G0325600,0
BDIBD1G0326600,0
BDIBD1G0334700,0
BDIBD1G0337900,0
BDIBD1G0340500,0
BDIBD1G0348300,0
BDIBD1G0358900,0
BDIBD1G0367100,0
BDIBD1G0369100,0
BDIBD1G0370800,0
BDIBD1G0372600,0
BDIBD1G0373400,0
BDIBD1G0379200,0
BDIBD1G0379900,0
BDIBD1G0382000,0
BDIBD1G0385900,0
BDIBD1G0387200,0
BDIBD1G0392500,0
BDIBD1G0396900,0
BDIBD1G0397700,0
BDIBD1G0399600,0
BDIBD1G0402500,0
BDIBD1G0403200,0
BDIBD1G0405700,0
BDIBD1G0407500,0
BDIBD1G0407600,0
BDIBD1G0409700,0
BDIBD1G0409900,0
BDIBD1G0412800,0
BDIBD1G0413800,0
BDIBD1G0417000,0
BDIBD1G0417600,0
BDIBD1G0426900,0
BDIBD1G0433700,0
BDIBD1G0435700,0
BDIBD1G0437500,0
BDIBD1G0437600,0
BDIBD1G0438300,0
BDIBD1G0439300,0
BDIBD1G0441100,0
BDIBD1G0443500,0
BDIBD1G0447000,0
BDIBD1G0449000,0
BDIBD1G0454500,0
BDIBD1G0454700,0
BDIBD1G0455200,0
BDIBD1G0458400,0
BDIBD1G0458500,0
BDIBD1G0458600,0
BDIBD1G0470100,0
BDIBD1G0470200,0
BDIBD1G0470800,0
BDIBD1G0475100,0
BDIBD1G0485800,0
BDIBD1G0486000,0
BDIBD1G0495700,0
BDIBD1G0496600,0
BDIBD1G0500100,0
BDIBD1G0512400,0
BDIBD1G0516400,0
BDIBD1G0523800,0
BDIBD1G0524401,0
BDIBD1G0537700,0
BDIBD1G0537800,0
BDIBD1G0539600,0
BDIBD1G0541000,0
BDIBD1G0542600,0
BDIBD1G0543100,0
BDIBD1G0545900,0
BDIBD1G0548800,0
BDIBD1G0548900,0
BDIBD1G0560966,0
BDIBD1G0561000,0
BDIBD1G0569200,0
BDIBD1G0572900,0
BDIBD1G0573000,0
BDIBD1G0573600,0
BDIBD1G0581000,0
BDIBD1G0583500,0
BDIBD1G0583600,0
BDIBD1G0588700,0
BDIBD1G0591800,0
BDIBD1G0593300,0
BDIBD1G0593500,0
BDIBD1G0600100,0
BDIBD1G0606000,0
BDIBD1G0618700,0
BDIBD1G0621700,0
BDIBD1G0623800,0
BDIBD1G0636400,0
BDIBD1G0637000,0
BDIBD1G0639400,0
BDIBD1G0644600,0
BDIBD1G0656700,0
BDIBD1G0658100,0
BDIBD1G0659800,0
BDIBD1G0666900,0
BDIBD1G0667900,0
BDIBD1G0669900,0
BDIBD1G0689600,0
BDIBD1G0692300,0
BDIBD1G0694800,0
BDIBD1G0695900,0
BDIBD1G0697500,0
BDIBD1G0709600,0
BDIBD1G0714801,0
BDIBD1G0717700,0
BDIBD1G0723100,0
BDIBD1G0727900,0
BDIBD1G0728500,0
BDIBD1G0730100,0
BDIBD1G0730600,0
BDIBD1G0733800,0
BDIBD1G0748700,0
BDIBD1G0750400,0
BDIBD1G0756000,0
BDIBD1G0757000,0
BDIBD1G0759500,0
BDIBD1G0764600,0
BDIBD1G0771100,0
BDIBD1G0771200,0
BDIBD1G0775600,0
BDIBD1G0776901,0
BDIBD1G0782600,0
BDIBD1G0783300,0
BDIBD1G0783400,0
BDIBD1G0786300,0
BDIBD1G0799000,0
BDIBD1G0799900,0
BDIBD1G0806700,0
BDIBD1G0808500,0
BDIBD1G0812300,0
BDIBD1G0813000,0
BDIBD1G0813300,0
BDIBD1G0815300,0
BDIBD1G0817900,0
BDIBD1G0826400,0
BDIBD1G0828000,0
BDIBD1G0829700,0
BDIBD1G0837600,0
BDIBD1G0838100,0
BDIBD1G0843300,0
BDIBD1G0843400,0
BDIBD1G0843900,0
BDIBD1G0849200,0
BDIBD1G0852100,0
BDIBD1G0856000,0
BDIBD1G0860700,0
BDIBD1G0874900,0
BDIBD1G0876332,0
BDIBD1G0881300,0
BDIBD1G0884200,0
BDIBD1G0886400,0
BDIBD1G0892500,0
BDIBD1G0893600,0
BDIBD1G0894500,0
BDIBD1G0895100,0
BDIBD1G0896100,0
BDIBD1G0897600,0
BDIBD1G0900600,0
BDIBD1G0901400,0
BDIBD1G0902600,0
BDIBD1G0904100,0
BDIBD1G0904300,0
BDIBD1G0908800,0
BDIBD1G0909500,0
BDIBD1G0920300,0
BDIBD1G0924900,0
BDIBD1G0926300,0
BDIBD1G0927000,0
BDIBD1G0927600,0
BDIBD1G0927800,0
BDIBD1G0928100,0
BDIBD1G0930900,0
BDIBD1G0933232,0
BDIBD1G0937300,0
BDIBD1G0940300,0
BDIBD1G0959100,0
BDIBD1G0962500,0
BDIBD1G0972650,0
BDIBD1G0972800,0
BDIBD1G0975800,0
BDIBD1G0976200,0
BDIBD1G0978800,0
BDIBD1G0981900,0
BDIBD1G0983600,0
BDIBD1G0986200,0
BDIBD1G0987700,0
BDIBD1G0995500,0
BDIBD1G0995700,0
BDIBD1G0996800,0
BDIBD1G0999400,0
BDIBD1G1001300,0
BDIBD1G1002000,0
BDIBD1G1005200,0
BDIBD1G1013200,0
BDIBD1G1014500,0
BDIBD1G1017600,0
BDIBD1G1024500,0
BDIBD1G1024600,0
BDIBD1G1027200,0
BDIBD1G1030000,0
BDIBD1G1043000,0
BDIBD1G1046700,0
BDIBD1G1046800,0
BDIBD1G1047100,0
BDIBD2G0006400,0
BDIBD2G0008800,0
BDIBD2G0019500,0
BDIBD2G0021800,0
BDIBD2G0025000,0
BDIBD2G0028200,0
BDIBD2G0029500,0
BDIBD2G0032100,0
BDIBD2G0043000,0
BDIBD2G0045000,0
BDIBD2G0046000,0
BDIBD2G0048100,0
BDIBD2G0054800,0
BDIBD2G0064700,0
BDIBD2G0065800,0
BDIBD2G0068800,0
BDIBD2G0070200,0
BDIBD2G0071000,0
BDIBD2G0071500,0
BDIBD2G0071800,0
BDIBD2G0079400,0
BDIBD2G0080700,0
BDIBD2G0083700,0
BDIBD2G0084500,0
BDIBD2G0088400,0
BDIBD2G0094000,0
BDIBD2G0094900,0
BDIBD2G0095000,0
BDIBD2G0100300,0
BDIBD2G0106700,0
BDIBD2G0110100,0
BDIBD2G0110700,0
BDIBD2G0112400,0
BDIBD2G0118400,0
BDIBD2G0118600,0
BDIBD2G0121800,0
BDIBD2G0124000,0
BDIBD2G0124700,0
BDIBD2G0129800,0
BDIBD2G0130801,0
BDIBD2G0131300,0
BDIBD2G0132000,0
BDIBD2G0132100,0
BDIBD2G0134900,0
BDIBD2G0142400,0
BDIBD2G0147300,0
BDIBD2G0148800,0
BDIBD2G0149000,0
BDIBD2G0160000,0
BDIBD2G0166100,0
BDIBD2G0169800,0
BDIBD2G0175500,0
BDIBD2G0190800,0
BDIBD2G0193200,0
BDIBD2G0204100,0
BDIBD2G0210200,0
BDIBD2G0210901,0
BDIBD2G0214100,0
BDIBD2G0216400,0
BDIBD2G0216500,0
BDIBD2G0227200,0
BDIBD2G0228800,0
BDIBD2G0235400,0
BDIBD2G0235700,0
BDIBD2G0237100,0
BDIBD2G0237700,0
BDIBD2G0237900,0
BDIBD2G0246300,0
BDIBD2G0253500,0
BDIBD2G0256900,0
BDIBD2G0258700,0
BDIBD2G0258800,0
BDIBD2G0266300,0
BDIBD2G0266400,0
BDIBD2G0274200,0
BDIBD2G0276200,0
BDIBD2G0276500,0
BDIBD2G0282200,0
BDIBD2G0285800,0
