gene_a	gene_b	score
10094700	10851300	3.1103635
10094700	20763500	3.5844839
10094700	30195800	3.2272947
10094700	30630000	3.273741
10094700	30653900	3.7742677
10094700	40143300	3.5938017
10191700	30195800	3.1451259
10191700	30630000	3.0233452
10684600	10851300	3.0390851
10684600	30091700	3.0224762
10684600	30195800	3.12149
10684600	30195901	3.2985945
10684600	30317000	3.3523147
10684600	30653900	3.3918605
10684600	40011900	3.363172
10684600	40128000	3.007764
10851300	20751200	3.910491
10851300	20763500	3.223466
10851300	20768350	3.115544
10851300	30091700	3.8214042
10851300	30195800	3.2878728
10851300	30195901	3.7064576
10851300	30317000	3.4374173
10851300	30628200	3.1443448
10851300	30639500	3.0586
10851300	30653900	3.538728
10851300	40011900	3.1064258
10851300	40143300	4.993549
10993500	40143300	3.1784909
20263000	40143300	3.3056371
20751200	20768350	3.2462265
20751200	30091700	3.1962051
20751200	30195800	3.2399607
20751200	30195901	3.8992286
20751200	30317000	3.3821945
20751200	30628200	3.0150597
20751200	30639500	3.9123456
20751200	30653900	3.4043057
20751200	40143300	3.4533768
20763500	30195800	4.397892
20763500	30195901	3.4494033
20763500	30630000	4.059434
20763500	30653900	3.8239365
20763500	40143300	4.3079123
20768350	30195901	3.2373154
20768350	30317000	3.0679789
20768350	30628200	3.162777
20768350	30639500	3.1390688
20768350	30653900	3.0341985
30091700	30317000	3.2769682
30091700	40011900	3.2520003
30091700	40128000	3.5410888
30091700	40143300	3.9612648
30195800	30195901	4.819439
30195800	30317000	3.4873848
30195800	30630000	4.133388
30195800	30639500	3.2083786
30195800	30653900	4.2789106
30195800	40143300	3.481013
30195901	30317000	3.5445511
30195901	30630000	3.5711553
30195901	30639500	3.7090187
30195901	30653900	4.1940317
30195901	40143300	3.8754573
30317000	30630000	3.2183921
30317000	30639500	3.4174395
30317000	30653900	3.8449667
30317000	40143300	3.412239
30470900	40143300	3.712865
30628200	40143300	3.4985063
30630000	30653900	3.2981622
30630000	40143300	3.106056
30639500	30653900	3.9361436
30653900	40011900	3.231863
30653900	40143300	3.714605
40011900	40128000	3.0733051
40011900	40143300	3.9109185
40128000	40143300	3.2333856
