gene_a	gene_b	score
1102194400	1202090600	3.1575856
1102194400	1202100100	3.0927327
1102194400	1202382200	3.4635727
1102194400	2102223100	3.0900128
1102194400	2102303900	3.2587783
1102194400	2302321200	3.3137202
1102194400	3102184500	3.1234055
1102194400	3102439000	3.037618
1102194400	4102107100	3.5638053
1102194400	4102219900	3.282935
1102194400	4102481400	3.0587373
1102194400	4202098300	3.095238
1102194400	5102217300	3.2268755
1102194400	5102356900	3.0543482
1102194400	5202464500	3.361432
1102194400	5302045800	3.7111
1102194400	5302149400	3.1141062
1102194400	5302271900	3.0379474
1102194400	5302315900	3.148278
1102194400	5302410800	3.5210652
1102194400	5302504100	3.064898
1102194400	5302519700	3.3441303
1102194400	6202004300	3.1022892
1102194400	6302393200	3.0830874
1102194400	7202159500	3.2490842
1102194400	7302237800	3.0944347
1102194400	7302266000	3.5015264
1102238900	1102381200	3.1411297
1102238900	1302074400	3.0558238
1102238900	1302108300	3.39629
1102238900	2102237900	3.0050838
1102238900	2102303900	3.0681562
1102238900	2102489700	3.264254
1102238900	2202279600	3.0183196
1102238900	2202320500	3.5086982
1102238900	2302234600	3.0018191
1102238900	2302302500	3.2875447
1102238900	2302571900	3.3212092
1102238900	3102136500	3.0596771
1102238900	3302327500	3.6760201
1102238900	4102015900	3.5813541
1102238900	4102107100	3.0032
1102238900	4202201500	3.6984565
1102238900	4202288100	3.2537742
1102238900	4202315300	3.1474898
1102238900	4302197700	3.618084
1102238900	4302317900	3.2299452
1102238900	5102094000	3.4398115
1102238900	5102210100	3.0648603
1102238900	5102217300	3.1553817
1102238900	5202083000	3.0827017
1102238900	5202180900	3.1494496
1102238900	5202515500	3.2915268
1102238900	5302515700	3.1592538
1102238900	6202305400	3.0461645
1102238900	6202333400	3.142305
1102238900	6202455600	3.1358783
1102238900	6302102400	3.2594738
1102238900	6302198700	3.4339287
1102238900	7102102600	3.4981027
1102238900	7102259500	3.0622413
1102238900	7102318200	3.250238
1102340400	1102381200	3.0371444
1102340400	1202100100	3.2462313
1102340400	1202128400	3.0324917
1102340400	1302108300	3.681234
1102340400	1302439000	3.1811705
1102340400	2102074700	3.8126462
