geneid,cluster
TRAESCS1A02G002500,0
TRAESCS1A02G015300,0
TRAESCS1A02G025500,0
TRAESCS1A02G025600,0
TRAESCS1A02G026200,0
TRAESCS1A02G035100,0
TRAESCS1A02G035600,0
TRAESCS1A02G047000,0
TRAESCS1A02G048700,0
TRAESCS1A02G051700,0
TRAESCS1A02G056600,0
TRAESCS1A02G065300,0
TRAESCS1A02G066800,0
TRAESCS1A02G070400,0
TRAESCS1A02G072200,0
TRAESCS1A02G076100,0
TRAESCS1A02G079700,0
TRAESCS1A02G082000,0
TRAESCS1A02G082500,0
TRAESCS1A02G083400,0
TRAESCS1A02G086900,0
TRAESCS1A02G089500,0
TRAESCS1A02G089600,0
TRAESCS1A02G089900,0
TRAESCS1A02G091100,0
TRAESCS1A02G091300,0
TRAESCS1A02G097700,0
TRAESCS1A02G099300,0
TRAESCS1A02G103900,0
TRAESCS1A02G104200,0
TRAESCS1A02G110300,0
TRAESCS1A02G112100,0
TRAESCS1A02G112500,0
TRAESCS1A02G115900,0
TRAESCS1A02G116700,0
TRAESCS1A02G118400,0
TRAESCS1A02G119100,0
TRAESCS1A02G120100,0
TRAESCS1A02G122500,0
TRAESCS1A02G122700,0
TRAESCS1A02G123000,0
TRAESCS1A02G123100,0
TRAESCS1A02G125500,0
TRAESCS1A02G127900,0
TRAESCS1A02G134000,0
TRAESCS1A02G137400,0
TRAESCS1A02G138400,0
TRAESCS1A02G139900,0
TRAESCS1A02G143000,0
TRAESCS1A02G143900,0
TRAESCS1A02G145800,0
TRAESCS1A02G150100,0
TRAESCS1A02G150300,0
TRAESCS1A02G150400,0
TRAESCS1A02G152500,0
TRAESCS1A02G153600,0
TRAESCS1A02G155200,0
TRAESCS1A02G156400,0
TRAESCS1A02G158600,0
TRAESCS1A02G158700,0
TRAESCS1A02G166100,0
TRAESCS1A02G166200,0
TRAESCS1A02G173800,0
TRAESCS1A02G180100,0
TRAESCS1A02G181000,0
TRAESCS1A02G183800,0
TRAESCS1A02G186300,0
TRAESCS1A02G186400,0
TRAESCS1A02G186500,0
TRAESCS1A02G186700,0
TRAESCS1A02G186800,0
TRAESCS1A02G190900,0
TRAESCS1A02G193400,0
TRAESCS1A02G195700,0
TRAESCS1A02G196300,0
TRAESCS1A02G196600,0
TRAESCS1A02G197600,0
TRAESCS1A02G198300,0
TRAESCS1A02G202300,0
TRAESCS1A02G203600,0
TRAESCS1A02G206200,0
TRAESCS1A02G207900,0
TRAESCS1A02G209100,0
TRAESCS1A02G210800,0
TRAESCS1A02G211500,0
TRAESCS1A02G217600,0
TRAESCS1A02G218400,0
TRAESCS1A02G223800,0
TRAESCS1A02G230400,0
TRAESCS1A02G236100,0
TRAESCS1A02G238800,0
TRAESCS1A02G239400,0
TRAESCS1A02G239800,0
TRAESCS1A02G240300,0
TRAESCS1A02G244200,0
TRAESCS1A02G245000,0
TRAESCS1A02G246400,0
TRAESCS1A02G246900,0
TRAESCS1A02G251700,0
TRAESCS1A02G257000,0
TRAESCS1A02G257200,0
TRAESCS1A02G257300,0
TRAESCS1A02G261400,0
TRAESCS1A02G263300,0
TRAESCS1A02G265600,0
TRAESCS1A02G266000,0
TRAESCS1A02G268800,0
TRAESCS1A02G270300,0
TRAESCS1A02G270400,0
TRAESCS1A02G270700,0
TRAESCS1A02G270900,0
TRAESCS1A02G273500,0
TRAESCS1A02G275200,0
TRAESCS1A02G278900,0
TRAESCS1A02G279800,0
TRAESCS1A02G285000,0
TRAESCS1A02G286000,0
TRAESCS1A02G286200,0
TRAESCS1A02G287500,0
TRAESCS1A02G288500,0
TRAESCS1A02G292000,0
TRAESCS1A02G297500,0
TRAESCS1A02G298600,0
TRAESCS1A02G304200,0
TRAESCS1A02G305700,0
TRAESCS1A02G306200,0
TRAESCS1A02G307700,0
TRAESCS1A02G308800,0
TRAESCS1A02G309500,0
TRAESCS1A02G310500,0
TRAESCS1A02G312700,0
TRAESCS1A02G325400,0
TRAESCS1A02G327200,0
TRAESCS1A02G330600,0
TRAESCS1A02G338700,0
