GID	GO
BdiBd21-3.1G0010900	GO:0055114
BdiBd21-3.1G0010900	GO:0016491
BdiBd21-3.1G0017700	GO:0005515
BdiBd21-3.1G0017800	GO:0005515
BdiBd21-3.1G0017800	GO:0006468
BdiBd21-3.1G0017800	GO:0004672
BdiBd21-3.1G0029300	GO:0030247
BdiBd21-3.1G0029300	GO:0006468
BdiBd21-3.1G0029300	GO:0005524
BdiBd21-3.1G0029300	GO:0004672
BdiBd21-3.1G0031700	GO:0006355
BdiBd21-3.1G0031700	GO:0005739
BdiBd21-3.1G0031700	GO:0003690
BdiBd21-3.1G0031900	GO:0016020
BdiBd21-3.1G0031900	GO:0015696
BdiBd21-3.1G0031900	GO:0008519
BdiBd21-3.1G0031900	GO:0072488
BdiBd21-3.1G0034000	GO:0016020
BdiBd21-3.1G0034000	GO:0015979
BdiBd21-3.1G0034000	GO:0009654
BdiBd21-3.1G0034000	GO:0009523
BdiBd21-3.1G0035500	GO:0005525
BdiBd21-3.1G0042100	GO:0005975
BdiBd21-3.1G0042100	GO:0004553
BdiBd21-3.1G0045800	GO:0055085
BdiBd21-3.1G0045800	GO:0016021
BdiBd21-3.1G0045800	GO:0016020
BdiBd21-3.1G0045800	GO:0006810
BdiBd21-3.1G0045800	GO:0005215
BdiBd21-3.1G0077900	GO:0045156
BdiBd21-3.1G0077900	GO:0019684
BdiBd21-3.1G0077900	GO:0009772
BdiBd21-3.1G0078000	GO:0006397
BdiBd21-3.1G0104000	GO:0019684
BdiBd21-3.1G0104000	GO:0016168
BdiBd21-3.1G0104000	GO:0016020
BdiBd21-3.1G0104000	GO:0009767
BdiBd21-3.1G0104000	GO:0009521
BdiBd21-3.1G0104500	GO:0006412
BdiBd21-3.1G0104500	GO:0005840
BdiBd21-3.1G0104500	GO:0005622
BdiBd21-3.1G0104500	GO:0003735
BdiBd21-3.1G0128400	GO:0046933
BdiBd21-3.1G0128400	GO:0015986
BdiBd21-3.1G0129100	GO:0009611
BdiBd21-3.1G0129100	GO:0004867
BdiBd21-3.1G0131800	GO:0051745
BdiBd21-3.1G0131800	GO:0050992
BdiBd21-3.1G0131800	GO:0046872
BdiBd21-3.1G0131800	GO:0019288
BdiBd21-3.1G0143000	GO:0005524
BdiBd21-3.1G0155700	GO:0005515
BdiBd21-3.1G0155700	GO:0055114
BdiBd21-3.1G0155700	GO:0046872
BdiBd21-3.1G0155700	GO:0016702
BdiBd21-3.1G0161700	GO:0046872
BdiBd21-3.1G0161700	GO:0000166
BdiBd21-3.1G0161800	GO:0016020
BdiBd21-3.1G0161800	GO:0009765
BdiBd21-3.1G0163400	GO:0008173
BdiBd21-3.1G0163400	GO:0006396
BdiBd21-3.1G0163400	GO:0003723
BdiBd21-3.1G0168200	GO:0043565
BdiBd21-3.1G0168200	GO:0006355
BdiBd21-3.1G0168200	GO:0003700
BdiBd21-3.1G0170300	GO:0046983
BdiBd21-3.1G0176300	GO:0055085
BdiBd21-3.1G0176300	GO:0016021
BdiBd21-3.1G0195300	GO:0055114
BdiBd21-3.1G0195300	GO:0016491
BdiBd21-3.1G0201600	GO:0055114
BdiBd21-3.1G0201600	GO:0020037
BdiBd21-3.1G0201600	GO:0016705
BdiBd21-3.1G0201600	GO:0005506
BdiBd21-3.1G0206600	GO:0016021
BdiBd21-3.1G0208300	GO:0016788
BdiBd21-3.1G0219100	GO:0006629
BdiBd21-3.1G0219100	GO:0055114
BdiBd21-3.1G0219100	GO:0016717
BdiBd21-3.1G0223500	GO:0030418
BdiBd21-3.1G0223500	GO:0030410
BdiBd21-3.1G0227100	GO:0006355
BdiBd21-3.1G0227100	GO:0003677
BdiBd21-3.1G0227300	GO:0045454
BdiBd21-3.1G0227300	GO:0015035
BdiBd21-3.1G0227300	GO:0006662
BdiBd21-3.1G0233900	GO:0055114
BdiBd21-3.1G0233900	GO:0020037
BdiBd21-3.1G0233900	GO:0006979
BdiBd21-3.1G0233900	GO:0004601
BdiBd21-3.1G0243900	GO:2001070
BdiBd21-3.1G0243900	GO:0005975
BdiBd21-3.1G0243900	GO:0004134
BdiBd21-3.1G0247600	GO:0045454
BdiBd21-3.1G0247600	GO:0015035
BdiBd21-3.1G0247600	GO:0009055
BdiBd21-3.1G0251200	GO:0016851
BdiBd21-3.1G0251200	GO:0009058
BdiBd21-3.1G0258600	GO:0006351
BdiBd21-3.1G0258600	GO:0005634
BdiBd21-3.1G0258600	GO:0003677
BdiBd21-3.1G0264700	GO:0055114
BdiBd21-3.1G0264700	GO:0020037
BdiBd21-3.1G0264700	GO:0016705
BdiBd21-3.1G0264700	GO:0005506
BdiBd21-3.1G0267000	GO:0003676
BdiBd21-3.1G0267900	GO:0033897
