GID	GO
BdiBd21-3.1G0010900	GO:0055114
BdiBd21-3.1G0010900	GO:0016491
BdiBd21-3.1G0017700	GO:0005515
BdiBd21-3.1G0017800	GO:0005515
BdiBd21-3.1G0017800	GO:0006468
BdiBd21-3.1G0017800	GO:0004672
BdiBd21-3.1G0104000	GO:0019684
BdiBd21-3.1G0104000	GO:0016168
BdiBd21-3.1G0104000	GO:0016020
BdiBd21-3.1G0104000	GO:0009767
BdiBd21-3.1G0104000	GO:0009521
BdiBd21-3.1G0104500	GO:0006412
BdiBd21-3.1G0104500	GO:0005840
BdiBd21-3.1G0104500	GO:0005622
BdiBd21-3.1G0104500	GO:0003735
BdiBd21-3.1G0129100	GO:0009611
BdiBd21-3.1G0129100	GO:0004867
BdiBd21-3.1G0161700	GO:0046872
BdiBd21-3.1G0161700	GO:0000166
BdiBd21-3.1G0163400	GO:0008173
BdiBd21-3.1G0163400	GO:0006396
BdiBd21-3.1G0163400	GO:0003723
BdiBd21-3.1G0168200	GO:0043565
BdiBd21-3.1G0168200	GO:0006355
BdiBd21-3.1G0168200	GO:0003700
BdiBd21-3.1G0170300	GO:0046983
BdiBd21-3.1G0227300	GO:0045454
BdiBd21-3.1G0227300	GO:0015035
BdiBd21-3.1G0227300	GO:0006662
BdiBd21-3.1G0264700	GO:0055114
BdiBd21-3.1G0264700	GO:0020037
BdiBd21-3.1G0264700	GO:0016705
BdiBd21-3.1G0264700	GO:0005506
BdiBd21-3.1G0267000	GO:0003676
BdiBd21-3.1G0267900	GO:0033897
BdiBd21-3.1G0267900	GO:0003723
BdiBd21-3.1G0334300	GO:0005975
BdiBd21-3.1G0334300	GO:0004553
BdiBd21-3.1G0393800	GO:0055114
BdiBd21-3.1G0393800	GO:0050660
BdiBd21-3.1G0393800	GO:0016491
BdiBd21-3.1G0419400	GO:0006468
BdiBd21-3.1G0419400	GO:0005524
BdiBd21-3.1G0419400	GO:0004672
BdiBd21-3.1G0425500	GO:0043565
BdiBd21-3.1G0425500	GO:0006355
BdiBd21-3.1G0425500	GO:0003700
BdiBd21-3.1G0447100	GO:0006468
BdiBd21-3.1G0447100	GO:0004672
BdiBd21-3.1G0469800	GO:0005515
BdiBd21-3.1G0473600	GO:0008270
BdiBd21-3.1G0473600	GO:0005622
BdiBd21-3.1G0481100	GO:0030170
BdiBd21-3.1G0481100	GO:0004834
BdiBd21-3.1G0481100	GO:0000162
BdiBd21-3.1G0518100	GO:0043565
BdiBd21-3.1G0518100	GO:0006355
BdiBd21-3.1G0518100	GO:0005634
BdiBd21-3.1G0518100	GO:0003700
BdiBd21-3.1G0528000	GO:0008270
BdiBd21-3.1G0528000	GO:0005515
BdiBd21-3.1G0543200	GO:0005975
BdiBd21-3.1G0543200	GO:0004553
BdiBd21-3.1G0543200	GO:0043169
BdiBd21-3.1G0543200	GO:0003824
BdiBd21-3.1G0571000	GO:0006468
BdiBd21-3.1G0571000	GO:0004672
BdiBd21-3.1G0573000	GO:0008270
BdiBd21-3.1G0573000	GO:0005622
BdiBd21-3.1G0573000	GO:0005515
BdiBd21-3.1G0583500	GO:0005515
BdiBd21-3.1G0630800	GO:0055114
BdiBd21-3.1G0630800	GO:0016491
BdiBd21-3.1G0631300	GO:0055114
BdiBd21-3.1G0631300	GO:0016491
BdiBd21-3.1G0708400	GO:0016787
BdiBd21-3.1G0708400	GO:0008152
BdiBd21-3.1G0712800	GO:0055085
BdiBd21-3.1G0712800	GO:0046873
BdiBd21-3.1G0712800	GO:0030001
BdiBd21-3.1G0712800	GO:0016020
BdiBd21-3.1G0719700	GO:0006468
BdiBd21-3.1G0719700	GO:0005524
BdiBd21-3.1G0719700	GO:0004672
BdiBd21-3.1G0719700	GO:0030246
BdiBd21-3.1G0799700	GO:0055085
BdiBd21-3.1G0799700	GO:0016020
BdiBd21-3.1G0799700	GO:0015297
BdiBd21-3.1G0799700	GO:0015238
BdiBd21-3.1G0799700	GO:0006855
BdiBd21-3.1G0817700	GO:0005515
BdiBd21-3.1G0817700	GO:0006468
BdiBd21-3.1G0817700	GO:0005524
BdiBd21-3.1G0817700	GO:0004672
BdiBd21-3.1G0829300	GO:0003676
BdiBd21-3.1G0833100	GO:0055114
BdiBd21-3.1G0833100	GO:0020037
BdiBd21-3.1G0833100	GO:0006979
BdiBd21-3.1G0833100	GO:0004601
BdiBd21-3.1G0837600	GO:0005515
BdiBd21-3.1G0841100	GO:0005515
BdiBd21-3.1G0967200	GO:0055114
BdiBd21-3.1G0967200	GO:0016491
BdiBd21-3.1G0967200	GO:0008270
BdiBd21-3.1G1043500	GO:0006952
BdiBd21-3.2G0024000	GO:0006308
BdiBd21-3.2G0024000	GO:0004519
