GID	GO
BdiBd21-3.1G0022800	GO:0016597
BdiBd21-3.1G0022800	GO:0008152
BdiBd21-3.1G0024400	GO:0003676
BdiBd21-3.1G0026500	GO:0019843
BdiBd21-3.1G0026500	GO:0006412
BdiBd21-3.1G0026500	GO:0005840
BdiBd21-3.1G0026500	GO:0003735
BdiBd21-3.1G0028200	GO:0055114
BdiBd21-3.1G0028200	GO:0016491
BdiBd21-3.1G0029300	GO:0030247
BdiBd21-3.1G0029300	GO:0006468
BdiBd21-3.1G0029300	GO:0005524
BdiBd21-3.1G0029300	GO:0004672
BdiBd21-3.1G0031700	GO:0006355
BdiBd21-3.1G0031700	GO:0005739
BdiBd21-3.1G0031700	GO:0003690
BdiBd21-3.1G0031900	GO:0016020
BdiBd21-3.1G0031900	GO:0015696
BdiBd21-3.1G0031900	GO:0008519
BdiBd21-3.1G0031900	GO:0072488
BdiBd21-3.1G0034000	GO:0016020
BdiBd21-3.1G0034000	GO:0015979
BdiBd21-3.1G0034000	GO:0009654
BdiBd21-3.1G0034000	GO:0009523
BdiBd21-3.1G0035500	GO:0005525
BdiBd21-3.1G0042100	GO:0005975
BdiBd21-3.1G0042100	GO:0004553
BdiBd21-3.1G0042200	GO:0006412
BdiBd21-3.1G0042200	GO:0005840
BdiBd21-3.1G0042200	GO:0005622
BdiBd21-3.1G0042200	GO:0003735
BdiBd21-3.1G0045800	GO:0055085
BdiBd21-3.1G0045800	GO:0016021
BdiBd21-3.1G0045800	GO:0016020
BdiBd21-3.1G0045800	GO:0006810
BdiBd21-3.1G0045800	GO:0005215
BdiBd21-3.1G0049300	GO:0005622
BdiBd21-3.1G0049300	GO:0003779
BdiBd21-3.1G0049300	GO:0030042
BdiBd21-3.1G0049300	GO:0015629
BdiBd21-3.1G0050100	GO:0016872
BdiBd21-3.1G0051000	GO:0050662
BdiBd21-3.1G0051000	GO:0003824
BdiBd21-3.1G0054300	GO:0006412
BdiBd21-3.1G0054300	GO:0005840
BdiBd21-3.1G0054300	GO:0005622
BdiBd21-3.1G0054300	GO:0003735
BdiBd21-3.1G0054500	GO:0055114
BdiBd21-3.1G0054500	GO:0006555
BdiBd21-3.1G0054500	GO:0004489
