GID	GO
TraesCS1B01G093900	GO:0003677
TraesCS1B01G093900	GO:0003899
TraesCS1B01G093900	GO:0006351
TraesCS1B01G115900	GO:0004601
TraesCS1B01G115900	GO:0006979
TraesCS1B01G115900	GO:0020037
TraesCS1B01G115900	GO:0055114
TraesCS1D01G002600	GO:0007034
TraesCS1D01G002900	GO:0004672
TraesCS1D01G002900	GO:0005515
TraesCS1D01G002900	GO:0005524
TraesCS1D01G002900	GO:0006468
TraesCS2A01G330200	GO:0006629
TraesCS2A01G330200	GO:0008081
TraesCS2B01G445900	GO:0000287
TraesCS2B01G445900	GO:0008152
TraesCS2B01G445900	GO:0010333
TraesCS2B01G445900	GO:0016829
TraesCS2B01G599800	GO:0004553
TraesCS2B01G599800	GO:0005975
TraesCS3B01G002900	GO:0046983
TraesCS3D01G049000	GO:0004672
TraesCS3D01G049000	GO:0005524
TraesCS3D01G049000	GO:0006468
TraesCS4B01G331400	GO:0005524
TraesCS4B01G331400	GO:0016020
TraesCS4B01G331400	GO:0016887
TraesCS4B01G364900	GO:0046983
TraesCS5A01G349500	GO:0005515
TraesCS5B01G053800	GO:0004672
TraesCS5B01G053800	GO:0005524
TraesCS5B01G053800	GO:0006468
TraesCS5D01G024600	GO:0005506
TraesCS5D01G024600	GO:0008610
TraesCS5D01G024600	GO:0016491
TraesCS5D01G024600	GO:0055114
TraesCS6B01G440600	GO:0005515
TraesCS7A01G427000	GO:0004553
TraesCS7A01G427000	GO:0005618
TraesCS7A01G427000	GO:0005975
TraesCS7A01G427000	GO:0006073
TraesCS7A01G427000	GO:0010411
TraesCS7A01G427000	GO:0016762
TraesCS7A01G427000	GO:0042546
TraesCS7A01G427000	GO:0048046
