GID	GO
TraesCS1A01G015400	GO:0003924
TraesCS1A01G015400	GO:0005525
TraesCS1A01G015900	GO:0004672
TraesCS1A01G015900	GO:0004674
TraesCS1A01G015900	GO:0005524
TraesCS1A01G015900	GO:0006468
TraesCS1A01G015900	GO:0048544
TraesCS1A01G025600	GO:0043531
TraesCS1A01G026200	GO:0043531
TraesCS1A01G026400	GO:0043531
TraesCS1A01G028800	GO:0043531
TraesCS1A01G034300	GO:0005515
TraesCS1A01G034300	GO:0008270
TraesCS1A01G069300	GO:0004435
TraesCS1A01G069300	GO:0005515
TraesCS1A01G069300	GO:0006629
TraesCS1A01G069300	GO:0007165
TraesCS1A01G069300	GO:0008081
TraesCS1A01G069300	GO:0035556
TraesCS1A01G070400	GO:0003700
TraesCS1A01G070400	GO:0006355
TraesCS1A01G070400	GO:0043565
TraesCS1A01G072200	GO:0003824
TraesCS1A01G072200	GO:0006525
TraesCS1A01G072200	GO:0008483
TraesCS1A01G072200	GO:0030170
TraesCS1A01G072600	GO:0003700
TraesCS1A01G072600	GO:0006355
TraesCS1A01G072600	GO:0043565
TraesCS1A01G076100	GO:0006808
TraesCS1A01G076100	GO:0030234
TraesCS1A01G104700	GO:0005515
TraesCS1A01G119300	GO:0008152
TraesCS1A01G119300	GO:0016758
TraesCS1A01G119600	GO:0005515
TraesCS1A01G122500	GO:0004470
TraesCS1A01G122500	GO:0004471
TraesCS1A01G122500	GO:0006108
TraesCS1A01G122500	GO:0051287
TraesCS1A01G122500	GO:0055114
TraesCS1A01G131500	GO:0003924
TraesCS1A01G131500	GO:0005525
TraesCS1A01G142400	GO:0016021
TraesCS1A01G142400	GO:0055085
TraesCS1A01G145000	GO:0005524
TraesCS1A01G145000	GO:0005737
TraesCS1A01G145000	GO:0006457
TraesCS1A01G145000	GO:0042026
TraesCS1A01G150100	GO:0005515
TraesCS1A01G152800	GO:0003723
TraesCS1A01G152800	GO:0033897
TraesCS1A01G153100	GO:0016491
TraesCS1A01G153100	GO:0016614
TraesCS1A01G153100	GO:0046577
TraesCS1A01G153100	GO:0050660
TraesCS1A01G153100	GO:0055114
TraesCS1A01G161200	GO:0005515
TraesCS1A01G164900	GO:0003824
TraesCS1A01G164900	GO:0004553
TraesCS1A01G164900	GO:0005975
TraesCS1A01G166900	GO:0003774
TraesCS1A01G166900	GO:0005515
TraesCS1A01G166900	GO:0005524
TraesCS1A01G166900	GO:0016459
TraesCS1A01G173800	GO:0016747
TraesCS1A01G177800	GO:0005506
TraesCS1A01G177800	GO:0016705
TraesCS1A01G177800	GO:0020037
TraesCS1A01G177800	GO:0055114
TraesCS1A01G181000	GO:0003824
TraesCS1A01G181000	GO:0030170
TraesCS1A01G186400	GO:0005515
TraesCS1A01G186500	GO:0005515
TraesCS1A01G186700	GO:0005515
TraesCS1A01G190100	GO:0003677
TraesCS1A01G190100	GO:0006355
TraesCS1A01G197200	GO:0005215
TraesCS1A01G197200	GO:0016020
TraesCS1A01G197200	GO:0016021
TraesCS1A01G197200	GO:0022857
TraesCS1A01G197200	GO:0022891
TraesCS1A01G197200	GO:0055085
TraesCS1A01G203600	GO:0004568
TraesCS1A01G203600	GO:0005975
TraesCS1A01G203600	GO:0006032
TraesCS1A01G203600	GO:0016998
TraesCS1A01G203700	GO:0004568
TraesCS1A01G203700	GO:0005975
TraesCS1A01G203700	GO:0006032
TraesCS1A01G203700	GO:0016998
TraesCS1A01G212900	GO:0005515
TraesCS1A01G212900	GO:0016491
TraesCS1A01G212900	GO:0016702
TraesCS1A01G212900	GO:0046872
TraesCS1A01G212900	GO:0055114
TraesCS1A01G215500	GO:0000272
TraesCS1A01G215500	GO:0016161
TraesCS1A01G227300	GO:0004672
TraesCS1A01G227300	GO:0005524
TraesCS1A01G227300	GO:0006468
TraesCS1A01G230600	GO:0003777
TraesCS1A01G230600	GO:0005524
TraesCS1A01G230600	GO:0007018
TraesCS1A01G230600	GO:0008017
TraesCS1A01G239600	GO:0005509
TraesCS1A01G239600	GO:0005544
TraesCS1A01G243000	GO:0006810
TraesCS1A01G243000	GO:0016021
TraesCS1A01G247100	GO:0003824
TraesCS1A01G247100	GO:0004553
TraesCS1A01G247100	GO:0005975
TraesCS1A01G253200	GO:0003824
TraesCS1A01G253200	GO:0005524
TraesCS1A01G253200	GO:0006090
TraesCS1A01G253200	GO:0016301
TraesCS1A01G253200	GO:0016310
TraesCS1A01G253200	GO:0016772
TraesCS1A01G253200	GO:0050242
TraesCS1A01G254100	GO:0005506
TraesCS1A01G254100	GO:0016705
TraesCS1A01G254100	GO:0020037
TraesCS1A01G254100	GO:0055114
TraesCS1A01G257000	GO:0008152
TraesCS1A01G257000	GO:0016787
TraesCS1A01G257300	GO:0016757
TraesCS1A01G259000	GO:0004452
TraesCS1A01G259000	GO:0008299
TraesCS1A01G259000	GO:0016787
TraesCS1A01G259500	GO:0043531
TraesCS1A01G269500	GO:0005215
TraesCS1A01G269500	GO:0006810
TraesCS1A01G269500	GO:0006857
TraesCS1A01G269500	GO:0016020
TraesCS1A01G279000	GO:0004553
TraesCS1A01G279000	GO:0005975
TraesCS1A01G284900	GO:0004553
TraesCS1A01G284900	GO:0005975
TraesCS1A01G296300	GO:0004672
TraesCS1A01G296300	GO:0005524
TraesCS1A01G296300	GO:0006468
TraesCS1A01G299100	GO:0003824
TraesCS1A01G299100	GO:0008483
TraesCS1A01G299100	GO:0030170
TraesCS1A01G304200	GO:0004672
TraesCS1A01G304200	GO:0005515
TraesCS1A01G304200	GO:0005524
TraesCS1A01G304200	GO:0006468
TraesCS1A01G309700	GO:0003924
TraesCS1A01G309700	GO:0005200
TraesCS1A01G309700	GO:0005525
TraesCS1A01G309700	GO:0005874
TraesCS1A01G309700	GO:0007017
TraesCS1A01G310500	GO:0005506
TraesCS1A01G310500	GO:0016705
TraesCS1A01G310500	GO:0020037
TraesCS1A01G310500	GO:0055114
TraesCS1A01G321100	GO:0016788
TraesCS1A01G325400	GO:0006508
TraesCS1A01G325400	GO:0008234
TraesCS1A01G333400	GO:0003735
TraesCS1A01G333400	GO:0005622
TraesCS1A01G333400	GO:0005840
TraesCS1A01G333400	GO:0006412
TraesCS1A01G342600	GO:0004672
TraesCS1A01G342600	GO:0005515
TraesCS1A01G342600	GO:0005524
TraesCS1A01G342600	GO:0006468
TraesCS1A01G342900	GO:0005524
TraesCS1A01G342900	GO:0016887
TraesCS1A01G343000	GO:0005524
TraesCS1A01G343000	GO:0016887
TraesCS1A01G371900	GO:0006520
TraesCS1A01G371900	GO:0030170
TraesCS1A01G375600	GO:0003700
TraesCS1A01G375600	GO:0005634
TraesCS1A01G375600	GO:0006355
TraesCS1A01G375600	GO:0043565
TraesCS1A01G378000	GO:0005515
TraesCS1A01G380900	GO:0006855
TraesCS1A01G380900	GO:0015238
TraesCS1A01G380900	GO:0015297
TraesCS1A01G380900	GO:0016020
TraesCS1A01G380900	GO:0055085
TraesCS1A01G394100	GO:0005509
TraesCS1A01G395100	GO:0005506
TraesCS1A01G395100	GO:0016705
TraesCS1A01G395100	GO:0020037
TraesCS1A01G395100	GO:0055114
TraesCS1A01G402400	GO:0004672
TraesCS1A01G402400	GO:0004707
TraesCS1A01G402400	GO:0005524
TraesCS1A01G402400	GO:0006468
TraesCS1A01G405200	GO:0003677
TraesCS1A01G405600	GO:0005215
TraesCS1A01G405600	GO:0016020
TraesCS1A01G405600	GO:0016021
TraesCS1A01G405600	GO:0022857
TraesCS1A01G405600	GO:0022891
TraesCS1A01G405600	GO:0055085
TraesCS1A01G416000	GO:0016020
TraesCS1A01G416000	GO:0016628
TraesCS1A01G416000	GO:0055114
TraesCS1A01G418300	GO:0005215
TraesCS1A01G418300	GO:0016020
TraesCS1A01G418300	GO:0016021
TraesCS1A01G418300	GO:0022857
TraesCS1A01G418300	GO:0022891
TraesCS1A01G418300	GO:0055085
TraesCS1A01G422700	GO:0004672
TraesCS1A01G422700	GO:0005524
TraesCS1A01G422700	GO:0006468
TraesCS1A01G422900	GO:0004553
TraesCS1A01G422900	GO:0005975
TraesCS1A01G444200	GO:0005515
TraesCS1B01G001700	GO:0005506
TraesCS1B01G001700	GO:0016705
TraesCS1B01G001700	GO:0020037
TraesCS1B01G001700	GO:0055114
TraesCS1B01G001800	GO:0000166
TraesCS1B01G001800	GO:0000287
TraesCS1B01G001800	GO:0004012
TraesCS1B01G001800	GO:0005524
TraesCS1B01G001800	GO:0015914
TraesCS1B01G001800	GO:0016021
TraesCS1B01G001800	GO:0046872
TraesCS1B01G004100	GO:0004672
TraesCS1B01G004100	GO:0005509
TraesCS1B01G004100	GO:0005515
TraesCS1B01G004100	GO:0005524
TraesCS1B01G004100	GO:0006468
TraesCS1B01G004100	GO:0030247
TraesCS1B01G035100	GO:0004867
TraesCS1B01G035100	GO:0009611
TraesCS1B01G038000	GO:0003723
TraesCS1B01G038000	GO:0003735
TraesCS1B01G038000	GO:0005622
TraesCS1B01G038000	GO:0005840
TraesCS1B01G038000	GO:0006412
TraesCS1B01G038000	GO:0015934
TraesCS1B01G038000	GO:0016740
TraesCS1B01G042200	GO:0046872
TraesCS1B01G061800	GO:0005506
TraesCS1B01G061800	GO:0016705
TraesCS1B01G061800	GO:0020037
TraesCS1B01G061800	GO:0055114
TraesCS1B01G081900	GO:0015018
TraesCS1B01G081900	GO:0016020
TraesCS1B01G085800	GO:0003676
TraesCS1B01G085800	GO:0005515
TraesCS1B01G085800	GO:0005634
TraesCS1B01G085800	GO:0006396
TraesCS1B01G085800	GO:0006397
TraesCS1B01G088900	GO:0003700
TraesCS1B01G088900	GO:0006355
TraesCS1B01G088900	GO:0043565
TraesCS1B01G090600	GO:0003824
TraesCS1B01G090600	GO:0006525
TraesCS1B01G090600	GO:0008483
TraesCS1B01G090600	GO:0030170
TraesCS1B01G107600	GO:0000287
TraesCS1B01G107600	GO:0005986
TraesCS1B01G107600	GO:0050307
TraesCS1B01G113800	GO:0005515
TraesCS1B01G117400	GO:0016491
TraesCS1B01G117400	GO:0055114
TraesCS1B01G127900	GO:0004177
TraesCS1B01G127900	GO:0005622
TraesCS1B01G127900	GO:0005737
TraesCS1B01G127900	GO:0006508
TraesCS1B01G127900	GO:0008235
TraesCS1B01G127900	GO:0019538
TraesCS1B01G127900	GO:0030145
TraesCS1B01G128600	GO:0016788
TraesCS1B01G130000	GO:0005506
TraesCS1B01G130000	GO:0016705
TraesCS1B01G130000	GO:0020037
TraesCS1B01G130000	GO:0055114
TraesCS1B01G138100	GO:0005515
TraesCS1B01G138600	GO:0016747
TraesCS1B01G139000	GO:0005515
TraesCS1B01G141700	GO:0004470
TraesCS1B01G141700	GO:0004471
TraesCS1B01G141700	GO:0006108
TraesCS1B01G141700	GO:0051287
TraesCS1B01G141700	GO:0055114
TraesCS1B01G155100	GO:0003955
TraesCS1B01G155100	GO:0010181
TraesCS1B01G155100	GO:0016491
TraesCS1B01G159400	GO:0016021
TraesCS1B01G159400	GO:0055085
TraesCS1B01G179100	GO:0006457
TraesCS1B01G179100	GO:0016272
TraesCS1B01G179100	GO:0051082
TraesCS1B01G182000	GO:0003824
TraesCS1B01G182000	GO:0004553
TraesCS1B01G182000	GO:0005975
TraesCS1B01G190600	GO:0016747
TraesCS1B01G194100	GO:0005515
TraesCS1B01G211200	GO:0003824
TraesCS1B01G211200	GO:0009058
TraesCS1B01G213100	GO:0005215
TraesCS1B01G213100	GO:0006810
TraesCS1B01G213100	GO:0016020
TraesCS1B01G213100	GO:0055085
TraesCS1B01G217600	GO:0009058
TraesCS1B01G217600	GO:0016844
TraesCS1B01G233200	GO:0000166
TraesCS1B01G233200	GO:0002161
TraesCS1B01G233200	GO:0004812
TraesCS1B01G233200	GO:0004823
TraesCS1B01G233200	GO:0005524
TraesCS1B01G233200	GO:0005737
TraesCS1B01G233200	GO:0006418
TraesCS1B01G233200	GO:0006429
TraesCS1B01G234500	GO:0016491
TraesCS1B01G234500	GO:0055114
TraesCS1B01G264200	GO:0005506
TraesCS1B01G264200	GO:0016705
TraesCS1B01G264200	GO:0020037
TraesCS1B01G264200	GO:0055114
TraesCS1B01G267800	GO:0016757
TraesCS1B01G276800	GO:0004867
