GID	GO
TraesCS1A01G001800	GO:0003735
TraesCS1A01G001800	GO:0005622
TraesCS1A01G001800	GO:0005840
TraesCS1A01G001800	GO:0006412
TraesCS1A01G002500	GO:0000166
TraesCS1A01G002500	GO:0000287
TraesCS1A01G002500	GO:0004012
TraesCS1A01G002500	GO:0005524
TraesCS1A01G002500	GO:0015914
TraesCS1A01G002500	GO:0016021
TraesCS1A01G002500	GO:0046872
TraesCS1A01G007500	GO:0000413
TraesCS1A01G007500	GO:0003755
TraesCS1A01G007500	GO:0006457
TraesCS1A01G015900	GO:0004672
TraesCS1A01G015900	GO:0004674
TraesCS1A01G015900	GO:0005524
TraesCS1A01G015900	GO:0006468
TraesCS1A01G015900	GO:0048544
TraesCS1A01G021100	GO:0016747
TraesCS1A01G024700	GO:0001522
TraesCS1A01G024700	GO:0003723
TraesCS1A01G024700	GO:0006396
TraesCS1A01G024700	GO:0009451
TraesCS1A01G024700	GO:0009982
TraesCS1A01G025600	GO:0043531
TraesCS1A01G026200	GO:0043531
TraesCS1A01G026300	GO:0043531
TraesCS1A01G026400	GO:0043531
TraesCS1A01G028500	GO:0043531
TraesCS1A01G028600	GO:0043531
TraesCS1A01G028800	GO:0043531
TraesCS1A01G028900	GO:0043531
TraesCS1A01G029200	GO:0003723
TraesCS1A01G029200	GO:0005488
TraesCS1A01G029300	GO:0016020
TraesCS1A01G029800	GO:0005515
TraesCS1A01G029800	GO:0008270
TraesCS1A01G031300	GO:0005215
TraesCS1A01G031300	GO:0006810
TraesCS1A01G031300	GO:0006857
TraesCS1A01G031300	GO:0016020
TraesCS1A01G035100	GO:0005543
TraesCS1A01G035100	GO:0005545
TraesCS1A01G035100	GO:0030136
TraesCS1A01G035100	GO:0030276
TraesCS1A01G035100	GO:0048268
TraesCS1A01G036100	GO:0008152
TraesCS1A01G036100	GO:0016597
TraesCS1A01G036200	GO:0009813
TraesCS1A01G036200	GO:0016872
TraesCS1A01G036200	GO:0045430
TraesCS1A01G037400	GO:0006812
TraesCS1A01G037400	GO:0015299
TraesCS1A01G037400	GO:0016021
TraesCS1A01G037400	GO:0055085
TraesCS1A01G039100	GO:0003677
TraesCS1A01G040600	GO:0004347
TraesCS1A01G040600	GO:0006094
TraesCS1A01G040600	GO:0006096
TraesCS1A01G042700	GO:0003677
TraesCS1A01G045300	GO:0004725
TraesCS1A01G045300	GO:0006470
TraesCS1A01G045300	GO:0008138
TraesCS1A01G045300	GO:0016311
TraesCS1A01G045300	GO:0016791
TraesCS1A01G045400	GO:0004553
TraesCS1A01G045400	GO:0004563
TraesCS1A01G045400	GO:0005975
TraesCS1A01G045800	GO:0045735
TraesCS1A01G048700	GO:0006869
TraesCS1A01G048700	GO:0008289
TraesCS1A01G050100	GO:0008270
TraesCS1A01G050100	GO:0016491
TraesCS1A01G050100	GO:0055114
TraesCS1A01G050400	GO:0016021
TraesCS1A01G055000	GO:0016021
TraesCS1A01G057200	GO:0008883
TraesCS1A01G057200	GO:0033014
TraesCS1A01G057200	GO:0050661
TraesCS1A01G057200	GO:0055114
TraesCS1A01G058900	GO:0005975
TraesCS1A01G058900	GO:0016773
TraesCS1A01G059100	GO:0006629
TraesCS1A01G059100	GO:0008152
TraesCS1A01G060500	GO:0005515
TraesCS1A01G061700	GO:0008152
TraesCS1A01G061700	GO:0016758
TraesCS1A01G062100	GO:0016021
TraesCS1A01G064000	GO:0015018
TraesCS1A01G064000	GO:0016020
TraesCS1A01G066400	GO:0004148
TraesCS1A01G066400	GO:0016491
TraesCS1A01G066400	GO:0016668
TraesCS1A01G066400	GO:0045454
TraesCS1A01G066400	GO:0050660
TraesCS1A01G066400	GO:0055114
TraesCS1A01G066800	GO:0003995
TraesCS1A01G066800	GO:0008152
TraesCS1A01G066800	GO:0016627
TraesCS1A01G066800	GO:0050660
TraesCS1A01G066800	GO:0055114
TraesCS1A01G066900	GO:0005524
TraesCS1A01G069300	GO:0004435
TraesCS1A01G069300	GO:0005515
TraesCS1A01G069300	GO:0006629
TraesCS1A01G069300	GO:0007165
TraesCS1A01G069300	GO:0008081
TraesCS1A01G069300	GO:0035556
TraesCS1A01G069600	GO:0005515
TraesCS1A01G069600	GO:0046872
TraesCS1A01G070400	GO:0003700
TraesCS1A01G070400	GO:0006355
TraesCS1A01G070400	GO:0043565
TraesCS1A01G071400	GO:0008152
TraesCS1A01G071400	GO:0016758
TraesCS1A01G072200	GO:0003824
TraesCS1A01G072200	GO:0006525
TraesCS1A01G072200	GO:0008483
TraesCS1A01G072200	GO:0030170
TraesCS1A01G072600	GO:0003700
TraesCS1A01G072600	GO:0006355
TraesCS1A01G072600	GO:0043565
TraesCS1A01G074400	GO:0003676
TraesCS1A01G075000	GO:0003824
TraesCS1A01G075000	GO:0008152
TraesCS1A01G075700	GO:0005215
TraesCS1A01G075700	GO:0006810
TraesCS1A01G075700	GO:0016021
TraesCS1A01G076100	GO:0006808
TraesCS1A01G076100	GO:0030234
TraesCS1A01G080500	GO:0004672
TraesCS1A01G080500	GO:0005524
TraesCS1A01G080500	GO:0006468
TraesCS1A01G080500	GO:0007165
TraesCS1A01G080600	GO:0004672
TraesCS1A01G080600	GO:0005524
TraesCS1A01G080600	GO:0006468
TraesCS1A01G080600	GO:0007165
TraesCS1A01G080700	GO:0004672
TraesCS1A01G080700	GO:0005524
TraesCS1A01G080700	GO:0006468
TraesCS1A01G080700	GO:0007165
TraesCS1A01G084300	GO:0003690
TraesCS1A01G084300	GO:0006355
TraesCS1A01G085500	GO:0008080
TraesCS1A01G085600	GO:0003824
TraesCS1A01G085600	GO:0009058
TraesCS1A01G085600	GO:0030170
TraesCS1A01G086800	GO:0005515
TraesCS1A01G089500	GO:0016491
TraesCS1A01G089500	GO:0055114
TraesCS1A01G089600	GO:0016491
TraesCS1A01G089600	GO:0055114
TraesCS1A01G097000	GO:0009767
TraesCS1A01G097700	GO:0005783
TraesCS1A01G097700	GO:0016853
TraesCS1A01G097700	GO:0045454
TraesCS1A01G099000	GO:0016021
TraesCS1A01G100300	GO:0004672
TraesCS1A01G100300	GO:0005524
TraesCS1A01G100300	GO:0006468
TraesCS1A01G100300	GO:0048544
TraesCS1A01G100600	GO:0004252
TraesCS1A01G100600	GO:0005515
TraesCS1A01G100600	GO:0006508
TraesCS1A01G103900	GO:0004672
TraesCS1A01G103900	GO:0005515
TraesCS1A01G103900	GO:0005524
TraesCS1A01G103900	GO:0006468
TraesCS1A01G104300	GO:0004601
TraesCS1A01G104300	GO:0006979
TraesCS1A01G104300	GO:0020037
TraesCS1A01G104300	GO:0055114
TraesCS1A01G105300	GO:0005509
TraesCS1A01G105300	GO:0015969
TraesCS1A01G105900	GO:0016788
TraesCS1A01G106300	GO:0003677
TraesCS1A01G106300	GO:0003899
TraesCS1A01G106300	GO:0006351
TraesCS1A01G108100	GO:0004672
TraesCS1A01G108100	GO:0005524
TraesCS1A01G108100	GO:0006468
TraesCS1A01G110300	GO:0003995
TraesCS1A01G110300	GO:0008152
TraesCS1A01G110300	GO:0016627
TraesCS1A01G110300	GO:0050660
TraesCS1A01G110300	GO:0055114
TraesCS1A01G110900	GO:0003824
TraesCS1A01G110900	GO:0003873
TraesCS1A01G110900	GO:0005524
TraesCS1A01G110900	GO:0006000
TraesCS1A01G110900	GO:0006003
TraesCS1A01G110900	GO:0008152
TraesCS1A01G110900	GO:0030246
TraesCS1A01G110900	GO:2001070
TraesCS1A01G111100	GO:0000166
TraesCS1A01G111100	GO:0004812
TraesCS1A01G111100	GO:0005524
TraesCS1A01G111100	GO:0006418
TraesCS1A01G112400	GO:0045454
TraesCS1A01G115000	GO:0005515
TraesCS1A01G115200	GO:0005215
TraesCS1A01G115200	GO:0006810
TraesCS1A01G115200	GO:0016021
TraesCS1A01G115500	GO:0055085
TraesCS1A01G119300	GO:0008152
TraesCS1A01G119300	GO:0016758
TraesCS1A01G120800	GO:0005515
TraesCS1A01G121500	GO:0003700
TraesCS1A01G121500	GO:0006355
TraesCS1A01G121500	GO:0043565
TraesCS1A01G122500	GO:0004470
TraesCS1A01G122500	GO:0004471
TraesCS1A01G122500	GO:0006108
TraesCS1A01G122500	GO:0051287
TraesCS1A01G122500	GO:0055114
TraesCS1A01G124400	GO:0045454
TraesCS1A01G127900	GO:0004672
TraesCS1A01G127900	GO:0005524
TraesCS1A01G127900	GO:0006468
TraesCS1A01G129100	GO:0003735
TraesCS1A01G129100	GO:0005622
TraesCS1A01G129100	GO:0005840
TraesCS1A01G129100	GO:0006412
TraesCS1A01G130900	GO:0003677
TraesCS1A01G131300	GO:0005509
TraesCS1A01G133100	GO:0005524
TraesCS1A01G133100	GO:0006457
TraesCS1A01G133100	GO:0051082
TraesCS1A01G134000	GO:0005509
TraesCS1A01G134100	GO:0005887
TraesCS1A01G134100	GO:0008515
TraesCS1A01G134100	GO:0015770
TraesCS1A01G136800	GO:0008152
TraesCS1A01G136800	GO:0008168
TraesCS1A01G141900	GO:0005515
TraesCS1A01G141900	GO:0008270
TraesCS1A01G143000	GO:0003824
TraesCS1A01G143000	GO:0004356
TraesCS1A01G143000	GO:0006542
TraesCS1A01G143000	GO:0006807
TraesCS1A01G143000	GO:0016787
TraesCS1A01G143400	GO:0000027
TraesCS1A01G143400	GO:0005524
TraesCS1A01G143400	GO:0005634
TraesCS1A01G143400	GO:0016887
TraesCS1A01G144800	GO:0005515
TraesCS1A01G145000	GO:0005524
TraesCS1A01G145000	GO:0005737
TraesCS1A01G145000	GO:0006457
TraesCS1A01G145000	GO:0042026
TraesCS1A01G150100	GO:0005515
TraesCS1A01G151400	GO:0004861
TraesCS1A01G151400	GO:0005634
TraesCS1A01G151400	GO:0007050
TraesCS1A01G152600	GO:0003723
TraesCS1A01G152600	GO:0033897
TraesCS1A01G152800	GO:0003723
TraesCS1A01G152800	GO:0033897
TraesCS1A01G153100	GO:0016491
TraesCS1A01G153100	GO:0016614
TraesCS1A01G153100	GO:0046577
TraesCS1A01G153100	GO:0050660
TraesCS1A01G153100	GO:0055114
TraesCS1A01G154600	GO:0005515
TraesCS1A01G154600	GO:0008270
TraesCS1A01G162800	GO:0003774
TraesCS1A01G162800	GO:0005515
TraesCS1A01G162800	GO:0005524
TraesCS1A01G162800	GO:0016459
TraesCS1A01G164700	GO:0016020
TraesCS1A01G164700	GO:0016021
TraesCS1A01G164800	GO:0003824
TraesCS1A01G164800	GO:0004553
TraesCS1A01G164800	GO:0005975
TraesCS1A01G164900	GO:0003824
TraesCS1A01G164900	GO:0004553
TraesCS1A01G164900	GO:0005975
TraesCS1A01G165700	GO:0009507
TraesCS1A01G165800	GO:0009507
TraesCS1A01G166900	GO:0003774
TraesCS1A01G166900	GO:0005515
TraesCS1A01G166900	GO:0005524
TraesCS1A01G166900	GO:0016459
TraesCS1A01G170200	GO:0016021
TraesCS1A01G170200	GO:0055085
TraesCS1A01G170600	GO:0003824
TraesCS1A01G170700	GO:0003824
TraesCS1A01G171000	GO:0016630
TraesCS1A01G171000	GO:0055114
TraesCS1A01G173100	GO:0008883
TraesCS1A01G173100	GO:0033014
TraesCS1A01G173100	GO:0050661
TraesCS1A01G173100	GO:0055114
TraesCS1A01G173700	GO:0004326
TraesCS1A01G173700	GO:0005524
TraesCS1A01G173700	GO:0009058
TraesCS1A01G173700	GO:0009396
TraesCS1A01G173700	GO:0016874
TraesCS1A01G173800	GO:0016747
TraesCS1A01G177500	GO:0005215
TraesCS1A01G177500	GO:0006810
TraesCS1A01G177500	GO:0016020
TraesCS1A01G177800	GO:0005506
TraesCS1A01G177800	GO:0016705
TraesCS1A01G177800	GO:0020037
TraesCS1A01G177800	GO:0055114
TraesCS1A01G178700	GO:0009733
TraesCS1A01G179400	GO:0003824
TraesCS1A01G179700	GO:0004519
TraesCS1A01G179700	GO:0005524
TraesCS1A01G179700	GO:0006298
TraesCS1A01G179700	GO:0016887
TraesCS1A01G179700	GO:0030983
TraesCS1A01G179700	GO:0045910
TraesCS1A01G180000	GO:0004857
TraesCS1A01G180800	GO:0016491
TraesCS1A01G180800	GO:0055114
TraesCS1A01G181000	GO:0003824
TraesCS1A01G181000	GO:0030170
TraesCS1A01G182400	GO:0015098
TraesCS1A01G182400	GO:0015689
TraesCS1A01G182400	GO:0016021
TraesCS1A01G183000	GO:0003824
TraesCS1A01G183000	GO:0004555
TraesCS1A01G183000	GO:0005991
TraesCS1A01G183400	GO:0003677
TraesCS1A01G183400	GO:0006355
TraesCS1A01G185300	GO:0051287
TraesCS1A01G185300	GO:0055114
TraesCS1A01G185700	GO:0030001
TraesCS1A01G185700	GO:0046872
TraesCS1A01G186400	GO:0005515
TraesCS1A01G186700	GO:0005515
TraesCS1A01G186800	GO:0005515
TraesCS1A01G187000	GO:0005515
TraesCS1A01G188000	GO:0004664
TraesCS1A01G188000	GO:0009094
TraesCS1A01G188700	GO:0005515
TraesCS1A01G189100	GO:0005515
TraesCS1A01G189100	GO:0008270
TraesCS1A01G189900	GO:0015743
TraesCS1A01G191300	GO:0004747
TraesCS1A01G191300	GO:0006014
TraesCS1A01G191300	GO:0016773
TraesCS1A01G195200	GO:0004366
TraesCS1A01G195200	GO:0006650
TraesCS1A01G195200	GO:0008152
TraesCS1A01G195200	GO:0016746
TraesCS1A01G196600	GO:0003824
TraesCS1A01G196600	GO:0009058
TraesCS1A01G198300	GO:0005215
TraesCS1A01G198300	GO:0006810
TraesCS1A01G198300	GO:0016020
TraesCS1A01G198300	GO:0055085
TraesCS1A01G198400	GO:0004252
TraesCS1A01G198400	GO:0006508
TraesCS1A01G202100	GO:0004185
TraesCS1A01G202100	GO:0006508
TraesCS1A01G203600	GO:0004568
TraesCS1A01G203600	GO:0005975
TraesCS1A01G203600	GO:0006032
TraesCS1A01G203600	GO:0016998
TraesCS1A01G203700	GO:0004568
TraesCS1A01G203700	GO:0005975
TraesCS1A01G203700	GO:0006032
TraesCS1A01G203700	GO:0016998
TraesCS1A01G204200	GO:0005515
TraesCS1A01G204300	GO:0005215
TraesCS1A01G204300	GO:0016021
TraesCS1A01G204300	GO:0055085
TraesCS1A01G206900	GO:0005506
TraesCS1A01G206900	GO:0016705
TraesCS1A01G206900	GO:0020037
TraesCS1A01G206900	GO:0055114
TraesCS1A01G208000	GO:0005525
TraesCS1A01G208000	GO:0016817
TraesCS1A01G209400	GO:0003824
TraesCS1A01G210400	GO:0003824
TraesCS1A01G210400	GO:0005992
TraesCS1A01G210600	GO:0004499
TraesCS1A01G210600	GO:0016491
TraesCS1A01G210600	GO:0050660
TraesCS1A01G210600	GO:0050661
TraesCS1A01G210600	GO:0055114
TraesCS1A01G211000	GO:0005215
TraesCS1A01G211000	GO:0006810
TraesCS1A01G211000	GO:0006857
TraesCS1A01G211000	GO:0016020
TraesCS1A01G212700	GO:0046983
TraesCS1A01G213000	GO:0000287
TraesCS1A01G213000	GO:0003824
TraesCS1A01G213000	GO:0004743
TraesCS1A01G213000	GO:0006096
