GID	GO
TraesCS1A01G214600	GO:0005737
TraesCS1A01G214600	GO:0006457
TraesCS1A01G277400	GO:0005506
TraesCS1A01G277400	GO:0016705
TraesCS1A01G277400	GO:0020037
TraesCS1A01G277400	GO:0055114
TraesCS1A01G338400	GO:0019825
TraesCS1A01G338400	GO:0020037
TraesCS1A01G378000	GO:0005515
TraesCS1A01G400500	GO:0003824
TraesCS1A01G402100	GO:0005840
TraesCS1A01G402100	GO:0006364
TraesCS1A01G402100	GO:0043022
TraesCS1A01G406500	GO:0003735
TraesCS1A01G406500	GO:0005622
TraesCS1A01G406500	GO:0005840
TraesCS1A01G406500	GO:0006412
TraesCS1A01G426900	GO:0005515
TraesCS1A01G426900	GO:0008270
TraesCS1A01G427200	GO:0005515
TraesCS1B01G171800	GO:0016491
TraesCS1B01G171800	GO:0016614
TraesCS1B01G171800	GO:0046577
TraesCS1B01G171800	GO:0050660
TraesCS1B01G171800	GO:0055114
TraesCS1B01G213300	GO:0004252
TraesCS1B01G213300	GO:0006508
TraesCS1B01G222400	GO:0005524
TraesCS1B01G222400	GO:0005737
TraesCS1B01G222400	GO:0008360
TraesCS1B01G222400	GO:0009058
TraesCS1B01G222400	GO:0016874
TraesCS1B01G222400	GO:0016881
TraesCS1B01G222400	GO:0051301
TraesCS1B01G268400	GO:0016491
TraesCS1B01G268400	GO:0055114
TraesCS1B01G268400	GO:0071949
TraesCS1B01G310300	GO:0005576
TraesCS1B01G310300	GO:0009664
TraesCS1B01G333800	GO:0016788
TraesCS1B01G367500	GO:0006629
TraesCS1B01G398800	GO:0005515
TraesCS1B01G429200	GO:0003824
TraesCS1B01G431200	GO:0005840
TraesCS1B01G431200	GO:0006364
TraesCS1B01G431200	GO:0008152
TraesCS1B01G431200	GO:0043022
TraesCS1B01G431200	GO:0070569
TraesCS1B01G436700	GO:0003735
TraesCS1B01G436700	GO:0005622
TraesCS1B01G436700	GO:0005840
TraesCS1B01G436700	GO:0006412
TraesCS1B01G462200	GO:0005515
TraesCS1B01G469300	GO:0005515
TraesCS1B01G469300	GO:0008270
TraesCS1D01G045200	GO:0004150
TraesCS1D01G045200	GO:0006760
TraesCS1D01G202100	GO:0004252
TraesCS1D01G202100	GO:0006508
TraesCS1D01G217600	GO:0005737
TraesCS1D01G217600	GO:0006457
TraesCS1D01G257300	GO:0016491
TraesCS1D01G257300	GO:0055114
TraesCS1D01G257300	GO:0071949
TraesCS1D01G408300	GO:0003824
TraesCS1D01G409700	GO:0005840
TraesCS1D01G409700	GO:0006364
TraesCS1D01G409700	GO:0008152
TraesCS1D01G409700	GO:0043022
TraesCS1D01G409700	GO:0070569
TraesCS1D01G414900	GO:0003735
TraesCS1D01G414900	GO:0005622
TraesCS1D01G414900	GO:0005840
TraesCS1D01G414900	GO:0006412
TraesCS1D01G437000	GO:0005515
TraesCS2A01G156100	GO:0003676
TraesCS2A01G188700	GO:0005215
TraesCS2A01G188700	GO:0016020
TraesCS2A01G188700	GO:0016021
TraesCS2A01G188700	GO:0022857
TraesCS2A01G188700	GO:0022891
TraesCS2A01G188700	GO:0055085
TraesCS2A01G249600	GO:0003676
TraesCS2A01G307300	GO:0042274
TraesCS2A01G338100	GO:0003735
TraesCS2A01G338100	GO:0005840
TraesCS2A01G338100	GO:0006412
TraesCS2A01G488900	GO:0004553
TraesCS2A01G488900	GO:0005975
TraesCS2A01G520300	GO:0006412
TraesCS2A01G520300	GO:0030956
TraesCS2A01G520300	GO:0050567
TraesCS2A01G563100	GO:0003735
TraesCS2A01G563100	GO:0005622
TraesCS2A01G563100	GO:0005840
TraesCS2A01G563100	GO:0006412
TraesCS2B01G181600	GO:0003676
TraesCS2B01G271300	GO:0003676
TraesCS2B01G282400	GO:0005215
TraesCS2B01G282400	GO:0016020
TraesCS2B01G282400	GO:0016021
TraesCS2B01G282400	GO:0022857
TraesCS2B01G282400	GO:0022891
TraesCS2B01G282400	GO:0055085
TraesCS2B01G406600	GO:0005622
TraesCS2B01G406600	GO:0008270
TraesCS2B01G410100	GO:0005515
TraesCS2B01G537500	GO:0004672
TraesCS2B01G537500	GO:0005524
TraesCS2B01G537500	GO:0006468
TraesCS2B01G623400	GO:0003735
TraesCS2B01G623400	GO:0005622
TraesCS2B01G623400	GO:0005840
TraesCS2B01G623400	GO:0006412
TraesCS2D01G049500	GO:0005524
TraesCS2D01G049500	GO:0005737
TraesCS2D01G049500	GO:0006457
TraesCS2D01G049500	GO:0042026
TraesCS2D01G055300	GO:0008146
TraesCS2D01G095800	GO:0016757
TraesCS2D01G161900	GO:0003676
TraesCS2D01G249200	GO:0000166
TraesCS2D01G249200	GO:0002161
TraesCS2D01G249200	GO:0004812
TraesCS2D01G249200	GO:0004832
TraesCS2D01G249200	GO:0005524
TraesCS2D01G249200	GO:0005737
TraesCS2D01G249200	GO:0006418
TraesCS2D01G249200	GO:0006438
TraesCS2D01G251000	GO:0003676
TraesCS2D01G264200	GO:0005215
TraesCS2D01G264200	GO:0016020
TraesCS2D01G264200	GO:0016021
TraesCS2D01G264200	GO:0022857
TraesCS2D01G264200	GO:0022891
TraesCS2D01G264200	GO:0055085
TraesCS2D01G284100	GO:0008152
TraesCS2D01G284100	GO:0016597
TraesCS2D01G322200	GO:0003824
TraesCS2D01G322200	GO:0005975
TraesCS2D01G322200	GO:0016853
TraesCS2D01G322200	GO:0019318
TraesCS2D01G322200	GO:0030246
TraesCS2D01G324900	GO:0003735
TraesCS2D01G324900	GO:0005840
TraesCS2D01G324900	GO:0006412
TraesCS2D01G389900	GO:0005515
TraesCS2D01G477800	GO:0004553
TraesCS2D01G477800	GO:0005975
TraesCS2D01G489200	GO:0004553
TraesCS2D01G489200	GO:0005975
TraesCS2D01G521500	GO:0006412
TraesCS2D01G521500	GO:0030956
TraesCS2D01G521500	GO:0050567
TraesCS2D01G552200	GO:0000160
TraesCS2D01G572300	GO:0003735
TraesCS2D01G572300	GO:0005622
TraesCS2D01G572300	GO:0005840
TraesCS2D01G572300	GO:0006412
TraesCS3A01G041200	GO:0003677
TraesCS3A01G041200	GO:0003700
TraesCS3A01G041200	GO:0006355
TraesCS3A01G059600	GO:0005759
TraesCS3A01G096000	GO:0003333
TraesCS3A01G096000	GO:0006865
TraesCS3A01G096000	GO:0015171
TraesCS3A01G096000	GO:0016020
TraesCS3A01G096000	GO:0016021
TraesCS3A01G096000	GO:0055085
TraesCS3A01G105900	GO:0003723
TraesCS3A01G105900	GO:0006396
TraesCS3A01G105900	GO:0008173
TraesCS3A01G113900	GO:0003824
TraesCS3A01G133100	GO:0003333
TraesCS3A01G133100	GO:0015171
TraesCS3A01G133100	GO:0016020
TraesCS3A01G137000	GO:0005515
TraesCS3A01G137000	GO:0008270
TraesCS3A01G175400	GO:0006950
TraesCS3A01G268600	GO:0003723
TraesCS3A01G268600	GO:0003735
TraesCS3A01G268600	GO:0005622
TraesCS3A01G268600	GO:0005840
TraesCS3A01G268600	GO:0006412
TraesCS3A01G308100	GO:0004672
TraesCS3A01G308100	GO:0005524
TraesCS3A01G308100	GO:0006468
TraesCS3A01G313500	GO:0003735
TraesCS3A01G313500	GO:0005622
TraesCS3A01G313500	GO:0005840
TraesCS3A01G313500	GO:0006412
TraesCS3A01G313500	GO:0015934
TraesCS3A01G344800	GO:0005576
TraesCS3A01G344800	GO:0009664
TraesCS3A01G385400	GO:0003677
TraesCS3A01G385400	GO:0003824
TraesCS3A01G393900	GO:0003676
TraesCS3B01G072200	GO:0005759
TraesCS3B01G127400	GO:0005515
TraesCS3B01G154900	GO:0005515
TraesCS3B01G154900	GO:0008270
TraesCS3B01G166100	GO:0016491
TraesCS3B01G166100	GO:0055114
TraesCS3B01G179500	GO:0005506
TraesCS3B01G179500	GO:0016705
TraesCS3B01G179500	GO:0020037
TraesCS3B01G179500	GO:0055114
TraesCS3B01G282400	GO:0030145
TraesCS3B01G282400	GO:0045735
TraesCS3B01G282500	GO:0030145
TraesCS3B01G282500	GO:0045735
TraesCS3B01G375900	GO:0016020
TraesCS3B01G376800	GO:0005576
TraesCS3B01G376800	GO:0009664
TraesCS3B01G394200	GO:0003677
TraesCS3B01G415900	GO:0004044
TraesCS3B01G415900	GO:0009113
TraesCS3B01G415900	GO:0009116
TraesCS3B01G417600	GO:0003677
TraesCS3B01G417600	GO:0003824
TraesCS3B01G425900	GO:0003676
TraesCS3B01G490600	GO:0005515
TraesCS3B01G594300	GO:0003677
TraesCS3D01G003200	GO:0003735
TraesCS3D01G003200	GO:0005622
TraesCS3D01G003200	GO:0005840
TraesCS3D01G003200	GO:0006412
TraesCS3D01G003200	GO:0019843
TraesCS3D01G003800	GO:0003735
TraesCS3D01G003800	GO:0005622
TraesCS3D01G003800	GO:0005840
TraesCS3D01G003800	GO:0006412
TraesCS3D01G003800	GO:0019843
TraesCS3D01G005500	GO:0003824
TraesCS3D01G005500	GO:0008152
TraesCS3D01G005500	GO:0016747
TraesCS3D01G039000	GO:0003677
TraesCS3D01G039000	GO:0003700
TraesCS3D01G039000	GO:0006355
TraesCS3D01G059900	GO:0005759
TraesCS3D01G088900	GO:0000786
TraesCS3D01G088900	GO:0003677
TraesCS3D01G088900	GO:0046982
TraesCS3D01G137800	GO:0005515
TraesCS3D01G137800	GO:0008270
TraesCS3D01G188800	GO:0003677
TraesCS3D01G188800	GO:0003918
TraesCS3D01G188800	GO:0005524
TraesCS3D01G188800	GO:0005694
TraesCS3D01G188800	GO:0006265
TraesCS3D01G224800	GO:0003735
TraesCS3D01G224800	GO:0005622
TraesCS3D01G224800	GO:0005840
TraesCS3D01G224800	GO:0006412
TraesCS3D01G338400	GO:0005576
TraesCS3D01G338400	GO:0009664
TraesCS3D01G345800	GO:0005515
TraesCS3D01G347000	GO:0005634
TraesCS3D01G347000	GO:0006355
TraesCS3D01G347000	GO:0043565
TraesCS3D01G347000	GO:0046982
TraesCS3D01G375200	GO:0005215
TraesCS3D01G375200	GO:0006810
TraesCS3D01G375200	GO:0006857
TraesCS3D01G375200	GO:0016020
TraesCS3D01G378400	GO:0003677
TraesCS3D01G378400	GO:0003824
TraesCS3D01G387600	GO:0003676
TraesCS3D01G393700	GO:0006457
TraesCS3D01G393700	GO:0015031
TraesCS3D01G408100	GO:0003712
TraesCS3D01G408100	GO:0004402
TraesCS3D01G408100	GO:0005515
TraesCS3D01G408100	GO:0005634
TraesCS3D01G408100	GO:0006355
TraesCS3D01G408100	GO:0008270
TraesCS4A01G065400	GO:0003735
TraesCS4A01G065400	GO:0005622
TraesCS4A01G065400	GO:0005840
TraesCS4A01G065400	GO:0006412
TraesCS4A01G065400	GO:0015934
TraesCS4A01G085200	GO:0005381
TraesCS4A01G085200	GO:0016021
TraesCS4A01G085200	GO:0034755
TraesCS4A01G121500	GO:0004252
TraesCS4A01G121500	GO:0006508
TraesCS4A01G177600	GO:0005524
TraesCS4A01G180200	GO:0005215
TraesCS4A01G180200	GO:0006810
TraesCS4A01G180200	GO:0016020
