GID	GO
TraesCS1A01G007500	GO:0000413
TraesCS1A01G007500	GO:0003755
TraesCS1A01G007500	GO:0006457
TraesCS1A01G018500	GO:0004672
TraesCS1A01G018500	GO:0005524
TraesCS1A01G018500	GO:0006468
TraesCS1A01G018500	GO:0030247
TraesCS1A01G026300	GO:0043531
TraesCS1A01G029300	GO:0016020
TraesCS1A01G031300	GO:0005215
TraesCS1A01G031300	GO:0006810
TraesCS1A01G031300	GO:0006857
TraesCS1A01G031300	GO:0016020
TraesCS1A01G036200	GO:0009813
TraesCS1A01G036200	GO:0016872
TraesCS1A01G036200	GO:0045430
TraesCS1A01G057200	GO:0008883
TraesCS1A01G057200	GO:0033014
TraesCS1A01G057200	GO:0050661
TraesCS1A01G057200	GO:0055114
TraesCS1A01G060500	GO:0005515
TraesCS1A01G066400	GO:0004148
TraesCS1A01G066400	GO:0016491
TraesCS1A01G066400	GO:0016668
TraesCS1A01G066400	GO:0045454
TraesCS1A01G066400	GO:0050660
TraesCS1A01G066400	GO:0055114
TraesCS1A01G074400	GO:0003676
TraesCS1A01G080500	GO:0004672
TraesCS1A01G080500	GO:0005524
TraesCS1A01G080500	GO:0006468
TraesCS1A01G080500	GO:0007165
TraesCS1A01G080600	GO:0004672
TraesCS1A01G080600	GO:0005524
TraesCS1A01G080600	GO:0006468
TraesCS1A01G080600	GO:0007165
TraesCS1A01G080700	GO:0004672
TraesCS1A01G080700	GO:0005524
TraesCS1A01G080700	GO:0006468
TraesCS1A01G080700	GO:0007165
TraesCS1A01G084300	GO:0003690
TraesCS1A01G084300	GO:0006355
TraesCS1A01G099000	GO:0016021
TraesCS1A01G100600	GO:0004252
TraesCS1A01G100600	GO:0005515
TraesCS1A01G100600	GO:0006508
TraesCS1A01G105300	GO:0005509
TraesCS1A01G105300	GO:0015969
TraesCS1A01G110900	GO:0003824
TraesCS1A01G110900	GO:0003873
TraesCS1A01G110900	GO:0005524
TraesCS1A01G110900	GO:0006000
TraesCS1A01G110900	GO:0006003
TraesCS1A01G110900	GO:0008152
