GID	GO
TraesCS1A01G069300	GO:0004435
TraesCS1A01G069300	GO:0005515
TraesCS1A01G069300	GO:0006629
TraesCS1A01G069300	GO:0007165
TraesCS1A01G069300	GO:0008081
TraesCS1A01G069300	GO:0035556
TraesCS1A01G214600	GO:0005737
TraesCS1A01G214600	GO:0006457
TraesCS1A01G257500	GO:0008152
TraesCS1A01G257500	GO:0016787
TraesCS1A01G275400	GO:0004672
TraesCS1A01G275400	GO:0005524
TraesCS1A01G275400	GO:0006468
TraesCS1A01G277100	GO:0006810
TraesCS1A01G277100	GO:0016021
TraesCS1A01G277400	GO:0005506
TraesCS1A01G277400	GO:0016705
TraesCS1A01G277400	GO:0020037
TraesCS1A01G277400	GO:0055114
TraesCS1A01G338400	GO:0019825
TraesCS1A01G338400	GO:0020037
TraesCS1A01G378000	GO:0005515
TraesCS1A01G400500	GO:0003824
TraesCS1A01G402100	GO:0005840
TraesCS1A01G402100	GO:0006364
TraesCS1A01G402100	GO:0043022
TraesCS1A01G406500	GO:0003735
TraesCS1A01G406500	GO:0005622
TraesCS1A01G406500	GO:0005840
TraesCS1A01G406500	GO:0006412
TraesCS1A01G426900	GO:0005515
TraesCS1A01G426900	GO:0008270
TraesCS1A01G427200	GO:0005515
TraesCS1A01G440300	GO:0005515
TraesCS1B01G170200	GO:0003723
TraesCS1B01G170200	GO:0033897
TraesCS1B01G171800	GO:0016491
TraesCS1B01G171800	GO:0016614
TraesCS1B01G171800	GO:0046577
TraesCS1B01G171800	GO:0050660
TraesCS1B01G171800	GO:0055114
TraesCS1B01G213300	GO:0004252
TraesCS1B01G213300	GO:0006508
TraesCS1B01G222400	GO:0005524
TraesCS1B01G222400	GO:0005737
TraesCS1B01G222400	GO:0008360
TraesCS1B01G222400	GO:0009058
TraesCS1B01G222400	GO:0016874
TraesCS1B01G222400	GO:0016881
TraesCS1B01G222400	GO:0051301
TraesCS1B01G257700	GO:0003824
TraesCS1B01G257700	GO:0004553
TraesCS1B01G257700	GO:0005975
TraesCS1B01G268400	GO:0016491
TraesCS1B01G268400	GO:0055114
TraesCS1B01G268400	GO:0071949
TraesCS1B01G300600	GO:0003824
TraesCS1B01G300600	GO:0006520
TraesCS1B01G300600	GO:0008483
TraesCS1B01G300600	GO:0009058
TraesCS1B01G300600	GO:0030170
TraesCS1B01G310300	GO:0005576
TraesCS1B01G310300	GO:0009664
TraesCS1B01G312100	GO:0008152
TraesCS1B01G312100	GO:0016758
TraesCS1B01G333800	GO:0016788
TraesCS1B01G339000	GO:0006662
TraesCS1B01G339000	GO:0015035
TraesCS1B01G339000	GO:0045454
TraesCS1B01G367500	GO:0006629
TraesCS1B01G398800	GO:0005515
TraesCS1B01G429200	GO:0003824
TraesCS1B01G431200	GO:0005840
TraesCS1B01G431200	GO:0006364
TraesCS1B01G431200	GO:0008152
TraesCS1B01G431200	GO:0043022
TraesCS1B01G431200	GO:0070569
TraesCS1B01G434100	GO:0004252
TraesCS1B01G434100	GO:0006508
TraesCS1B01G436700	GO:0003735
TraesCS1B01G436700	GO:0005622
TraesCS1B01G436700	GO:0005840
TraesCS1B01G436700	GO:0006412
TraesCS1B01G462200	GO:0005515
TraesCS1B01G469300	GO:0005515
TraesCS1B01G469300	GO:0008270
TraesCS1D01G002600	GO:0007034
TraesCS1D01G036000	GO:0006629
TraesCS1D01G036000	GO:0008374
TraesCS1D01G045200	GO:0004150
TraesCS1D01G045200	GO:0006760
TraesCS1D01G114700	GO:0006629
TraesCS1D01G114700	GO:0008081
TraesCS1D01G185200	GO:0005618
TraesCS1D01G185200	GO:0030599
TraesCS1D01G185200	GO:0042545
TraesCS1D01G202100	GO:0004252
TraesCS1D01G202100	GO:0006508
TraesCS1D01G217600	GO:0005737
TraesCS1D01G217600	GO:0006457
TraesCS1D01G257300	GO:0016491
TraesCS1D01G257300	GO:0055114
TraesCS1D01G257300	GO:0071949
TraesCS1D01G338000	GO:0008168
TraesCS1D01G338000	GO:0008171
TraesCS1D01G338000	GO:0046983
TraesCS1D01G338100	GO:0008168
TraesCS1D01G338100	GO:0008171
TraesCS1D01G338100	GO:0046983
TraesCS1D01G338200	GO:0008168
TraesCS1D01G338200	GO:0008171
TraesCS1D01G338200	GO:0046983
TraesCS1D01G408300	GO:0003824
TraesCS1D01G409700	GO:0005840
TraesCS1D01G409700	GO:0006364
TraesCS1D01G409700	GO:0008152
TraesCS1D01G409700	GO:0043022
TraesCS1D01G409700	GO:0070569
TraesCS1D01G414900	GO:0003735
TraesCS1D01G414900	GO:0005622
TraesCS1D01G414900	GO:0005840
TraesCS1D01G414900	GO:0006412
TraesCS1D01G437000	GO:0005515
TraesCS2A01G007500	GO:0005215
TraesCS2A01G007500	GO:0006810
TraesCS2A01G007500	GO:0006857
TraesCS2A01G007500	GO:0016020
TraesCS2A01G025700	GO:0003824
TraesCS2A01G025700	GO:0008152
TraesCS2A01G025700	GO:0009058
TraesCS2A01G025700	GO:0016746
TraesCS2A01G025700	GO:0016747
TraesCS2A01G035300	GO:0003824
TraesCS2A01G035300	GO:0008152
TraesCS2A01G035300	GO:0009058
TraesCS2A01G035300	GO:0016746
TraesCS2A01G035300	GO:0016747
TraesCS2A01G113600	GO:0005737
TraesCS2A01G113600	GO:0006629
TraesCS2A01G113600	GO:0016021
TraesCS2A01G113600	GO:0016627
TraesCS2A01G130200	GO:0008152
TraesCS2A01G130200	GO:0016787
TraesCS2A01G156100	GO:0003676
TraesCS2A01G188700	GO:0005215
TraesCS2A01G188700	GO:0016020
TraesCS2A01G188700	GO:0016021
TraesCS2A01G188700	GO:0022857
TraesCS2A01G188700	GO:0022891
TraesCS2A01G188700	GO:0055085
TraesCS2A01G215100	GO:0000272
TraesCS2A01G215100	GO:0016161
TraesCS2A01G249600	GO:0003676
TraesCS2A01G307300	GO:0042274
TraesCS2A01G338100	GO:0003735
TraesCS2A01G338100	GO:0005840
TraesCS2A01G338100	GO:0006412
TraesCS2A01G351300	GO:0005515
TraesCS2A01G374100	GO:0005524
TraesCS2A01G374100	GO:0016020
TraesCS2A01G374100	GO:0016887
TraesCS2A01G380800	GO:0003824
TraesCS2A01G380800	GO:0005737
TraesCS2A01G380800	GO:0006559
TraesCS2A01G380800	GO:0016841
TraesCS2A01G381100	GO:0003824
TraesCS2A01G381100	GO:0005737
TraesCS2A01G381100	GO:0006559
TraesCS2A01G381100	GO:0016841
TraesCS2A01G446700	GO:0006952
TraesCS2A01G446700	GO:0009607
TraesCS2A01G488900	GO:0004553
TraesCS2A01G488900	GO:0005975
TraesCS2A01G510800	GO:0016787
TraesCS2A01G520300	GO:0006412
TraesCS2A01G520300	GO:0030956
TraesCS2A01G520300	GO:0050567
TraesCS2A01G527700	GO:0003824
TraesCS2A01G527700	GO:0008152
TraesCS2A01G527700	GO:0009058
TraesCS2A01G527700	GO:0016746
TraesCS2A01G527700	GO:0016747
TraesCS2A01G563100	GO:0003735
TraesCS2A01G563100	GO:0005622
TraesCS2A01G563100	GO:0005840
TraesCS2A01G563100	GO:0006412
TraesCS2B01G001600	GO:0004672
TraesCS2B01G001600	GO:0005515
TraesCS2B01G001600	GO:0005524
TraesCS2B01G001600	GO:0006468
TraesCS2B01G038600	GO:0003824
TraesCS2B01G038600	GO:0008152
TraesCS2B01G038600	GO:0009058
TraesCS2B01G038600	GO:0016746
TraesCS2B01G038600	GO:0016747
TraesCS2B01G038700	GO:0003824
TraesCS2B01G038700	GO:0008152
TraesCS2B01G038700	GO:0009058
TraesCS2B01G038700	GO:0016746
TraesCS2B01G038700	GO:0016747
TraesCS2B01G048400	GO:0003824
TraesCS2B01G048400	GO:0008152
TraesCS2B01G048400	GO:0009058
TraesCS2B01G048400	GO:0016746
TraesCS2B01G048400	GO:0016747
TraesCS2B01G181600	GO:0003676
TraesCS2B01G233600	GO:0046854
TraesCS2B01G271300	GO:0003676
TraesCS2B01G275100	GO:0003824
TraesCS2B01G275100	GO:0008152
TraesCS2B01G275100	GO:0016671
TraesCS2B01G275100	GO:0019419
TraesCS2B01G275100	GO:0045454
TraesCS2B01G275100	GO:0055114
TraesCS2B01G282400	GO:0005215
TraesCS2B01G282400	GO:0016020
TraesCS2B01G282400	GO:0016021
TraesCS2B01G282400	GO:0022857
TraesCS2B01G282400	GO:0022891
TraesCS2B01G282400	GO:0055085
TraesCS2B01G398000	GO:0003824
TraesCS2B01G398000	GO:0005737
TraesCS2B01G398000	GO:0006559
TraesCS2B01G398000	GO:0016841
TraesCS2B01G398400	GO:0003824
TraesCS2B01G398400	GO:0005737
TraesCS2B01G398400	GO:0006559
TraesCS2B01G398400	GO:0016841
TraesCS2B01G400000	GO:0003824
