GID	GO
BDIBD21-3.1G0007100	GO:0000166
BDIBD21-3.1G0029300	GO:0000166
BDIBD21-3.1G0030300	GO:0000166
BDIBD21-3.1G0035500	GO:0000166
BDIBD21-3.1G0055300	GO:0000166
BDIBD21-3.1G0068900	GO:0000166
BDIBD21-3.1G0091100	GO:0000166
BDIBD21-3.1G0092100	GO:0000166
BDIBD21-3.1G0092400	GO:0000166
BDIBD21-3.1G0111200	GO:0000166
BDIBD21-3.1G0122000	GO:0000166
BDIBD21-3.1G0122100	GO:0000166
BDIBD21-3.1G0143000	GO:0000166
BDIBD21-3.1G0165200	GO:0000166
BDIBD21-3.1G0165400	GO:0000166
BDIBD21-3.1G0241800	GO:0000166
BDIBD21-3.1G0247100	GO:0000166
BDIBD21-3.1G0275600	GO:0000166
BDIBD21-3.1G0324000	GO:0000166
BDIBD21-3.1G0340200	GO:0000166
BDIBD21-3.1G0340600	GO:0000166
BDIBD21-3.1G0341500	GO:0000166
BDIBD21-3.1G0346000	GO:0000166
BDIBD21-3.1G0355200	GO:0000166
BDIBD21-3.1G0355600	GO:0000166
BDIBD21-3.1G0364100	GO:0000166
BDIBD21-3.1G0401900	GO:0000166
BDIBD21-3.1G0403200	GO:0000166
BDIBD21-3.1G0423500	GO:0000166
BDIBD21-3.1G0437500	GO:0000166
BDIBD21-3.1G0453800	GO:0000166
BDIBD21-3.1G0474900	GO:0000166
BDIBD21-3.1G0516300	GO:0000166
BDIBD21-3.1G0516400	GO:0000166
BDIBD21-3.1G0519800	GO:0000166
BDIBD21-3.1G0542600	GO:0000166
BDIBD21-3.1G0600200	GO:0000166
BDIBD21-3.1G0600800	GO:0000166
BDIBD21-3.1G0666700	GO:0000166
BDIBD21-3.1G0687000	GO:0000166
BDIBD21-3.1G0695800	GO:0000166
BDIBD21-3.1G0726300	GO:0000166
BDIBD21-3.1G0727900	GO:0000166
BDIBD21-3.1G0728500	GO:0000166
BDIBD21-3.1G0729200	GO:0000166
BDIBD21-3.1G0773700	GO:0000166
BDIBD21-3.1G0774000	GO:0000166
BDIBD21-3.1G0775100	GO:0000166
BDIBD21-3.1G0775200	GO:0000166
BDIBD21-3.1G0822200	GO:0000166
BDIBD21-3.1G0852100	GO:0000166
BDIBD21-3.1G0880000	GO:0000166
BDIBD21-3.1G0914800	GO:0000166
BDIBD21-3.1G0930900	GO:0000166
BDIBD21-3.1G0932700	GO:0000166
BDIBD21-3.1G0950400	GO:0000166
BDIBD21-3.1G1008600	GO:0000166
BDIBD21-3.1G1013400	GO:0000166
BDIBD21-3.1G1027200	GO:0000166
BDIBD21-3.2G0015700	GO:0000166
BDIBD21-3.2G0015800	GO:0000166
BDIBD21-3.2G0019400	GO:0000166
BDIBD21-3.2G0059700	GO:0000166
BDIBD21-3.2G0073100	GO:0000166
BDIBD21-3.2G0073200	GO:0000166
BDIBD21-3.2G0095300	GO:0000166
BDIBD21-3.2G0109500	GO:0000166
BDIBD21-3.2G0114000	GO:0000166
BDIBD21-3.2G0132300	GO:0000166
BDIBD21-3.2G0133100	GO:0000166
BDIBD21-3.2G0161200	GO:0000166
BDIBD21-3.2G0162100	GO:0000166
BDIBD21-3.2G0162200	GO:0000166
BDIBD21-3.2G0192500	GO:0000166
BDIBD21-3.2G0193400	GO:0000166
BDIBD21-3.2G0201400	GO:0000166
BDIBD21-3.2G0240400	GO:0000166
BDIBD21-3.2G0247800	GO:0000166
BDIBD21-3.2G0256900	GO:0000166
BDIBD21-3.2G0268600	GO:0000166
BDIBD21-3.2G0290700	GO:0000166
BDIBD21-3.2G0335100	GO:0000166
BDIBD21-3.2G0340000	GO:0000166
BDIBD21-3.2G0357000	GO:0000166
BDIBD21-3.2G0360200	GO:0000166
BDIBD21-3.2G0370400	GO:0000166
BDIBD21-3.2G0402800	GO:0000166
BDIBD21-3.2G0417400	GO:0000166
BDIBD21-3.2G0431400	GO:0000166
BDIBD21-3.2G0486200	GO:0000166
BDIBD21-3.2G0524500	GO:0000166
BDIBD21-3.2G0547500	GO:0000166
BDIBD21-3.2G0550500	GO:0000166
BDIBD21-3.2G0557400	GO:0000166
BDIBD21-3.2G0575000	GO:0000166
BDIBD21-3.2G0579300	GO:0000166
BDIBD21-3.2G0604700	GO:0000166
BDIBD21-3.2G0604800	GO:0000166
BDIBD21-3.2G0605400	GO:0000166
BDIBD21-3.2G0607400	GO:0000166
BDIBD21-3.2G0612400	GO:0000166
BDIBD21-3.2G0633200	GO:0000166
BDIBD21-3.2G0633800	GO:0000166
BDIBD21-3.2G0634900	GO:0000166
BDIBD21-3.2G0659600	GO:0000166
BDIBD21-3.2G0694800	GO:0000166
BDIBD21-3.2G0725200	GO:0000166
BDIBD21-3.2G0747400	GO:0000166
BDIBD21-3.2G0764900	GO:0000166
BDIBD21-3.2G0773000	GO:0000166
BDIBD21-3.3G0008500	GO:0000166
BDIBD21-3.3G0013700	GO:0000166
BDIBD21-3.3G0013800	GO:0000166
BDIBD21-3.3G0013900	GO:0000166
BDIBD21-3.3G0014000	GO:0000166
BDIBD21-3.3G0073400	GO:0000166
BDIBD21-3.3G0079800	GO:0000166
BDIBD21-3.3G0086400	GO:0000166
BDIBD21-3.3G0104700	GO:0000166
BDIBD21-3.3G0134300	GO:0000166
BDIBD21-3.3G0143400	GO:0000166
BDIBD21-3.3G0146900	GO:0000166
BDIBD21-3.3G0153100	GO:0000166
BDIBD21-3.3G0156300	GO:0000166
BDIBD21-3.3G0215000	GO:0000166
BDIBD21-3.3G0261800	GO:0000166
BDIBD21-3.3G0285300	GO:0000166
BDIBD21-3.3G0297200	GO:0000166
BDIBD21-3.3G0307200	GO:0000166
BDIBD21-3.3G0314700	GO:0000166
BDIBD21-3.3G0356800	GO:0000166
BDIBD21-3.3G0361800	GO:0000166
BDIBD21-3.3G0362100	GO:0000166
BDIBD21-3.3G0365100	GO:0000166
BDIBD21-3.3G0369800	GO:0000166
BDIBD21-3.3G0380900	GO:0000166
BDIBD21-3.3G0395400	GO:0000166
BDIBD21-3.3G0400700	GO:0000166
BDIBD21-3.3G0407700	GO:0000166
BDIBD21-3.3G0429200	GO:0000166
BDIBD21-3.3G0464900	GO:0000166
BDIBD21-3.3G0465100	GO:0000166
BDIBD21-3.3G0497100	GO:0000166
BDIBD21-3.3G0513500	GO:0000166
BDIBD21-3.3G0554900	GO:0000166
BDIBD21-3.3G0592800	GO:0000166
BDIBD21-3.3G0632500	GO:0000166
BDIBD21-3.3G0643300	GO:0000166
BDIBD21-3.3G0647400	GO:0000166
BDIBD21-3.3G0658000	GO:0000166
BDIBD21-3.3G0693700	GO:0000166
BDIBD21-3.3G0740800	GO:0000166
BDIBD21-3.3G0756200	GO:0000166
BDIBD21-3.4G0003700	GO:0000166
BDIBD21-3.4G0026500	GO:0000166
BDIBD21-3.4G0026600	GO:0000166
BDIBD21-3.4G0029700	GO:0000166
BDIBD21-3.4G0035900	GO:0000166
BDIBD21-3.4G0075400	GO:0000166
BDIBD21-3.4G0077500	GO:0000166
BDIBD21-3.4G0108200	GO:0000166
BDIBD21-3.4G0108400	GO:0000166
BDIBD21-3.4G0111900	GO:0000166
BDIBD21-3.4G0125500	GO:0000166
BDIBD21-3.4G0133000	GO:0000166
BDIBD21-3.4G0149800	GO:0000166
BDIBD21-3.4G0170000	GO:0000166
BDIBD21-3.4G0170500	GO:0000166
BDIBD21-3.4G0172400	GO:0000166
BDIBD21-3.4G0181500	GO:0000166
BDIBD21-3.4G0189100	GO:0000166
BDIBD21-3.4G0199600	GO:0000166
BDIBD21-3.4G0207200	GO:0000166
BDIBD21-3.4G0215900	GO:0000166
BDIBD21-3.4G0306000	GO:0000166
BDIBD21-3.4G0355400	GO:0000166
BDIBD21-3.4G0358900	GO:0000166
BDIBD21-3.4G0359200	GO:0000166
BDIBD21-3.4G0375100	GO:0000166
BDIBD21-3.4G0384100	GO:0000166
BDIBD21-3.4G0396700	GO:0000166
BDIBD21-3.4G0412300	GO:0000166
BDIBD21-3.4G0460100	GO:0000166
BDIBD21-3.4G0466800	GO:0000166
BDIBD21-3.4G0492300	GO:0000166
BDIBD21-3.4G0494800	GO:0000166
BDIBD21-3.4G0525300	GO:0000166
BDIBD21-3.4G0527500	GO:0000166
BDIBD21-3.4G0566600	GO:0000166
BDIBD21-3.4G0591900	GO:0000166
BDIBD21-3.4G0618300	GO:0000166
BDIBD21-3.5G0007000	GO:0000166
BDIBD21-3.5G0036600	GO:0000166
BDIBD21-3.5G0036800	GO:0000166
BDIBD21-3.5G0040700	GO:0000166
BDIBD21-3.5G0040900	GO:0000166
BDIBD21-3.5G0041200	GO:0000166
BDIBD21-3.5G0041300	GO:0000166
BDIBD21-3.5G0108700	GO:0000166
BDIBD21-3.5G0127100	GO:0000166
BDIBD21-3.5G0143100	GO:0000166
BDIBD21-3.5G0143500	GO:0000166
BDIBD21-3.5G0167100	GO:0000166
BDIBD21-3.5G0194000	GO:0000166
BDIBD21-3.5G0201100	GO:0000166
BDIBD21-3.5G0205300	GO:0000166
BDIBD21-3.5G0222200	GO:0000166
BDIBD21-3.5G0226700	GO:0000166
BDIBD21-3.5G0258900	GO:0000166
BDIBD21-3.5G0286600	GO:0000166
BDIBD21-3.5G0318300	GO:0000166
BDIBD21-3.5G0327200	GO:0000166
BDIBD21-3.5G0338600	GO:0000166
BDIBD21-3.1G0612700	GO:0003674
BDIBD21-3.1G0959900	GO:0003674
BDIBD21-3.3G0088700	GO:0003674
BDIBD21-3.5G0351300	GO:0003674
BDIBD21-3.1G0024400	GO:0003676
BDIBD21-3.1G0034200	GO:0003676
BDIBD21-3.1G0049100	GO:0003676
BDIBD21-3.1G0170800	GO:0003676
BDIBD21-3.1G0748700	GO:0003676
BDIBD21-3.1G0750800	GO:0003676
BDIBD21-3.1G0766500	GO:0003676
BDIBD21-3.1G0829300	GO:0003676
BDIBD21-3.2G0023900	GO:0003676
BDIBD21-3.2G0024000	GO:0003676
BDIBD21-3.2G0245400	GO:0003676
BDIBD21-3.2G0771900	GO:0003676
BDIBD21-3.3G0017200	GO:0003676
BDIBD21-3.3G0026400	GO:0003676
BDIBD21-3.3G0077000	GO:0003676
BDIBD21-3.3G0314700	GO:0003676
BDIBD21-3.3G0564000	GO:0003676
BDIBD21-3.4G0010300	GO:0003676
BDIBD21-3.4G0378100	GO:0003676
BDIBD21-3.4G0494800	GO:0003676
BDIBD21-3.5G0306200	GO:0003676
BDIBD21-3.1G0031700	GO:0003677
BDIBD21-3.1G0055300	GO:0003677
BDIBD21-3.1G0083100	GO:0003677
BDIBD21-3.1G0094600	GO:0003677
BDIBD21-3.1G0131000	GO:0003677
BDIBD21-3.1G0194600	GO:0003677
BDIBD21-3.1G0227100	GO:0003677
BDIBD21-3.1G0230200	GO:0003677
BDIBD21-3.1G0230500	GO:0003677
BDIBD21-3.1G0247100	GO:0003677
BDIBD21-3.1G0258600	GO:0003677
BDIBD21-3.1G0305700	GO:0003677
BDIBD21-3.1G0355200	GO:0003677
BDIBD21-3.1G0398600	GO:0003677
BDIBD21-3.1G0406800	GO:0003677
BDIBD21-3.1G0413500	GO:0003677
BDIBD21-3.1G0434400	GO:0003677
BDIBD21-3.1G0487900	GO:0003677
BDIBD21-3.1G0502300	GO:0003677
BDIBD21-3.1G0593300	GO:0003677
BDIBD21-3.1G0593500	GO:0003677
BDIBD21-3.1G0853700	GO:0003677
BDIBD21-3.1G0862500	GO:0003677
BDIBD21-3.1G0993900	GO:0003677
BDIBD21-3.1G1016700	GO:0003677
BDIBD21-3.2G0007100	GO:0003677
BDIBD21-3.2G0071700	GO:0003677
BDIBD21-3.2G0075600	GO:0003677
BDIBD21-3.2G0106500	GO:0003677
BDIBD21-3.2G0128000	GO:0003677
BDIBD21-3.2G0132300	GO:0003677
BDIBD21-3.2G0140400	GO:0003677
BDIBD21-3.2G0193200	GO:0003677
BDIBD21-3.2G0196000	GO:0003677
BDIBD21-3.2G0208200	GO:0003677
BDIBD21-3.2G0243900	GO:0003677
BDIBD21-3.2G0249500	GO:0003677
BDIBD21-3.2G0267400	GO:0003677
BDIBD21-3.2G0285100	GO:0003677
BDIBD21-3.2G0315500	GO:0003677
BDIBD21-3.2G0328000	GO:0003677
BDIBD21-3.2G0328900	GO:0003677
BDIBD21-3.2G0418600	GO:0003677
BDIBD21-3.2G0535000	GO:0003677
BDIBD21-3.2G0557400	GO:0003677
BDIBD21-3.2G0562100	GO:0003677
BDIBD21-3.2G0565000	GO:0003677
BDIBD21-3.2G0615100	GO:0003677
BDIBD21-3.2G0626500	GO:0003677
BDIBD21-3.2G0686500	GO:0003677
BDIBD21-3.2G0688100	GO:0003677
BDIBD21-3.2G0722500	GO:0003677
BDIBD21-3.2G0783300	GO:0003677
BDIBD21-3.3G0036700	GO:0003677
BDIBD21-3.3G0078900	GO:0003677
BDIBD21-3.3G0100500	GO:0003677
BDIBD21-3.3G0118700	GO:0003677
BDIBD21-3.3G0179500	GO:0003677
BDIBD21-3.3G0234400	GO:0003677
BDIBD21-3.3G0300300	GO:0003677
BDIBD21-3.3G0306400	GO:0003677
BDIBD21-3.3G0345400	GO:0003677
BDIBD21-3.3G0457500	GO:0003677
BDIBD21-3.3G0512700	GO:0003677
BDIBD21-3.3G0546000	GO:0003677
BDIBD21-3.3G0654400	GO:0003677
BDIBD21-3.3G0665600	GO:0003677
BDIBD21-3.4G0031800	GO:0003677
BDIBD21-3.4G0063600	GO:0003677
BDIBD21-3.4G0093400	GO:0003677
BDIBD21-3.4G0267700	GO:0003677
BDIBD21-3.4G0272200	GO:0003677
BDIBD21-3.4G0396500	GO:0003677
BDIBD21-3.4G0426700	GO:0003677
BDIBD21-3.4G0449500	GO:0003677
BDIBD21-3.4G0457000	GO:0003677
BDIBD21-3.4G0482600	GO:0003677
BDIBD21-3.4G0500000	GO:0003677
BDIBD21-3.4G0509400	GO:0003677
BDIBD21-3.4G0585800	GO:0003677
BDIBD21-3.4G0610500	GO:0003677
BDIBD21-3.4G0615100	GO:0003677
BDIBD21-3.5G0224800	GO:0003677
BDIBD21-3.5G0284000	GO:0003677
BDIBD21-3.1G0230200	GO:0003700
BDIBD21-3.1G0310800	GO:0003700
BDIBD21-3.1G0413500	GO:0003700
BDIBD21-3.1G0638900	GO:0003700
BDIBD21-3.1G0853700	GO:0003700
BDIBD21-3.1G0862500	GO:0003700
BDIBD21-3.1G0993900	GO:0003700
BDIBD21-3.2G0071700	GO:0003700
BDIBD21-3.2G0208200	GO:0003700
BDIBD21-3.2G0243900	GO:0003700
BDIBD21-3.2G0249500	GO:0003700
BDIBD21-3.2G0315500	GO:0003700
BDIBD21-3.2G0328000	GO:0003700
BDIBD21-3.2G0418600	GO:0003700
BDIBD21-3.2G0535000	GO:0003700
BDIBD21-3.2G0562100	GO:0003700
BDIBD21-3.2G0565000	GO:0003700
BDIBD21-3.2G0615100	GO:0003700
BDIBD21-3.2G0626500	GO:0003700
BDIBD21-3.2G0688100	GO:0003700
BDIBD21-3.3G0036700	GO:0003700
BDIBD21-3.3G0078900	GO:0003700
BDIBD21-3.3G0100500	GO:0003700
BDIBD21-3.3G0118700	GO:0003700
BDIBD21-3.3G0179500	GO:0003700
BDIBD21-3.3G0300300	GO:0003700
BDIBD21-3.3G0306400	GO:0003700
BDIBD21-3.3G0345400	GO:0003700
BDIBD21-3.3G0457500	GO:0003700
BDIBD21-3.3G0484100	GO:0003700
BDIBD21-3.3G0512700	GO:0003700
BDIBD21-3.3G0581000	GO:0003700
BDIBD21-3.3G0660200	GO:0003700
BDIBD21-3.3G0665600	GO:0003700
BDIBD21-3.3G0669400	GO:0003700
BDIBD21-3.3G0781000	GO:0003700
BDIBD21-3.4G0031800	GO:0003700
BDIBD21-3.4G0063600	GO:0003700
BDIBD21-3.4G0093400	GO:0003700
BDIBD21-3.4G0267700	GO:0003700
BDIBD21-3.4G0396500	GO:0003700
BDIBD21-3.4G0426700	GO:0003700
BDIBD21-3.4G0435900	GO:0003700
BDIBD21-3.4G0449500	GO:0003700
BDIBD21-3.4G0457000	GO:0003700
BDIBD21-3.4G0500000	GO:0003700
BDIBD21-3.4G0509400	GO:0003700
BDIBD21-3.4G0615100	GO:0003700
BDIBD21-3.5G0099100	GO:0003700
BDIBD21-3.5G0224800	GO:0003700
BDIBD21-3.1G0026500	GO:0003723
BDIBD21-3.1G0147100	GO:0003723
BDIBD21-3.1G0176100	GO:0003723
BDIBD21-3.1G0224300	GO:0003723
BDIBD21-3.1G0402400	GO:0003723
BDIBD21-3.1G0750800	GO:0003723
BDIBD21-3.1G0840500	GO:0003723
BDIBD21-3.2G0229100	GO:0003723
BDIBD21-3.2G0502000	GO:0003723
BDIBD21-3.3G0526400	GO:0003723
BDIBD21-3.3G0600600	GO:0003723
BDIBD21-3.4G0096800	GO:0003723
BDIBD21-3.4G0358900	GO:0003723
BDIBD21-3.4G0359200	GO:0003723
BDIBD21-3.4G0461700	GO:0003723
BDIBD21-3.4G0494800	GO:0003723
BDIBD21-3.4G0586100	GO:0003723
BDIBD21-3.5G0207600	GO:0003723
BDIBD21-3.1G0324000	GO:0003774
