GID	GO
TRAESCS7D01G059600	GO:0000003
TRAESCS1A01G018500	GO:0000166
TRAESCS1A01G026300	GO:0000166
TRAESCS1A01G057200	GO:0000166
TRAESCS1A01G080500	GO:0000166
TRAESCS1A01G080600	GO:0000166
TRAESCS1A01G080700	GO:0000166
TRAESCS1A01G110900	GO:0000166
TRAESCS1A01G111100	GO:0000166
TRAESCS1A01G162800	GO:0000166
TRAESCS1A01G173100	GO:0000166
TRAESCS1A01G182300	GO:0000166
TRAESCS1A01G242300	GO:0000166
TRAESCS1A01G258000	GO:0000166
TRAESCS1A01G275400	GO:0000166
TRAESCS1A01G301400	GO:0000166
TRAESCS1A01G302600	GO:0000166
TRAESCS1A01G325800	GO:0000166
TRAESCS1A01G369800	GO:0000166
TRAESCS1A01G391700	GO:0000166
TRAESCS1A01G433500	GO:0000166
TRAESCS1B01G075200	GO:0000166
TRAESCS1B01G085200	GO:0000166
TRAESCS1B01G098600	GO:0000166
TRAESCS1B01G098700	GO:0000166
TRAESCS1B01G129000	GO:0000166
TRAESCS1B01G151300	GO:0000166
TRAESCS1B01G179500	GO:0000166
TRAESCS1B01G190700	GO:0000166
TRAESCS1B01G191200	GO:0000166
TRAESCS1B01G200700	GO:0000166
TRAESCS1B01G268400	GO:0000166
TRAESCS1B01G284600	GO:0000166
TRAESCS1B01G434400	GO:0000166
TRAESCS1D01G001500	GO:0000166
TRAESCS1D01G017600	GO:0000166
TRAESCS1D01G058300	GO:0000166
TRAESCS1D01G067900	GO:0000166
TRAESCS1D01G082200	GO:0000166
TRAESCS1D01G082500	GO:0000166
TRAESCS1D01G112300	GO:0000166
TRAESCS1D01G151900	GO:0000166
TRAESCS1D01G159600	GO:0000166
TRAESCS1D01G165100	GO:0000166
TRAESCS1D01G165600	GO:0000166
TRAESCS1D01G213900	GO:0000166
TRAESCS1D01G257300	GO:0000166
TRAESCS1D01G275000	GO:0000166
TRAESCS1D01G381500	GO:0000166
TRAESCS1D01G412600	GO:0000166
TRAESCS2A01G031000	GO:0000166
TRAESCS2A01G046700	GO:0000166
TRAESCS2A01G053100	GO:0000166
TRAESCS2A01G067800	GO:0000166
TRAESCS2A01G106500	GO:0000166
TRAESCS2A01G106800	GO:0000166
TRAESCS2A01G110800	GO:0000166
TRAESCS2A01G179700	GO:0000166
TRAESCS2A01G204700	GO:0000166
TRAESCS2A01G220600	GO:0000166
TRAESCS2A01G292800	GO:0000166
TRAESCS2A01G299200	GO:0000166
TRAESCS2A01G344600	GO:0000166
TRAESCS2A01G348200	GO:0000166
TRAESCS2A01G374100	GO:0000166
TRAESCS2A01G387000	GO:0000166
TRAESCS2A01G387400	GO:0000166
TRAESCS2A01G410400	GO:0000166
TRAESCS2A01G480500	GO:0000166
TRAESCS2A01G523500	GO:0000166
TRAESCS2A01G550200	GO:0000166
TRAESCS2A01G577400	GO:0000166
TRAESCS2B01G007400	GO:0000166
TRAESCS2B01G012100	GO:0000166
TRAESCS2B01G080000	GO:0000166
TRAESCS2B01G080300	GO:0000166
TRAESCS2B01G100300	GO:0000166
TRAESCS2B01G123500	GO:0000166
TRAESCS2B01G124100	GO:0000166
TRAESCS2B01G232300	GO:0000166
TRAESCS2B01G255900	GO:0000166
TRAESCS2B01G263300	GO:0000166
TRAESCS2B01G277400	GO:0000166
TRAESCS2B01G287800	GO:0000166
TRAESCS2B01G298700	GO:0000166
TRAESCS2B01G328100	GO:0000166
TRAESCS2B01G328500	GO:0000166
TRAESCS2B01G342200	GO:0000166
TRAESCS2B01G347700	GO:0000166
TRAESCS2B01G404600	GO:0000166
TRAESCS2B01G429200	GO:0000166
TRAESCS2B01G486100	GO:0000166
TRAESCS2B01G536200	GO:0000166
TRAESCS2B01G580800	GO:0000166
TRAESCS2B01G595200	GO:0000166
TRAESCS2D01G049500	GO:0000166
TRAESCS2D01G053300	GO:0000166
TRAESCS2D01G066100	GO:0000166
TRAESCS2D01G091400	GO:0000166
TRAESCS2D01G097700	GO:0000166
TRAESCS2D01G106300	GO:0000166
TRAESCS2D01G107100	GO:0000166
TRAESCS2D01G155700	GO:0000166
TRAESCS2D01G211200	GO:0000166
TRAESCS2D01G249200	GO:0000166
TRAESCS2D01G268000	GO:0000166
TRAESCS2D01G322900	GO:0000166
TRAESCS2D01G346600	GO:0000166
TRAESCS2D01G383800	GO:0000166
TRAESCS2D01G385000	GO:0000166
TRAESCS2D01G407800	GO:0000166
TRAESCS2D01G414100	GO:0000166
TRAESCS2D01G442100	GO:0000166
TRAESCS2D01G465300	GO:0000166
TRAESCS2D01G479900	GO:0000166
TRAESCS2D01G525600	GO:0000166
TRAESCS2D01G537700	GO:0000166
TRAESCS2D01G551200	GO:0000166
TRAESCS2D01G565200	GO:0000166
TRAESCS2D01G567500	GO:0000166
TRAESCS3A01G007200	GO:0000166
TRAESCS3A01G014700	GO:0000166
TRAESCS3A01G015100	GO:0000166
TRAESCS3A01G040000	GO:0000166
TRAESCS3A01G054200	GO:0000166
TRAESCS3A01G068600	GO:0000166
TRAESCS3A01G129000	GO:0000166
TRAESCS3A01G135500	GO:0000166
TRAESCS3A01G184800	GO:0000166
TRAESCS3A01G198400	GO:0000166
TRAESCS3A01G222700	GO:0000166
TRAESCS3A01G227100	GO:0000166
TRAESCS3A01G229100	GO:0000166
TRAESCS3A01G258400	GO:0000166
TRAESCS3A01G265900	GO:0000166
TRAESCS3A01G313600	GO:0000166
TRAESCS3A01G316800	GO:0000166
TRAESCS3A01G392200	GO:0000166
TRAESCS3A01G415400	GO:0000166
TRAESCS3A01G417100	GO:0000166
TRAESCS3A01G463400	GO:0000166
TRAESCS3B01G030600	GO:0000166
TRAESCS3B01G035800	GO:0000166
TRAESCS3B01G054700	GO:0000166
TRAESCS3B01G056600	GO:0000166
TRAESCS3B01G057100	GO:0000166
TRAESCS3B01G148100	GO:0000166
TRAESCS3B01G158300	GO:0000166
TRAESCS3B01G169300	GO:0000166
TRAESCS3B01G207300	GO:0000166
TRAESCS3B01G214600	GO:0000166
TRAESCS3B01G222700	GO:0000166
TRAESCS3B01G252600	GO:0000166
TRAESCS3B01G255500	GO:0000166
TRAESCS3B01G299300	GO:0000166
TRAESCS3B01G318600	GO:0000166
TRAESCS3B01G322800	GO:0000166
TRAESCS3B01G361100	GO:0000166
TRAESCS3B01G376300	GO:0000166
TRAESCS3B01G424200	GO:0000166
TRAESCS3B01G452000	GO:0000166
TRAESCS3B01G474500	GO:0000166
TRAESCS3B01G506600	GO:0000166
TRAESCS3B01G532000	GO:0000166
TRAESCS3B01G555500	GO:0000166
TRAESCS3B01G568500	GO:0000166
TRAESCS3B01G573700	GO:0000166
TRAESCS3B01G579200	GO:0000166
TRAESCS3B01G592900	GO:0000166
TRAESCS3D01G012800	GO:0000166
TRAESCS3D01G014500	GO:0000166
TRAESCS3D01G022400	GO:0000166
TRAESCS3D01G032900	GO:0000166
TRAESCS3D01G053700	GO:0000166
TRAESCS3D01G129900	GO:0000166
TRAESCS3D01G140700	GO:0000166
TRAESCS3D01G151400	GO:0000166
TRAESCS3D01G151500	GO:0000166
TRAESCS3D01G183100	GO:0000166
TRAESCS3D01G196700	GO:0000166
TRAESCS3D01G225200	GO:0000166
TRAESCS3D01G227300	GO:0000166
TRAESCS3D01G241900	GO:0000166
TRAESCS3D01G266100	GO:0000166
TRAESCS3D01G284500	GO:0000166
TRAESCS3D01G288000	GO:0000166
TRAESCS3D01G316400	GO:0000166
TRAESCS3D01G317300	GO:0000166
TRAESCS3D01G324400	GO:0000166
TRAESCS3D01G369100	GO:0000166
TRAESCS3D01G385300	GO:0000166
TRAESCS3D01G391600	GO:0000166
TRAESCS3D01G412600	GO:0000166
TRAESCS3D01G498000	GO:0000166
TRAESCS3D01G501100	GO:0000166
TRAESCS3D01G509800	GO:0000166
TRAESCS3D01G515400	GO:0000166
TRAESCS4A01G051900	GO:0000166
