GID	GO
TRAESCS1A01G026300	GO:0000166
TRAESCS1A01G057200	GO:0000166
TRAESCS1A01G080600	GO:0000166
TRAESCS1A01G110900	GO:0000166
TRAESCS1A01G162800	GO:0000166
TRAESCS1A01G173100	GO:0000166
TRAESCS1A01G182300	GO:0000166
TRAESCS1A01G243700	GO:0000166
TRAESCS1A01G258000	GO:0000166
TRAESCS1A01G275400	GO:0000166
TRAESCS1A01G302600	GO:0000166
TRAESCS1A01G325800	GO:0000166
TRAESCS1A01G369800	GO:0000166
TRAESCS1A01G433500	GO:0000166
TRAESCS1B01G002500	GO:0000166
TRAESCS1B01G075200	GO:0000166
TRAESCS1B01G085200	GO:0000166
TRAESCS1B01G098600	GO:0000166
TRAESCS1B01G098700	GO:0000166
TRAESCS1B01G129000	GO:0000166
TRAESCS1B01G175900	GO:0000166
TRAESCS1B01G179500	GO:0000166
TRAESCS1B01G191200	GO:0000166
TRAESCS1B01G198700	GO:0000166
TRAESCS1B01G269400	GO:0000166
TRAESCS1B01G284600	GO:0000166
TRAESCS1B01G309400	GO:0000166
TRAESCS1B01G434400	GO:0000166
TRAESCS1D01G002900	GO:0000166
TRAESCS1D01G058300	GO:0000166
TRAESCS1D01G067900	GO:0000166
TRAESCS1D01G082200	GO:0000166
TRAESCS1D01G082500	GO:0000166
TRAESCS1D01G112300	GO:0000166
TRAESCS1D01G151900	GO:0000166
TRAESCS1D01G159600	GO:0000166
TRAESCS1D01G165600	GO:0000166
TRAESCS1D01G213900	GO:0000166
TRAESCS1D01G243700	GO:0000166
TRAESCS1D01G257300	GO:0000166
TRAESCS1D01G275000	GO:0000166
TRAESCS1D01G376000	GO:0000166
TRAESCS1D01G381500	GO:0000166
TRAESCS1D01G412600	GO:0000166
TRAESCS1D01G443100	GO:0000166
TRAESCS2A01G006500	GO:0000166
TRAESCS2A01G067800	GO:0000166
TRAESCS2A01G106800	GO:0000166
TRAESCS2A01G179700	GO:0000166
TRAESCS2A01G204700	GO:0000166
TRAESCS2A01G231500	GO:0000166
TRAESCS2A01G235500	GO:0000166
TRAESCS2A01G299200	GO:0000166
TRAESCS2A01G374100	GO:0000166
TRAESCS2A01G387000	GO:0000166
