GID	GO
TRAESCS2B01G459100	GO:0008152
TRAESCS2B01G459100	GO:0003824
TRAESCS7B01G101100	GO:0005488
TRAESCS7B01G101100	GO:0003824
TRAESCS7B01G101100	GO:0005975
TRAESCS7B01G101100	GO:0008152
TRAESCS6A01G102100	GO:0016740
TRAESCS2D01G394200	GO:0003824
TRAESCS2D01G394200	GO:0009058
TRAESCS2D01G394200	GO:0005488
TRAESCS5B01G097200	GO:0006629
TRAESCS7B01G206900	GO:0005488
TRAESCS7B01G206900	GO:0008152
TRAESCS7B01G206900	GO:0003824
TRAESCS3D01G231000	GO:0003824
TRAESCS3D01G231000	GO:0006139
TRAESCS3D01G231000	GO:0009058
TRAESCS3B01G385500	GO:0005773
TRAESCS3B01G385500	GO:0016020
TRAESCS3B01G385500	GO:0006810
TRAESCS3B01G385500	GO:0005215
TRAESCS3B01G385500	GO:0016787
TRAESCS5D01G309000	GO:0003824
TRAESCS5D01G309000	GO:0005488
TRAESCS3A01G204800	GO:0005515
TRAESCS5B01G232900	GO:0003824
TRAESCS5B01G232900	GO:0019725
TRAESCS1D01G399000	GO:0016740
TRAESCS1D01G399000	GO:0016020
TRAESCS2A01G277100	GO:0005515
TRAESCS2B01G449100	GO:0005215
TRAESCS2B01G449100	GO:0016020
TRAESCS2B01G449100	GO:0006810
TRAESCS1B01G130000	GO:0005488
TRAESCS1B01G130000	GO:0008152
TRAESCS1B01G130000	GO:0003824
TRAESCS2D01G269200	GO:0003700
TRAESCS2D01G269200	GO:0006139
TRAESCS2D01G269200	GO:0009058
TRAESCS2D01G269200	GO:0003677
TRAESCS1D01G072900	GO:0003700
TRAESCS1D01G072900	GO:0006139
TRAESCS1D01G072900	GO:0009058
TRAESCS1D01G072900	GO:0003677
TRAESCS6D01G095600	GO:0005515
TRAESCS7B01G269900	GO:0005488
TRAESCS7B01G269900	GO:0005737
TRAESCS7B01G269900	GO:0009056
TRAESCS7B01G269900	GO:0009987
TRAESCS7B01G269900	GO:0005975
TRAESCS7B01G269900	GO:0008152
TRAESCS7B01G269900	GO:0003824
TRAESCS2A01G573900	GO:0008152
TRAESCS2A01G573900	GO:0009987
TRAESCS2A01G573900	GO:0003824
TRAESCS2A01G573900	GO:0006950
TRAESCS2A01G573900	GO:0005488
TRAESCS3B01G356700	GO:0016787
TRAESCS3B01G356700	GO:0019538
TRAESCS3D01G327400	GO:0000166
TRAESCS5A01G276700	GO:0000166
TRAESCS5A01G276700	GO:0006810
TRAESCS5A01G276700	GO:0016787
TRAESCS5A01G276700	GO:0005215
TRAESCS5A01G276700	GO:0005515
TRAESCS5A01G276700	GO:0016020
TRAESCS5A01G276700	GO:0005488
TRAESCS5A01G220600	GO:0016020
TRAESCS4A01G056500	GO:0006810
TRAESCS4A01G056500	GO:0016020
TRAESCS4B01G174300	GO:0000166
TRAESCS4B01G174300	GO:0005488
TRAESCS4B01G174300	GO:0006810
TRAESCS4B01G174300	GO:0016787
TRAESCS4B01G174300	GO:0005215
TRAESCS4B01G174300	GO:0016043
TRAESCS4B01G174300	GO:0016020
TRAESCS3A01G257500	GO:0000166
TRAESCS3A01G257500	GO:0006810
TRAESCS3A01G257500	GO:0016020
TRAESCS3A01G257500	GO:0016787
TRAESCS3A01G257500	GO:0005215
TRAESCS1D01G090400	GO:0005515
TRAESCS1B01G308200	GO:0003700
TRAESCS1B01G308200	GO:0006139
TRAESCS1B01G308200	GO:0009058
TRAESCS1B01G308200	GO:0003677
TRAESCS2B01G503900	GO:0000166
TRAESCS4B01G208200	GO:0003723
TRAESCS4B01G208200	GO:0006139
TRAESCS4B01G208200	GO:0016740
TRAESCS3B01G109000	GO:0003676
TRAESCS3A01G302100	GO:0005515
TRAESCS5A01G016200	GO:0000166
TRAESCS5A01G016200	GO:0016020
TRAESCS5A01G016200	GO:0016787
TRAESCS3D01G041400	GO:0005488
TRAESCS5A01G476700	GO:0008152
TRAESCS5A01G476700	GO:0016740
TRAESCS3A01G466200	GO:0008152
TRAESCS3A01G466200	GO:0016740
TRAESCS1B01G107600	GO:0005488
TRAESCS1B01G107600	GO:0009058
TRAESCS1B01G107600	GO:0009987
TRAESCS1B01G107600	GO:0005975
TRAESCS1B01G107600	GO:0016787
TRAESCS1B01G107600	GO:0008152
TRAESCS1A01G112500	GO:0005198
TRAESCS1A01G112500	GO:0005840
TRAESCS1A01G112500	GO:0005622
TRAESCS1A01G181000	GO:0003824
TRAESCS1A01G181000	GO:0005488
TRAESCS7D01G073400	GO:0003824
TRAESCS7D01G073400	GO:0006139
TRAESCS6D01G203000	GO:0016740
TRAESCS1A01G422900	GO:0016787
TRAESCS1A01G422900	GO:0005975
TRAESCS6D01G192500	GO:0016740
TRAESCS6D01G192500	GO:0009058
TRAESCS6D01G192500	GO:0006464
TRAESCS6D01G192500	GO:0016020
TRAESCS5A01G065500	GO:0008152
TRAESCS5A01G065500	GO:0016740
TRAESCS7B01G310700	GO:0016740
TRAESCS3D01G312000	GO:0016787
TRAESCS3D01G312000	GO:0008152
TRAESCS3D01G312000	GO:0009987
TRAESCS3D01G312000	GO:0005488
