GID	GO
BDIBD21-3.1G0030300	GO:0000166
BDIBD21-3.1G0092100	GO:0000166
BDIBD21-3.1G0122000	GO:0000166
BDIBD21-3.1G0122100	GO:0000166
BDIBD21-3.1G0223200	GO:0000166
BDIBD21-3.1G0241800	GO:0000166
BDIBD21-3.1G0247100	GO:0000166
BDIBD21-3.1G0310300	GO:0000166
BDIBD21-3.1G0392500	GO:0000166
BDIBD21-3.1G0403200	GO:0000166
BDIBD21-3.1G0437500	GO:0000166
BDIBD21-3.1G0454000	GO:0000166
BDIBD21-3.1G0542600	GO:0000166
BDIBD21-3.1G0727900	GO:0000166
BDIBD21-3.1G0728500	GO:0000166
BDIBD21-3.1G0732000	GO:0000166
BDIBD21-3.1G0852100	GO:0000166
BDIBD21-3.1G0930900	GO:0000166
BDIBD21-3.1G1027200	GO:0000166
BDIBD21-3.1G1030800	GO:0000166
BDIBD21-3.2G0014500	GO:0000166
BDIBD21-3.2G0046700	GO:0000166
BDIBD21-3.2G0095600	GO:0000166
BDIBD21-3.2G0124700	GO:0000166
BDIBD21-3.2G0167900	GO:0000166
BDIBD21-3.2G0256900	GO:0000166
BDIBD21-3.2G0475900	GO:0000166
BDIBD21-3.2G0509900	GO:0000166
BDIBD21-3.2G0612400	GO:0000166
BDIBD21-3.2G0774500	GO:0000166
BDIBD21-3.2G0794800	GO:0000166
BDIBD21-3.3G0008500	GO:0000166
BDIBD21-3.3G0053600	GO:0000166
BDIBD21-3.3G0053700	GO:0000166
BDIBD21-3.3G0053800	GO:0000166
BDIBD21-3.3G0054200	GO:0000166
BDIBD21-3.3G0104700	GO:0000166
BDIBD21-3.3G0209300	GO:0000166
BDIBD21-3.3G0227400	GO:0000166
BDIBD21-3.3G0700300	GO:0000166
BDIBD21-3.3G0709500	GO:0000166
BDIBD21-3.4G0000300	GO:0000166
BDIBD21-3.4G0009800	GO:0000166
BDIBD21-3.4G0023500	GO:0000166
BDIBD21-3.4G0108400	GO:0000166
BDIBD21-3.4G0147900	GO:0000166
BDIBD21-3.4G0172400	GO:0000166
BDIBD21-3.4G0196900	GO:0000166
BDIBD21-3.4G0369700	GO:0000166
BDIBD21-3.4G0382400	GO:0000166
BDIBD21-3.4G0396400	GO:0000166
BDIBD21-3.4G0466800	GO:0000166
BDIBD21-3.4G0494800	GO:0000166
BDIBD21-3.5G0007000	GO:0000166
BDIBD21-3.5G0024300	GO:0000166
BDIBD21-3.5G0143100	GO:0000166
BDIBD21-3.5G0167100	GO:0000166
BDIBD21-3.5G0216500	GO:0000166
BDIBD21-3.5G0297000	GO:0000166
BDIBD21-3.1G0034200	GO:0003676
BDIBD21-3.1G0170800	GO:0003676
BDIBD21-3.1G0228300	GO:0003676
BDIBD21-3.1G0267000	GO:0003676
BDIBD21-3.1G0523800	GO:0003676
BDIBD21-3.1G0748700	GO:0003676
BDIBD21-3.2G0091800	GO:0003676
BDIBD21-3.2G0496000	GO:0003676
BDIBD21-3.2G0721400	GO:0003676
BDIBD21-3.2G0751300	GO:0003676
BDIBD21-3.2G0771900	GO:0003676
BDIBD21-3.3G0026400	GO:0003676
BDIBD21-3.3G0514400	GO:0003676
BDIBD21-3.4G0010300	GO:0003676
BDIBD21-3.4G0023500	GO:0003676
BDIBD21-3.4G0494800	GO:0003676
BDIBD21-3.5G0148200	GO:0003676
BDIBD21-3.1G0131000	GO:0003677
BDIBD21-3.1G0175800	GO:0003677
BDIBD21-3.1G0194600	GO:0003677
BDIBD21-3.1G0247100	GO:0003677
BDIBD21-3.1G0305700	GO:0003677
BDIBD21-3.1G0425500	GO:0003677
BDIBD21-3.1G0567100	GO:0003677
BDIBD21-3.1G0593300	GO:0003677
BDIBD21-3.1G0593500	GO:0003677
BDIBD21-3.1G0644800	GO:0003677
BDIBD21-3.1G0763100	GO:0003677
BDIBD21-3.2G0034000	GO:0003677
BDIBD21-3.2G0034100	GO:0003677
BDIBD21-3.2G0091800	GO:0003677
BDIBD21-3.2G0193200	GO:0003677
BDIBD21-3.2G0488600	GO:0003677
BDIBD21-3.2G0496000	GO:0003677
BDIBD21-3.2G0552800	GO:0003677
