GID	GO
TRAESCS2D01G222700	GO:0016301
TRAESCS2D01G222700	GO:0006464
TRAESCS2D01G222700	GO:0000166
TRAESCS1A01G235200	GO:0000166
TRAESCS1A01G235200	GO:0003824
TRAESCS1A01G235200	GO:0005737
TRAESCS1A01G235200	GO:0006139
TRAESCS4D01G128700	GO:0003824
TRAESCS4D01G128700	GO:0008152
TRAESCS3A01G276200	GO:0016301
TRAESCS3A01G276200	GO:0006464
TRAESCS3A01G276200	GO:0005515
TRAESCS3A01G276200	GO:0000166
TRAESCS3D01G408900	GO:0005515
TRAESCS3D01G408900	GO:0005488
TRAESCS5B01G454700	GO:0016301
TRAESCS5B01G454700	GO:0006464
TRAESCS5B01G454700	GO:0005488
TRAESCS5B01G454700	GO:0005515
TRAESCS5B01G454700	GO:0000166
TRAESCS5B01G454700	GO:0030246
TRAESCS3A01G206400	GO:0005515
TRAESCS5A01G024100	GO:0005515
TRAESCS6D01G335600	GO:0005975
TRAESCS6D01G335600	GO:0003824
TRAESCS1D01G289800	GO:0003824
TRAESCS1D01G289800	GO:0008152
TRAESCS1D01G289800	GO:0009987
TRAESCS1D01G289800	GO:0016740
TRAESCS1D01G289800	GO:0009058
TRAESCS1D01G289800	GO:0005488
TRAESCS1A01G327200	GO:0016787
TRAESCS1A01G327200	GO:0000166
TRAESCS1A01G327200	GO:0005622
TRAESCS1A01G327200	GO:0006810
TRAESCS1A01G327200	GO:0003723
TRAESCS1A01G327200	GO:0005737
TRAESCS7B01G152600	GO:0016787
TRAESCS7B01G152600	GO:0000166
TRAESCS3B01G218500	GO:0005488
TRAESCS3B01G218500	GO:0003824
TRAESCS3B01G218500	GO:0006091
TRAESCS3B01G218500	GO:0006139
TRAESCS3B01G218500	GO:0005975
TRAESCS3B01G218500	GO:0016301
TRAESCS3B01G218500	GO:0009058
TRAESCS3B01G218500	GO:0009056
TRAESCS3A01G261800	GO:0016301
TRAESCS3A01G261800	GO:0006464
TRAESCS3A01G261800	GO:0000166
TRAESCS3A01G261800	GO:0030246
TRAESCS7D01G288100	GO:0005215
TRAESCS7D01G288100	GO:0006810
TRAESCS7D01G288100	GO:0016020
TRAESCS4B01G326800	GO:0003824
TRAESCS4B01G326800	GO:0008152
TRAESCS2D01G403800	GO:0016787
TRAESCS2D01G403800	GO:0019538
TRAESCS6B01G147200	GO:0008135
TRAESCS6B01G147200	GO:0005488
TRAESCS6B01G147200	GO:0005515
TRAESCS6A01G216100	GO:0016787
TRAESCS6A01G216100	GO:0005975
TRAESCS6A01G216100	GO:0009987
TRAESCS6A01G216100	GO:0009056
TRAESCS6A01G216100	GO:0005488
TRAESCS3D01G246000	GO:0005886
TRAESCS3D01G246000	GO:0016740
TRAESCS3D01G246000	GO:0009987
TRAESCS3D01G246000	GO:0009058
TRAESCS3D01G246000	GO:0005975
TRAESCS3D01G246000	GO:0016020
TRAESCS1A01G288500	GO:0005634
TRAESCS1A01G288500	GO:0006139
TRAESCS1A01G288500	GO:0009058
TRAESCS1A01G288500	GO:0003677
TRAESCS1A01G288500	GO:0005515
TRAESCS7D01G277500	GO:0008152
TRAESCS7D01G277500	GO:0003824
TRAESCS7D01G277500	GO:0000166
TRAESCS3D01G377300	GO:0003677
TRAESCS4A01G079700	GO:0008152
TRAESCS4A01G079700	GO:0005488
TRAESCS7B01G252000	GO:0005488
TRAESCS1A01G309500	GO:0000166
TRAESCS5A01G016200	GO:0000166
TRAESCS5A01G016200	GO:0016020
TRAESCS5A01G016200	GO:0016787
TRAESCS4A01G106900	GO:0005515
TRAESCS5A01G073800	GO:0005515
TRAESCS7D01G238000	GO:0005215
TRAESCS7D01G238000	GO:0005622
TRAESCS7D01G238000	GO:0006810
TRAESCS5A01G449400	GO:0000166
TRAESCS3A01G371200	GO:0005488
TRAESCS3A01G371200	GO:0008152
TRAESCS3A01G371200	GO:0003824
TRAESCS2A01G221300	GO:0000166
TRAESCS1A01G338200	GO:0003824
TRAESCS1A01G338200	GO:0009058
TRAESCS1A01G338200	GO:0009987
TRAESCS1A01G338200	GO:0005975
TRAESCS6A01G213700	GO:0005975
TRAESCS6A01G213700	GO:0008152
TRAESCS6A01G213700	GO:0003824
TRAESCS6A01G213700	GO:0000166
TRAESCS5A01G425600	GO:0005515
TRAESCS5A01G425600	GO:0016043
TRAESCS5A01G425600	GO:0005622
TRAESCS5A01G425600	GO:0006810
TRAESCS5A01G425600	GO:0016020
TRAESCS3D01G096500	GO:0006810
TRAESCS3D01G096500	GO:0005215
TRAESCS3D01G096500	GO:0016020
TRAESCS1A01G332800	GO:0000166
TRAESCS1A01G332800	GO:0006810
TRAESCS1A01G332800	GO:0016787
TRAESCS1A01G332800	GO:0005215
TRAESCS1A01G332800	GO:0016020
TRAESCS1A01G332800	GO:0005488
TRAESCS3B01G114200	GO:0008150
TRAESCS3B01G114200	GO:0005515
TRAESCS3B01G114200	GO:0005488
TRAESCS3B01G114200	GO:0007165
TRAESCS3B01G114200	GO:0005622
TRAESCS3B01G252000	GO:0003824
TRAESCS3B01G252000	GO:0006139
TRAESCS3B01G252000	GO:0009058
TRAESCS3B01G146500	GO:0016740
TRAESCS7B01G325400	GO:0005737
TRAESCS7B01G325400	GO:0006810
TRAESCS7B01G325400	GO:0016043
TRAESCS4B01G106300	GO:0005488
TRAESCS4B01G106300	GO:0008152
TRAESCS4B01G106300	GO:0003824
TRAESCS1B01G122800	GO:0003824
TRAESCS1B01G122800	GO:0005737
TRAESCS1B01G122800	GO:0009987
TRAESCS1B01G122800	GO:0009056
TRAESCS7A01G267800	GO:0006810
TRAESCS7A01G267800	GO:0016020
TRAESCS7D01G467100	GO:0000166
TRAESCS7D01G467100	GO:0005488
TRAESCS7D01G467100	GO:0006810
TRAESCS7D01G467100	GO:0016020
TRAESCS7D01G467100	GO:0016787
TRAESCS7D01G467100	GO:0005215
TRAESCS3A01G221700	GO:0016301
TRAESCS3A01G221700	GO:0006464
TRAESCS3A01G221700	GO:0005488
TRAESCS3A01G221700	GO:0000166
TRAESCS3B01G556500	GO:0016740
TRAESCS2B01G534600	GO:0006810
TRAESCS2B01G534600	GO:0005215
TRAESCS2B01G534600	GO:0016020
