GID	GO
TRAESCS6A01G283600	GO:0005215
TRAESCS6A01G283600	GO:0006810
TRAESCS6A01G283600	GO:0016020
TRAESCS5D01G409900	GO:0005488
TRAESCS5D01G409900	GO:0008152
TRAESCS5D01G409900	GO:0003824
TRAESCS5D01G409900	GO:0030246
TRAESCS2D01G038700	GO:0016787
TRAESCS2D01G038700	GO:0019538
TRAESCS2D01G038700	GO:0006810
TRAESCS2D01G038700	GO:0016020
TRAESCS5B01G122700	GO:0005515
TRAESCS3D01G219600	GO:0005215
TRAESCS3D01G219600	GO:0006810
TRAESCS3D01G219600	GO:0005515
TRAESCS3D01G219600	GO:0016020
TRAESCS7D01G350300	GO:0000166
TRAESCS7D01G350300	GO:0005737
TRAESCS7D01G350300	GO:0016787
TRAESCS7D01G350300	GO:0019538
TRAESCS7D01G350300	GO:0009056
TRAESCS2A01G101400	GO:0003677
TRAESCS2A01G101400	GO:0006139
TRAESCS2A01G101400	GO:0009058
TRAESCS3B01G390100	GO:0005622
TRAESCS3B01G390100	GO:0003677
TRAESCS3B01G390100	GO:0005515
TRAESCS3D01G309300	GO:0016787
TRAESCS3D01G309300	GO:0005488
TRAESCS3D01G309300	GO:0016020
TRAESCS2A01G354500	GO:0016740
TRAESCS1D01G286000	GO:0006810
TRAESCS1D01G286000	GO:0005215
TRAESCS1D01G286000	GO:0016020
TRAESCS3D01G401300	GO:0016740
TRAESCS3D01G401300	GO:0008152
TRAESCS7D01G403300	GO:0006464
TRAESCS7D01G403300	GO:0003824
TRAESCS7D01G403300	GO:0009987
TRAESCS3A01G262200	GO:0016301
TRAESCS3A01G262200	GO:0006464
TRAESCS3A01G262200	GO:0000166
TRAESCS1A01G197600	GO:0005215
TRAESCS1A01G197600	GO:0006810
TRAESCS1A01G197600	GO:0016020
TRAESCS3B01G590400	GO:0005515
TRAESCS3B01G590400	GO:0016043
TRAESCS3D01G332600	GO:0005515
TRAESCS3D01G332600	GO:0005488
TRAESCS2D01G361400	GO:0006091
TRAESCS2D01G361400	GO:0003824
TRAESCS2D01G361400	GO:0008152
TRAESCS2D01G361400	GO:0019725
TRAESCS6B01G056900	GO:0008152
TRAESCS6B01G056900	GO:0003824
TRAESCS4B01G052200	GO:0005215
TRAESCS4B01G052200	GO:0006810
TRAESCS4B01G052200	GO:0016020
