GID	GO
TRAESCS3D01G385600	GO:0005215
TRAESCS3D01G385600	GO:0006810
TRAESCS3D01G385600	GO:0016020
TRAESCS1A01G122500	GO:0008152
TRAESCS1A01G122500	GO:0003824
TRAESCS1A01G122500	GO:0009987
TRAESCS1A01G122500	GO:0000166
TRAESCS2A01G072500	GO:0006810
TRAESCS2A01G072500	GO:0005829
TRAESCS6A01G299200	GO:0003824
TRAESCS6A01G299200	GO:0005737
TRAESCS6A01G299200	GO:0008152
TRAESCS2B01G347800	GO:0016787
TRAESCS2B01G347800	GO:0009058
TRAESCS2B01G347800	GO:0009987
TRAESCS7B01G213300	GO:0005975
TRAESCS7B01G213300	GO:0008152
TRAESCS7B01G213300	GO:0003824
TRAESCS7B01G213300	GO:0000166
TRAESCS2D01G313400	GO:0005515
TRAESCS2D01G313400	GO:0008152
TRAESCS2D01G313400	GO:0003824
TRAESCS2D01G313400	GO:0005488
TRAESCS5D01G241200	GO:0003824
TRAESCS5D01G241200	GO:0019725
TRAESCS6A01G232200	GO:0016740
TRAESCS2D01G388800	GO:0008152
TRAESCS2D01G388800	GO:0009987
TRAESCS2D01G388800	GO:0003824
TRAESCS3B01G331100	GO:0003824
TRAESCS3B01G331100	GO:0008152
TRAESCS3B01G331100	GO:0009987
TRAESCS3B01G331100	GO:0016740
TRAESCS3B01G331100	GO:0009058
TRAESCS3B01G331100	GO:0005488
TRAESCS3B01G324300	GO:0016787
TRAESCS3B01G324300	GO:0000166
TRAESCS5D01G019800	GO:0005829
TRAESCS5D01G019800	GO:0005488
TRAESCS5D01G019800	GO:0003824
TRAESCS5D01G019800	GO:0006091
TRAESCS5D01G019800	GO:0006139
TRAESCS5D01G019800	GO:0005975
TRAESCS5D01G019800	GO:0016301
TRAESCS5D01G019800	GO:0009058
TRAESCS5D01G019800	GO:0009056
TRAESCS2A01G527600	GO:0016740
TRAESCS3D01G351000	GO:0000166
TRAESCS1B01G174700	GO:0005198
TRAESCS1B01G174700	GO:0005488
TRAESCS1B01G174700	GO:0005622
TRAESCS1B01G174700	GO:0006810
TRAESCS1B01G174700	GO:0005737
TRAESCS1B01G174700	GO:0016020
TRAESCS1B01G174700	GO:0005794
TRAESCS4A01G140000	GO:0009987
TRAESCS4A01G140000	GO:0005975
TRAESCS4A01G140000	GO:0016740
TRAESCS1D01G071800	GO:0016787
TRAESCS1D01G071800	GO:0005515
TRAESCS1D01G071800	GO:0006629
TRAESCS1D01G071800	GO:0007165
TRAESCS1D01G071800	GO:0005622
TRAESCS7D01G232300	GO:0008152
TRAESCS7D01G232300	GO:0003824
TRAESCS7D01G232300	GO:0000166
TRAESCS1A01G350200	GO:0016787
TRAESCS1A01G350200	GO:0005198
TRAESCS1A01G350200	GO:0016043
TRAESCS1A01G350200	GO:0000166
TRAESCS1A01G350200	GO:0005856
TRAESCS1A01G350200	GO:0009987
TRAESCS4D01G300100	GO:0005488
TRAESCS4D01G300100	GO:0016787
TRAESCS2A01G545600	GO:0005488
TRAESCS2A01G545600	GO:0005515
TRAESCS2A01G545600	GO:0005783
TRAESCS2A01G545600	GO:0009987
TRAESCS3A01G232100	GO:0005488
TRAESCS6B01G300300	GO:0006950
TRAESCS6D01G064400	GO:0016787
TRAESCS6D01G064400	GO:0005975
TRAESCS2B01G166100	GO:0003824
TRAESCS2B01G166100	GO:0005488
TRAESCS5A01G069600	GO:0000166
TRAESCS1A01G325400	GO:0019538
TRAESCS1A01G325400	GO:0016787
TRAESCS2D01G265800	GO:0005515
TRAESCS5B01G210100	GO:0008152
TRAESCS5B01G210100	GO:0003824
TRAESCS6B01G144000	GO:0003676
TRAESCS6B01G144000	GO:0000166
TRAESCS7B01G104400	GO:0006091
TRAESCS7B01G104400	GO:0006139
TRAESCS7B01G104400	GO:0005975
TRAESCS7B01G104400	GO:0016301
TRAESCS7B01G104400	GO:0009058
TRAESCS7B01G104400	GO:0009056
TRAESCS7B01G104400	GO:0000166
TRAESCS7B01G104400	GO:0009987
TRAESCS7B01G104400	GO:0008152
TRAESCS5A01G285400	GO:0003824
TRAESCS5A01G285400	GO:0005975
TRAESCS5A01G285400	GO:0006139
TRAESCS5A01G285400	GO:0008152
TRAESCS3A01G337300	GO:0000166
TRAESCS3A01G337300	GO:0005622
TRAESCS3A01G337300	GO:0007165
TRAESCS6D01G278900	GO:0003824
TRAESCS6D01G278900	GO:0005737
TRAESCS6D01G278900	GO:0008152
TRAESCS2A01G106500	GO:0016301
TRAESCS2A01G106500	GO:0006464
TRAESCS2A01G106500	GO:0000166
TRAESCS2A01G106500	GO:0007165
TRAESCS4D01G046100	GO:0005488
TRAESCS4D01G046100	GO:0016301
TRAESCS4A01G193900	GO:0005488
TRAESCS4B01G037900	GO:0005515
TRAESCS4B01G037900	GO:0008152
TRAESCS4B01G037900	GO:0003824
TRAESCS4B01G037900	GO:0005488
TRAESCS6D01G207800	GO:0000166
TRAESCS3B01G395400	GO:0009058
TRAESCS3B01G395400	GO:0016740
TRAESCS7B01G320800	GO:0016740
TRAESCS7B01G320800	GO:0016020
TRAESCS7A01G232200	GO:0008152
TRAESCS7A01G232200	GO:0003824
TRAESCS7A01G232200	GO:0000166
TRAESCS5A01G407400	GO:0003774
TRAESCS5A01G407400	GO:0000166
TRAESCS5A01G407400	GO:0009987
TRAESCS5A01G407400	GO:0005515
TRAESCS2A01G363600	GO:0006091
TRAESCS2A01G363600	GO:0003824
TRAESCS2A01G363600	GO:0008152
TRAESCS2A01G363600	GO:0019725
TRAESCS6D01G030400	GO:0005515
TRAESCS6D01G204800	GO:0016740
TRAESCS6D01G204800	GO:0005737
TRAESCS6D01G204800	GO:0006139
TRAESCS6D01G204800	GO:0009058
TRAESCS3D01G129500	GO:0008152
TRAESCS3D01G129500	GO:0003824
TRAESCS2D01G568600	GO:0003700
TRAESCS2D01G568600	GO:0006139
TRAESCS2D01G568600	GO:0009058
TRAESCS2D01G568600	GO:0005488
TRAESCS2D01G568600	GO:0003677
TRAESCS1B01G316400	GO:0008152
TRAESCS1B01G316400	GO:0003824
TRAESCS3A01G512400	GO:0003824
