Short_name	Orthogroup_number
PSY1R	OG0000016
AHA	OG0000100
CESA	OG0000109
ROP	OG0000209
BIK1	OG0000269
WRKY_F1	OG0000454
LFG2	OG0000488
PMR6	OG0000533
EDR3	OG0000538
PUB	OG0000759
UBP	OG0000848
PMR4	OG0001050
ETR1	OG0001127
PLDbeta1	OG0001209
WRKY_F2	OG0001241
KMD3	OG0001606
MLO	OG0001703
MPK4	OG0001862
PTP1	OG0001979
ADH	OG0001989
MPK1/2	OG0002114
RPSP1/AK2	OG0002151
MYB3R4	OG0002243
PME3	OG0002320
EIN2	OG0002482
WRKY_F3	OG0002599
EDR2	OG0002731
CPR5	OG0002969
SR1	OG0003495
WAT1	OG0004057
DHDPS2	OG0004169
bHLH25	OG0004217
FER	OG0004290
WRKY27	OG0004309
BZR1	OG0004345
DND2	OG0004427
BON3	OG0004489
CAD1	OG0004521
DMR1	OG0004645
bHLH27	OG0005164
AGD2	OG0005265
BI-1	OG0005821
FAH1	OG0006155
WRKY4	OG0006371
WRKY25	OG0006441
PMR5	OG0006850
NFXL1	OG0007192
IBR3	OG0007221
EIL1/EIN2	OG0007228
SIZ1	OG0007262
LSD1	OG0007723
BON1/2	OG0007999
PFT1	OG0009045
SRT2	OG0009278
S3H	OG0009499
PSKR1	OG0009671
VAD1	OG0010224
DMR6	OG0010403
EIR1	OG0010712
SRFR1	OG0010945
RIN4	OG0011021
BIR1	OG0011159
SNI1	OG0012212
RAR1	OG0012407
PUX2	OG0013979
RIC171	OG0014411
ACD11	OG0015115
AGD5	OG0015434
DND1	OG0018857
SSI1	OG0018876
