GID	GO
TRAESCS3A01G116300	GO:0000003
TRAESCS3D01G118200	GO:0000003
TRAESCS1A01G002500	GO:0000166
TRAESCS1A01G015900	GO:0000166
TRAESCS1A01G025600	GO:0000166
TRAESCS1A01G026200	GO:0000166
TRAESCS1A01G026400	GO:0000166
TRAESCS1A01G028500	GO:0000166
TRAESCS1A01G028600	GO:0000166
TRAESCS1A01G028800	GO:0000166
TRAESCS1A01G028900	GO:0000166
TRAESCS1A01G066800	GO:0000166
TRAESCS1A01G103900	GO:0000166
TRAESCS1A01G108100	GO:0000166
TRAESCS1A01G110300	GO:0000166
TRAESCS1A01G127900	GO:0000166
TRAESCS1A01G143400	GO:0000166
TRAESCS1A01G145000	GO:0000166
TRAESCS1A01G166900	GO:0000166
TRAESCS1A01G185300	GO:0000166
TRAESCS1A01G208000	GO:0000166
TRAESCS1A01G230600	GO:0000166
TRAESCS1A01G235200	GO:0000166
TRAESCS1A01G246600	GO:0000166
TRAESCS1A01G253200	GO:0000166
TRAESCS1A01G257200	GO:0000166
TRAESCS1A01G292200	GO:0000166
TRAESCS1A01G296300	GO:0000166
TRAESCS1A01G304200	GO:0000166
TRAESCS1A01G309700	GO:0000166
TRAESCS1A01G312300	GO:0000166
TRAESCS1A01G342600	GO:0000166
TRAESCS1A01G343000	GO:0000166
TRAESCS1A01G422600	GO:0000166
TRAESCS1A01G422700	GO:0000166
TRAESCS1A01G424200	GO:0000166
TRAESCS1B01G001800	GO:0000166
TRAESCS1B01G062300	GO:0000166
TRAESCS1B01G124800	GO:0000166
TRAESCS1B01G130300	GO:0000166
TRAESCS1B01G147000	GO:0000166
TRAESCS1B01G155100	GO:0000166
TRAESCS1B01G157900	GO:0000166
TRAESCS1B01G162300	GO:0000166
TRAESCS1B01G193200	GO:0000166
TRAESCS1B01G233200	GO:0000166
TRAESCS1B01G257300	GO:0000166
TRAESCS1B01G267700	GO:0000166
TRAESCS1B01G305200	GO:0000166
TRAESCS1B01G314700	GO:0000166
TRAESCS1B01G320800	GO:0000166
TRAESCS1B01G323100	GO:0000166
TRAESCS1B01G352400	GO:0000166
TRAESCS1B01G356100	GO:0000166
TRAESCS1B01G426300	GO:0000166
TRAESCS1B01G451700	GO:0000166
TRAESCS1B01G456700	GO:0000166
TRAESCS1B01G465000	GO:0000166
TRAESCS1B01G480500	GO:0000166
TRAESCS1D01G004700	GO:0000166
TRAESCS1D01G013800	GO:0000166
TRAESCS1D01G015400	GO:0000166
TRAESCS1D01G026000	GO:0000166
TRAESCS1D01G028600	GO:0000166
TRAESCS1D01G049000	GO:0000166
TRAESCS1D01G066500	GO:0000166
TRAESCS1D01G067800	GO:0000166
TRAESCS1D01G110900	GO:0000166
TRAESCS1D01G136900	GO:0000166
TRAESCS1D01G140300	GO:0000166
TRAESCS1D01G140400	GO:0000166
TRAESCS1D01G144000	GO:0000166
TRAESCS1D01G163400	GO:0000166
TRAESCS1D01G174000	GO:0000166
TRAESCS1D01G191600	GO:0000166
TRAESCS1D01G216700	GO:0000166
TRAESCS1D01G221400	GO:0000166
TRAESCS1D01G245900	GO:0000166
TRAESCS1D01G290700	GO:0000166
TRAESCS1D01G295800	GO:0000166
TRAESCS1D01G303700	GO:0000166
TRAESCS1D01G309200	GO:0000166
TRAESCS1D01G320800	GO:0000166
TRAESCS1D01G330400	GO:0000166
TRAESCS1D01G344700	GO:0000166
TRAESCS1D01G430800	GO:0000166
TRAESCS1D01G431000	GO:0000166
TRAESCS1D01G433400	GO:0000166
TRAESCS1D01G439300	GO:0000166
TRAESCS1D01G439500	GO:0000166
TRAESCS1D01G441400	GO:0000166
TRAESCS2A01G026600	GO:0000166
TRAESCS2A01G029900	GO:0000166
TRAESCS2A01G031400	GO:0000166
TRAESCS2A01G049700	GO:0000166
TRAESCS2A01G071800	GO:0000166
TRAESCS2A01G098700	GO:0000166
TRAESCS2A01G119300	GO:0000166
TRAESCS2A01G170600	GO:0000166
TRAESCS2A01G184500	GO:0000166
TRAESCS2A01G221300	GO:0000166
TRAESCS2A01G226000	GO:0000166
TRAESCS2A01G251800	GO:0000166
TRAESCS2A01G255300	GO:0000166
TRAESCS2A01G303900	GO:0000166
TRAESCS2A01G307100	GO:0000166
TRAESCS2A01G320400	GO:0000166
TRAESCS2A01G330000	GO:0000166
TRAESCS2A01G343100	GO:0000166
TRAESCS2A01G346000	GO:0000166
TRAESCS2A01G360300	GO:0000166
TRAESCS2A01G384100	GO:0000166
TRAESCS2A01G401300	GO:0000166
TRAESCS2A01G418200	GO:0000166
TRAESCS2A01G418400	GO:0000166
TRAESCS2A01G431100	GO:0000166
TRAESCS2A01G432700	GO:0000166
TRAESCS2A01G456100	GO:0000166
TRAESCS2A01G466900	GO:0000166
TRAESCS2A01G467700	GO:0000166
TRAESCS2A01G489600	GO:0000166
TRAESCS2A01G493800	GO:0000166
TRAESCS2A01G586900	GO:0000166
TRAESCS2B01G027000	GO:0000166
TRAESCS2B01G035300	GO:0000166
TRAESCS2B01G035400	GO:0000166
TRAESCS2B01G040000	GO:0000166
TRAESCS2B01G043600	GO:0000166
TRAESCS2B01G043700	GO:0000166
TRAESCS2B01G045600	GO:0000166
TRAESCS2B01G047900	GO:0000166
TRAESCS2B01G049600	GO:0000166
TRAESCS2B01G060900	GO:0000166
TRAESCS2B01G069000	GO:0000166
TRAESCS2B01G080200	GO:0000166
TRAESCS2B01G106200	GO:0000166
TRAESCS2B01G121100	GO:0000166
TRAESCS2B01G146000	GO:0000166
TRAESCS2B01G209300	GO:0000166
TRAESCS2B01G220900	GO:0000166
TRAESCS2B01G222800	GO:0000166
TRAESCS2B01G222900	GO:0000166
TRAESCS2B01G241400	GO:0000166
TRAESCS2B01G241500	GO:0000166
TRAESCS2B01G243000	GO:0000166
TRAESCS2B01G258500	GO:0000166
TRAESCS2B01G271700	GO:0000166
TRAESCS2B01G294800	GO:0000166
TRAESCS2B01G320500	GO:0000166
TRAESCS2B01G323700	GO:0000166
TRAESCS2B01G362700	GO:0000166
TRAESCS2B01G364400	GO:0000166
TRAESCS2B01G401300	GO:0000166
TRAESCS2B01G437300	GO:0000166
TRAESCS2B01G437400	GO:0000166
TRAESCS2B01G452400	GO:0000166
TRAESCS2B01G454000	GO:0000166
TRAESCS2B01G504600	GO:0000166
TRAESCS2B01G505400	GO:0000166
TRAESCS2B01G517500	GO:0000166
TRAESCS2B01G536500	GO:0000166
TRAESCS2B01G579200	GO:0000166
TRAESCS2B01G625200	GO:0000166
TRAESCS2D01G028600	GO:0000166
TRAESCS2D01G039400	GO:0000166
TRAESCS2D01G048800	GO:0000166
TRAESCS2D01G057700	GO:0000166
TRAESCS2D01G137300	GO:0000166
TRAESCS2D01G178100	GO:0000166
TRAESCS2D01G189900	GO:0000166
TRAESCS2D01G190600	GO:0000166
TRAESCS2D01G201700	GO:0000166
TRAESCS2D01G203200	GO:0000166
TRAESCS2D01G221500	GO:0000166
TRAESCS2D01G227000	GO:0000166
TRAESCS2D01G252600	GO:0000166
TRAESCS2D01G302500	GO:0000166
TRAESCS2D01G344700	GO:0000166
TRAESCS2D01G359100	GO:0000166
TRAESCS2D01G380500	GO:0000166
TRAESCS2D01G380800	GO:0000166
TRAESCS2D01G428900	GO:0000166
TRAESCS2D01G430700	GO:0000166
TRAESCS2D01G475300	GO:0000166
TRAESCS2D01G479100	GO:0000166
TRAESCS2D01G487700	GO:0000166
TRAESCS2D01G489900	GO:0000166
TRAESCS2D01G496300	GO:0000166
TRAESCS2D01G509800	GO:0000166
TRAESCS2D01G534400	GO:0000166
TRAESCS2D01G538500	GO:0000166
TRAESCS3A01G006900	GO:0000166
TRAESCS3A01G009000	GO:0000166
TRAESCS3A01G021600	GO:0000166
TRAESCS3A01G048700	GO:0000166
TRAESCS3A01G049600	GO:0000166
TRAESCS3A01G056300	GO:0000166
TRAESCS3A01G068500	GO:0000166
TRAESCS3A01G072900	GO:0000166
TRAESCS3A01G145700	GO:0000166
TRAESCS3A01G148400	GO:0000166
TRAESCS3A01G195300	GO:0000166
TRAESCS3A01G206600	GO:0000166
TRAESCS3A01G215000	GO:0000166
TRAESCS3A01G218000	GO:0000166
TRAESCS3A01G225200	GO:0000166
TRAESCS3A01G233300	GO:0000166
TRAESCS3A01G248600	GO:0000166
TRAESCS3A01G257500	GO:0000166
TRAESCS3A01G258000	GO:0000166
TRAESCS3A01G261800	GO:0000166
TRAESCS3A01G262200	GO:0000166
TRAESCS3A01G270500	GO:0000166
TRAESCS3A01G273500	GO:0000166
TRAESCS3A01G274000	GO:0000166
TRAESCS3A01G276200	GO:0000166
TRAESCS3A01G302200	GO:0000166
TRAESCS3A01G307600	GO:0000166
TRAESCS3A01G315100	GO:0000166
TRAESCS3A01G323200	GO:0000166
TRAESCS3A01G344400	GO:0000166
TRAESCS3A01G357100	GO:0000166
TRAESCS3A01G439200	GO:0000166
TRAESCS3A01G477300	GO:0000166
TRAESCS3B01G008600	GO:0000166
TRAESCS3B01G055700	GO:0000166
TRAESCS3B01G106100	GO:0000166
TRAESCS3B01G119500	GO:0000166
TRAESCS3B01G119600	GO:0000166
TRAESCS3B01G218800	GO:0000166
TRAESCS3B01G228500	GO:0000166
TRAESCS3B01G246300	GO:0000166
TRAESCS3B01G248500	GO:0000166
TRAESCS3B01G254800	GO:0000166
TRAESCS3B01G262600	GO:0000166
TRAESCS3B01G272300	GO:0000166
TRAESCS3B01G275000	GO:0000166
TRAESCS3B01G277200	GO:0000166
TRAESCS3B01G280000	GO:0000166
TRAESCS3B01G290700	GO:0000166
TRAESCS3B01G295500	GO:0000166
TRAESCS3B01G306400	GO:0000166
TRAESCS3B01G307700	GO:0000166
TRAESCS3B01G310000	GO:0000166
TRAESCS3B01G321300	GO:0000166
TRAESCS3B01G334400	GO:0000166
TRAESCS3B01G352300	GO:0000166
TRAESCS3B01G363500	GO:0000166
TRAESCS3B01G374100	GO:0000166
TRAESCS3B01G376300	GO:0000166
TRAESCS3B01G383800	GO:0000166
TRAESCS3B01G389700	GO:0000166
TRAESCS3B01G395000	GO:0000166
TRAESCS3B01G415800	GO:0000166
TRAESCS3B01G442200	GO:0000166
TRAESCS3B01G450600	GO:0000166
TRAESCS3B01G473100	GO:0000166
TRAESCS3B01G557100	GO:0000166
TRAESCS3B01G602700	GO:0000166
TRAESCS3D01G056500	GO:0000166
TRAESCS3D01G072500	GO:0000166
TRAESCS3D01G072600	GO:0000166
TRAESCS3D01G098400	GO:0000166
TRAESCS3D01G169600	GO:0000166
TRAESCS3D01G196200	GO:0000166
TRAESCS3D01G198600	GO:0000166
TRAESCS3D01G234300	GO:0000166
TRAESCS3D01G234400	GO:0000166
TRAESCS3D01G246500	GO:0000166
TRAESCS3D01G250900	GO:0000166
TRAESCS3D01G257500	GO:0000166
TRAESCS3D01G257900	GO:0000166
TRAESCS3D01G262300	GO:0000166
TRAESCS3D01G276200	GO:0000166
TRAESCS3D01G294200	GO:0000166
TRAESCS3D01G299800	GO:0000166
TRAESCS3D01G326900	GO:0000166
TRAESCS3D01G337900	GO:0000166
TRAESCS3D01G345700	GO:0000166
TRAESCS3D01G350900	GO:0000166
TRAESCS3D01G351000	GO:0000166
TRAESCS3D01G374300	GO:0000166
TRAESCS3D01G418900	GO:0000166
TRAESCS3D01G430100	GO:0000166
TRAESCS3D01G432000	GO:0000166
TRAESCS3D01G438600	GO:0000166
TRAESCS3D01G440400	GO:0000166
TRAESCS3D01G472000	GO:0000166
TRAESCS3D01G500800	GO:0000166
TRAESCS3D01G516300	GO:0000166
TRAESCS3D01G518600	GO:0000166
TRAESCS3D01G522300	GO:0000166
TRAESCS3D01G525300	GO:0000166
TRAESCS4A01G035700	GO:0000166
TRAESCS4A01G046800	GO:0000166
TRAESCS4A01G102900	GO:0000166
TRAESCS4A01G130300	GO:0000166
TRAESCS4A01G255400	GO:0000166
TRAESCS4A01G257700	GO:0000166
TRAESCS4A01G257800	GO:0000166
TRAESCS4A01G261000	GO:0000166
TRAESCS4A01G267300	GO:0000166
TRAESCS4A01G271400	GO:0000166
TRAESCS4A01G278500	GO:0000166
TRAESCS4A01G310000	GO:0000166
TRAESCS4A01G318400	GO:0000166
TRAESCS4A01G323500	GO:0000166
TRAESCS4A01G331100	GO:0000166
TRAESCS4A01G342500	GO:0000166
TRAESCS4A01G357200	GO:0000166
TRAESCS4A01G361900	GO:0000166
TRAESCS4A01G384500	GO:0000166
