GID	GO
BDIBD21-3.1G0029300	GO:0000166
BDIBD21-3.1G0029300	GO:0006464
BDIBD21-3.1G0029300	GO:0016301
BDIBD21-3.1G0029300	GO:0030246
BDIBD21-3.1G0031700	GO:0003677
BDIBD21-3.1G0031700	GO:0005739
BDIBD21-3.1G0031700	GO:0006139
BDIBD21-3.1G0031700	GO:0009058
BDIBD21-3.1G0031900	GO:0005215
BDIBD21-3.1G0031900	GO:0006810
BDIBD21-3.1G0031900	GO:0016020
BDIBD21-3.1G0034000	GO:0009579
BDIBD21-3.1G0034000	GO:0015979
BDIBD21-3.1G0034000	GO:0016020
BDIBD21-3.1G0035500	GO:0000166
BDIBD21-3.1G0042100	GO:0005975
BDIBD21-3.1G0042100	GO:0016787
BDIBD21-3.1G0045800	GO:0005215
BDIBD21-3.1G0045800	GO:0006810
BDIBD21-3.1G0045800	GO:0016020
BDIBD21-3.1G0077900	GO:0003824
BDIBD21-3.1G0077900	GO:0006091
BDIBD21-3.1G0077900	GO:0015979
BDIBD21-3.1G0078000	GO:0006139
BDIBD21-3.1G0128400	GO:0005215
BDIBD21-3.1G0128400	GO:0006139
BDIBD21-3.1G0128400	GO:0006810
BDIBD21-3.1G0128400	GO:0009058
BDIBD21-3.1G0128400	GO:0016787
BDIBD21-3.1G0131800	GO:0003824
BDIBD21-3.1G0131800	GO:0005488
BDIBD21-3.1G0131800	GO:0006629
BDIBD21-3.1G0131800	GO:0008152
BDIBD21-3.1G0131800	GO:0009058
BDIBD21-3.1G0131800	GO:0009987
BDIBD21-3.1G0143000	GO:0000166
BDIBD21-3.1G0155700	GO:0003824
BDIBD21-3.1G0155700	GO:0005488
BDIBD21-3.1G0155700	GO:0005515
BDIBD21-3.1G0155700	GO:0008152
BDIBD21-3.1G0161800	GO:0006091
BDIBD21-3.1G0161800	GO:0015979
BDIBD21-3.1G0161800	GO:0016020
BDIBD21-3.1G0176300	GO:0006810
BDIBD21-3.1G0176300	GO:0016020
BDIBD21-3.1G0195300	GO:0003824
BDIBD21-3.1G0195300	GO:0008152
BDIBD21-3.1G0201600	GO:0003824
BDIBD21-3.1G0201600	GO:0005488
BDIBD21-3.1G0201600	GO:0008152
BDIBD21-3.1G0206600	GO:0016020
BDIBD21-3.1G0208300	GO:0016787
BDIBD21-3.1G0219100	GO:0003824
BDIBD21-3.1G0219100	GO:0006629
BDIBD21-3.1G0219100	GO:0008152
BDIBD21-3.1G0223500	GO:0009058
BDIBD21-3.1G0223500	GO:0009987
BDIBD21-3.1G0223500	GO:0016740
BDIBD21-3.1G0227100	GO:0003677
BDIBD21-3.1G0227100	GO:0006139
BDIBD21-3.1G0227100	GO:0009058
BDIBD21-3.1G0233900	GO:0003824
BDIBD21-3.1G0233900	GO:0005488
BDIBD21-3.1G0233900	GO:0006950
BDIBD21-3.1G0233900	GO:0008152
BDIBD21-3.1G0233900	GO:0009987
BDIBD21-3.1G0243900	GO:0005975
BDIBD21-3.1G0243900	GO:0006091
BDIBD21-3.1G0243900	GO:0016740
BDIBD21-3.1G0243900	GO:0030246
BDIBD21-3.1G0247600	GO:0003824
BDIBD21-3.1G0247600	GO:0006091
BDIBD21-3.1G0247600	GO:0008152
BDIBD21-3.1G0247600	GO:0019725
BDIBD21-3.1G0251200	GO:0003824
BDIBD21-3.1G0251200	GO:0009058
BDIBD21-3.1G0258600	GO:0003677
BDIBD21-3.1G0258600	GO:0005634
BDIBD21-3.1G0258600	GO:0006139
BDIBD21-3.1G0258600	GO:0009058
BDIBD21-3.1G0290600	GO:0003824
BDIBD21-3.1G0290600	GO:0005488
BDIBD21-3.1G0291700	GO:0003824
BDIBD21-3.1G0291700	GO:0005488
BDIBD21-3.1G0291700	GO:0008152
BDIBD21-3.1G0296400	GO:0016787
BDIBD21-3.1G0296400	GO:0019538
