GID	GO
TRAESCS3B01G217300	GO:0003676
TRAESCS3B01G217300	GO:0005515
TRAESCS5A01G366100	GO:0006810
TRAESCS5A01G366100	GO:0005215
TRAESCS5A01G366100	GO:0016020
TRAESCS3B01G218500	GO:0005488
TRAESCS3B01G218500	GO:0003824
TRAESCS3B01G218500	GO:0006091
TRAESCS3B01G218500	GO:0006139
TRAESCS3B01G218500	GO:0005975
TRAESCS3B01G218500	GO:0016301
TRAESCS3B01G218500	GO:0009058
TRAESCS3B01G218500	GO:0009056
TRAESCS3D01G158700	GO:0006810
TRAESCS3D01G158700	GO:0005622
TRAESCS1A01G263600	GO:0008152
TRAESCS1A01G263600	GO:0003824
TRAESCS5B01G399800	GO:0008152
TRAESCS5B01G399800	GO:0003824
TRAESCS5B01G399800	GO:0000166
TRAESCS2A01G121200	GO:0008152
TRAESCS2A01G121200	GO:0009987
TRAESCS2A01G121200	GO:0006950
TRAESCS2A01G121200	GO:0003824
TRAESCS2A01G121200	GO:0005488
TRAESCS7D01G071200	GO:0005829
TRAESCS7D01G071200	GO:0005488
TRAESCS7D01G071200	GO:0003824
TRAESCS7D01G071200	GO:0006091
TRAESCS7D01G071200	GO:0006139
TRAESCS7D01G071200	GO:0005975
TRAESCS7D01G071200	GO:0016301
TRAESCS7D01G071200	GO:0009058
TRAESCS7D01G071200	GO:0009056
TRAESCS5D01G404600	GO:0005215
TRAESCS5D01G404600	GO:0006810
TRAESCS5D01G404600	GO:0016020
TRAESCS7D01G248000	GO:0003677
TRAESCS7D01G248000	GO:0005634
TRAESCS2D01G163900	GO:0005515
TRAESCS6B01G080700	GO:0016787
TRAESCS6B01G080700	GO:0005975
TRAESCS2D01G534600	GO:0016301
TRAESCS2D01G534600	GO:0007165
TRAESCS2D01G534600	GO:0006464
TRAESCS2D01G534600	GO:0008152
TRAESCS6B01G041200	GO:0016787
TRAESCS6B01G041200	GO:0019538
TRAESCS4D01G309000	GO:0008152
TRAESCS4D01G309000	GO:0003824
TRAESCS4D01G309000	GO:0005488
TRAESCS7B01G277900	GO:0003824
TRAESCS7B01G277900	GO:0016787
TRAESCS7B01G277900	GO:0005488
TRAESCS7B01G277900	GO:0005515
TRAESCS7B01G277900	GO:0016020
TRAESCS7B01G277900	GO:0009987
TRAESCS7B01G277900	GO:0006629
TRAESCS5B01G106900	GO:0005215
TRAESCS5B01G106900	GO:0016020
TRAESCS5B01G106900	GO:0006810
TRAESCS1D01G256700	GO:0005215
TRAESCS1D01G256700	GO:0006810
TRAESCS1D01G256700	GO:0016020
TRAESCS2B01G118500	GO:0003677
TRAESCS2B01G118500	GO:0006139
TRAESCS2B01G118500	GO:0009058
TRAESCS2A01G406900	GO:0016787
TRAESCS2A01G406900	GO:0019538
TRAESCS4D01G169800	GO:0009987
TRAESCS4D01G169800	GO:0005975
TRAESCS4D01G169800	GO:0016740
TRAESCS6A01G344000	GO:0008152
TRAESCS6A01G344000	GO:0003824
TRAESCS6B01G201600	GO:0005488
TRAESCS6B01G201600	GO:0008152
TRAESCS6B01G201600	GO:0003824
TRAESCS6B01G310100	GO:0005198
TRAESCS6B01G310100	GO:0005840
TRAESCS7A01G272500	GO:0009058
TRAESCS7A01G272500	GO:0009987
TRAESCS7A01G272500	GO:0006629
TRAESCS2D01G372000	GO:0016740
TRAESCS1D01G353100	GO:0016787
TRAESCS1D01G353100	GO:0005198
TRAESCS1D01G353100	GO:0016043
TRAESCS1D01G353100	GO:0000166
TRAESCS1D01G353100	GO:0005856
TRAESCS1D01G353100	GO:0009987
TRAESCS2B01G048700	GO:0016787
TRAESCS2B01G048700	GO:0005488
TRAESCS3B01G332500	GO:0005515
TRAESCS3B01G332500	GO:0007165
TRAESCS3B01G332500	GO:0000166
TRAESCS4D01G119400	GO:0005488
TRAESCS3D01G037200	GO:0005515
TRAESCS6A01G215900	GO:0003824
TRAESCS6A01G215900	GO:0016787
TRAESCS6A01G215900	GO:0005975
TRAESCS1D01G382900	GO:0003700
TRAESCS1D01G382900	GO:0005634
TRAESCS1D01G382900	GO:0006139
TRAESCS1D01G382900	GO:0009058
TRAESCS1D01G382900	GO:0003677
TRAESCS2A01G410800	GO:0005515
TRAESCS3A01G250500	GO:0000166
TRAESCS3A01G250500	GO:0006810
TRAESCS3A01G250500	GO:0016787
TRAESCS3A01G250500	GO:0016020
TRAESCS3A01G250500	GO:0006139
TRAESCS3B01G575600	GO:0009987
TRAESCS3B01G575600	GO:0006629
TRAESCS3B01G575600	GO:0016020
TRAESCS3B01G575600	GO:0016787
TRAESCS5B01G516000	GO:0006091
TRAESCS5B01G516000	GO:0003824
TRAESCS5B01G516000	GO:0005488
TRAESCS1A01G375600	GO:0003700
TRAESCS1A01G375600	GO:0005634
TRAESCS1A01G375600	GO:0006139
TRAESCS1A01G375600	GO:0009058
TRAESCS1A01G375600	GO:0003677
TRAESCS5D01G516100	GO:0006091
TRAESCS5D01G516100	GO:0003824
TRAESCS5D01G516100	GO:0005488
TRAESCS4A01G252800	GO:0016787
TRAESCS4A01G252800	GO:0019538
TRAESCS4A01G252800	GO:0008150
TRAESCS4A01G252800	GO:0003824
TRAESCS5D01G019400	GO:0016301
TRAESCS5D01G019400	GO:0006464
TRAESCS5D01G019400	GO:0005515
TRAESCS5D01G019400	GO:0000166
TRAESCS7D01G405500	GO:0003824
TRAESCS7D01G405500	GO:0000166
TRAESCS7D01G405500	GO:0008152
TRAESCS1D01G309200	GO:0016787
TRAESCS1D01G309200	GO:0005198
TRAESCS1D01G309200	GO:0016043
TRAESCS1D01G309200	GO:0000166
TRAESCS1D01G309200	GO:0005856
TRAESCS1D01G309200	GO:0009987
TRAESCS4B01G346900	GO:0008152
TRAESCS4B01G346900	GO:0003824
TRAESCS2A01G198500	GO:0005215
TRAESCS2A01G198500	GO:0006810
TRAESCS2A01G198500	GO:0016020
TRAESCS5D01G186200	GO:0003824
TRAESCS5D01G186200	GO:0006091
TRAESCS5D01G186200	GO:0008152
TRAESCS5B01G368500	GO:0006810
TRAESCS5B01G368500	GO:0005215
TRAESCS5B01G368500	GO:0016020
TRAESCS5B01G408000	GO:0008152
TRAESCS5B01G408000	GO:0003824
TRAESCS5B01G408000	GO:0005488
TRAESCS5B01G012300	GO:0005829
TRAESCS5B01G012300	GO:0005488
TRAESCS5B01G012300	GO:0003824
TRAESCS5B01G012300	GO:0006091
TRAESCS5B01G012300	GO:0006139
TRAESCS5B01G012300	GO:0005975
TRAESCS5B01G012300	GO:0016301
TRAESCS5B01G012300	GO:0009058
TRAESCS5B01G012300	GO:0009056
TRAESCS4A01G411000	GO:0008152
TRAESCS4A01G411000	GO:0003824
TRAESCS4A01G411000	GO:0005488
TRAESCS1A01G369700	GO:0008289
TRAESCS1A01G369700	GO:0005737
TRAESCS1A01G369700	GO:0005515
TRAESCS1A01G369700	GO:0016043
TRAESCS7D01G303500	GO:0005488
TRAESCS7D01G303500	GO:0008152
TRAESCS7D01G303500	GO:0003824
TRAESCS2A01G392900	GO:0016301
TRAESCS2A01G392900	GO:0006464
TRAESCS2A01G392900	GO:0000166
TRAESCS4D01G339000	GO:0000166
TRAESCS4D01G339000	GO:0006810
TRAESCS4D01G339000	GO:0016020
TRAESCS4D01G339000	GO:0016787
TRAESCS4D01G339000	GO:0005215
TRAESCS1D01G074400	GO:0006810
TRAESCS1D01G074400	GO:0005215
TRAESCS1D01G074400	GO:0016020
TRAESCS4B01G250200	GO:0000166
TRAESCS4B01G250200	GO:0009987
TRAESCS4B01G250200	GO:0005515
TRAESCS7A01G317600	GO:0003676
TRAESCS3B01G221400	GO:0005198
TRAESCS3B01G221400	GO:0005488
TRAESCS3B01G221400	GO:0005737
TRAESCS3B01G221400	GO:0005622
TRAESCS3B01G221400	GO:0006810
TRAESCS3B01G221400	GO:0016020
TRAESCS3B01G221400	GO:0005794
TRAESCS2A01G190800	GO:0005488
TRAESCS2A01G190800	GO:0005515
TRAESCS6D01G057800	GO:0005488
TRAESCS6D01G057800	GO:0008152
TRAESCS6D01G057800	GO:0003824
TRAESCS3D01G188900	GO:0003824
TRAESCS3D01G188900	GO:0016787
TRAESCS3D01G188900	GO:0005975
TRAESCS3D01G188900	GO:0030246
TRAESCS7B01G273300	GO:0016787
TRAESCS7B01G273300	GO:0000166
TRAESCS4B01G167600	GO:0005515
TRAESCS7A01G232200	GO:0008152
TRAESCS7A01G232200	GO:0003824
TRAESCS7A01G232200	GO:0000166
TRAESCS3B01G238600	GO:0000166
TRAESCS3B01G238600	GO:0008152
TRAESCS3B01G238600	GO:0005488
TRAESCS2B01G215200	GO:0008152
TRAESCS2B01G215200	GO:0003824
TRAESCS2B01G215200	GO:0006091
TRAESCS2B01G414800	GO:0003824
TRAESCS2B01G414800	GO:0009058
