GID	GO
BDIBD213.3G0165200	GO:0006139
BDIBD213.3G0165200	GO:0009058
BDIBD213.3G0165200	GO:0003677
BDIBD213.1G0995600	GO:0006464
BDIBD213.1G0995600	GO:0016301
BDIBD213.5G0057900	GO:0008152
BDIBD213.5G0057900	GO:0005488
BDIBD213.5G0057900	GO:0003824
BDIBD213.1G0873600	GO:0005488
BDIBD213.1G0873600	GO:0005515
BDIBD213.2G0806800	GO:0005515
BDIBD213.2G0806800	GO:0006464
BDIBD213.2G0806800	GO:0000166
BDIBD213.2G0806800	GO:0016301
BDIBD213.2G0314100	GO:0030246
BDIBD213.2G0314100	GO:0003824
BDIBD213.2G0590100	GO:0016020
BDIBD213.2G0590100	GO:0009987
BDIBD213.2G0590100	GO:0009058
BDIBD213.2G0590100	GO:0005975
BDIBD213.2G0590100	GO:0016740
BDIBD213.2G0590100	GO:0005886
BDIBD213.4G0020600	GO:0005515
