GID	GO
TRAESCS1A01G212000	GO:0000003
TRAESCS1B01G225700	GO:0000003
TRAESCS1D01G215100	GO:0000003
TRAESCS4A01G445800	GO:0000003
TRAESCS7A01G042500	GO:0000003
TRAESCS7D01G428800	GO:0000003
TRAESCS1A01G026400	GO:0000166
TRAESCS1A01G028500	GO:0000166
TRAESCS1A01G028800	GO:0000166
TRAESCS1A01G028900	GO:0000166
TRAESCS1A01G101300	GO:0000166
TRAESCS1A01G131500	GO:0000166
TRAESCS1A01G145000	GO:0000166
TRAESCS1A01G230600	GO:0000166
TRAESCS1A01G253200	GO:0000166
TRAESCS1A01G276500	GO:0000166
TRAESCS1A01G304200	GO:0000166
TRAESCS1A01G309700	GO:0000166
TRAESCS1A01G340100	GO:0000166
TRAESCS1A01G343000	GO:0000166
TRAESCS1B01G152100	GO:0000166
TRAESCS1B01G162300	GO:0000166
TRAESCS1B01G193200	GO:0000166
TRAESCS1B01G233200	GO:0000166
TRAESCS1B01G285700	GO:0000166
TRAESCS1B01G320800	GO:0000166
TRAESCS1B01G323100	GO:0000166
TRAESCS1B01G352400	GO:0000166
TRAESCS1B01G455200	GO:0000166
TRAESCS1B01G465000	GO:0000166
TRAESCS1B01G479100	GO:0000166
TRAESCS1D01G067800	GO:0000166
TRAESCS1D01G136900	GO:0000166
TRAESCS1D01G174000	GO:0000166
TRAESCS1D01G191600	GO:0000166
TRAESCS1D01G201300	GO:0000166
TRAESCS1D01G276000	GO:0000166
TRAESCS1D01G303700	GO:0000166
TRAESCS1D01G309200	GO:0000166
TRAESCS1D01G342100	GO:0000166
TRAESCS1D01G434600	GO:0000166
TRAESCS2A01G034800	GO:0000166
TRAESCS2A01G107000	GO:0000166
TRAESCS2A01G138000	GO:0000166
TRAESCS2A01G184500	GO:0000166
TRAESCS2A01G230100	GO:0000166
TRAESCS2A01G243400	GO:0000166
TRAESCS2A01G251800	GO:0000166
TRAESCS2A01G253700	GO:0000166
TRAESCS2A01G303900	GO:0000166
TRAESCS2A01G330000	GO:0000166
TRAESCS2A01G360300	GO:0000166
TRAESCS2A01G361200	GO:0000166
TRAESCS2A01G432700	GO:0000166
TRAESCS2A01G489600	GO:0000166
TRAESCS2A01G548300	GO:0000166
TRAESCS2A01G558300	GO:0000166
TRAESCS2B01G047900	GO:0000166
TRAESCS2B01G049600	GO:0000166
TRAESCS2B01G121100	GO:0000166
TRAESCS2B01G123900	GO:0000166
TRAESCS2B01G222900	GO:0000166
TRAESCS2B01G241400	GO:0000166
TRAESCS2B01G271700	GO:0000166
TRAESCS2B01G294800	GO:0000166
TRAESCS2B01G320500	GO:0000166
TRAESCS2B01G411000	GO:0000166
TRAESCS2B01G505400	GO:0000166
TRAESCS2B01G610200	GO:0000166
TRAESCS2D01G035600	GO:0000166
TRAESCS2D01G106800	GO:0000166
TRAESCS2D01G137300	GO:0000166
TRAESCS2D01G175900	GO:0000166
TRAESCS2D01G178100	GO:0000166
TRAESCS2D01G203200	GO:0000166
TRAESCS2D01G248200	GO:0000166
TRAESCS2D01G252600	GO:0000166
TRAESCS2D01G299500	GO:0000166
TRAESCS2D01G302500	GO:0000166
TRAESCS2D01G489900	GO:0000166
TRAESCS2D01G538500	GO:0000166
TRAESCS2D01G588200	GO:0000166
TRAESCS3A01G068500	GO:0000166
TRAESCS3A01G091100	GO:0000166
TRAESCS3A01G215000	GO:0000166
TRAESCS3A01G257500	GO:0000166
TRAESCS3A01G294400	GO:0000166
TRAESCS3A01G333300	GO:0000166
TRAESCS3A01G351500	GO:0000166
TRAESCS3A01G447600	GO:0000166
TRAESCS3B01G000400	GO:0000166
TRAESCS3B01G055700	GO:0000166
TRAESCS3B01G106100	GO:0000166
TRAESCS3B01G116900	GO:0000166
TRAESCS3B01G203800	GO:0000166
TRAESCS3B01G248500	GO:0000166
TRAESCS3B01G310000	GO:0000166
TRAESCS3B01G319100	GO:0000166
TRAESCS3B01G329000	GO:0000166
TRAESCS3B01G332500	GO:0000166
TRAESCS3B01G363500	GO:0000166
TRAESCS3B01G395000	GO:0000166
TRAESCS3D01G005400	GO:0000166
