GID	GO
TRAESCS7A01G269800	GO:0005515
TRAESCS3D01G193800	GO:0005488
TRAESCS3D01G193800	GO:0005622
TRAESCS3D01G193800	GO:0006810
TRAESCS3D01G193800	GO:0005515
TRAESCS2A01G300100	GO:0005515
TRAESCS2D01G263200	GO:0006139
TRAESCS2D01G263200	GO:0009058
TRAESCS2D01G263200	GO:0006464
TRAESCS2D01G263200	GO:0016043
TRAESCS2D01G263200	GO:0005654
TRAESCS3D01G248400	GO:0016787
TRAESCS3D01G248400	GO:0000166
TRAESCS1B01G257500	GO:0006810
TRAESCS5D01G293800	GO:0016301
TRAESCS5D01G293800	GO:0005975
TRAESCS5D01G293800	GO:0016740
TRAESCS7D01G298100	GO:0008152
TRAESCS7D01G298100	GO:0009987
TRAESCS1D01G115900	GO:0003677
TRAESCS1D01G115900	GO:0006139
TRAESCS1D01G115900	GO:0016740
TRAESCS1D01G115900	GO:0009058
TRAESCS1D01G166900	GO:0006091
TRAESCS1D01G166900	GO:0003824
TRAESCS1D01G166900	GO:0008152
TRAESCS1D01G166900	GO:0019725
TRAESCS3A01G347900	GO:0008289
TRAESCS3D01G099500	GO:0003677
TRAESCS3D01G099500	GO:0003700
TRAESCS3D01G099500	GO:0000166
TRAESCS3D01G099500	GO:0006139
TRAESCS3D01G099500	GO:0009058
TRAESCS1B01G174700	GO:0005198
TRAESCS1B01G174700	GO:0005488
TRAESCS1B01G174700	GO:0005622
TRAESCS1B01G174700	GO:0006810
TRAESCS1B01G174700	GO:0005737
TRAESCS1B01G174700	GO:0016020
TRAESCS1B01G174700	GO:0005794
TRAESCS4D01G234800	GO:0005488
TRAESCS4D01G234800	GO:0005622
TRAESCS4D01G234800	GO:0006810
TRAESCS4D01G234800	GO:0005737
TRAESCS4D01G234800	GO:0016020
TRAESCS3D01G266400	GO:0003824
TRAESCS3D01G266400	GO:0005488
TRAESCS3D01G266400	GO:0009987
TRAESCS3D01G266400	GO:0009058
TRAESCS3D01G266400	GO:0008152
TRAESCS3D01G266400	GO:0000166
TRAESCS1A01G150100	GO:0005515
TRAESCS3D01G389800	GO:0016301
TRAESCS3D01G389800	GO:0006464
TRAESCS3D01G389800	GO:0000166
TRAESCS1B01G476400	GO:0005488
TRAESCS1B01G476400	GO:0008152
TRAESCS1B01G476400	GO:0003824
TRAESCS3B01G001900	GO:0016020
TRAESCS5D01G308800	GO:0008152
TRAESCS5D01G308800	GO:0003824
TRAESCS5D01G308800	GO:0006629
TRAESCS5D01G308800	GO:0009058
TRAESCS2D01G355200	GO:0005488
TRAESCS2B01G366700	GO:0005794
TRAESCS2B01G366700	GO:0006810
TRAESCS2B01G366700	GO:0005215
TRAESCS2B01G366700	GO:0016020
TRAESCS7B01G199900	GO:0005794
TRAESCS7B01G199900	GO:0005622
TRAESCS7B01G199900	GO:0006810
TRAESCS7B01G199900	GO:0016020
TRAESCS1A01G338900	GO:0003677
TRAESCS1A01G338900	GO:0005515
TRAESCS1A01G338900	GO:0005488
TRAESCS1A01G091100	GO:0003676
TRAESCS1A01G091100	GO:0003677
